date,value
2015-01-02,14.75
2015-01-09,14.78
2015-01-16,14.73
2015-01-23,14.78
2015-01-30,14.86
2015-02-06,14.84
2015-02-13,14.84
2015-02-20,14.77
2015-02-27,14.87
2015-03-06,14.79
2015-03-13,14.75
2015-03-20,14.86
2015-03-27,14.9
2015-04-03,14.87
2015-04-10,14.94
2015-04-17,14.84
2015-04-24,14.86
2015-05-01,14.78
2015-05-08,14.71
2015-05-15,14.7
2015-05-22,14.73
2015-05-29,14.73
2015-06-05,14.67
2015-06-12,14.64
2015-06-19,14.54
2015-06-26,14.54
2015-07-03,14.55
2015-07-10,14.56
2015-07-17,14.67
2015-07-24,14.68
2015-07-31,14.7
2015-08-07,14.72
2015-08-14,14.69
2015-08-21,14.6
2015-08-28,14.62
2015-09-04,14.61
2015-09-11,14.61
2015-09-18,14.56
2015-09-25,14.63
2015-10-02,14.55
2015-10-09,14.66
2015-10-16,14.7
2015-10-23,14.79
2015-10-30,14.81
2015-11-06,14.8
2015-11-13,14.79
2015-11-20,14.79
2015-11-27,14.89
2015-12-04,14.86
2015-12-11,14.75
2015-12-18,14.67
2015-12-25,14.79
2016-01-01,14.95
2016-01-08,14.98
2016-01-15,14.74
2016-01-22,14.74
2016-01-29,14.82
2016-02-05,14.7
2016-02-12,14.13
2016-02-19,14.6
2016-02-26,14.68
2016-03-04,14.71
2016-03-11,14.8
2016-03-18,14.79
2016-03-25,14.84
2016-04-01,14.75
2016-04-08,14.81
2016-04-15,14.81
2016-04-22,14.9
2016-04-29,14.98
2016-05-06,15.06
2016-05-13,15.02
2016-05-20,15.04
2016-05-27,15.1
2016-06-03,15.19
2016-06-10,15.14
2016-06-17,15.08
2016-06-24,15.08
2016-07-01,15.24
2016-07-08,15.29
2016-07-15,15.24
2016-07-22,15.29
2016-07-29,15.37
2016-08-05,15.4
2016-08-12,15.41
2016-08-19,15.3
2016-08-26,15.34
2016-09-02,15.41
2016-09-09,15.25
2016-09-16,15.09
2016-09-23,15.28
2016-09-30,15.13
2016-10-07,15.09
2016-10-14,14.93
2016-10-21,15.07
2016-10-28,15.02
2016-11-04,14.81
2016-11-11,14.35
2016-11-18,14.22
2016-11-25,14.36
2016-12-02,14.18
2016-12-09,14.19
2016-12-16,14.06
2016-12-23,14.25
2016-12-30,14.23
2017-01-06,14.51
2017-01-13,14.55
2017-01-20,14.43
2017-01-27,14.54
2017-02-03,14.63
2017-02-10,14.75
2017-02-17,14.66
2017-02-24,14.78
2017-03-03,14.74
2017-03-10,14.55
2017-03-17,14.69
2017-03-24,14.74
2017-03-31,14.82
2017-04-07,14.97
2017-04-14,14.88
2017-04-21,14.94
2017-04-28,14.95
2017-05-05,14.99
2017-05-12,15.06
2017-05-19,14.96
2017-05-26,15.06
2017-06-02,15.09
2017-06-09,15.06
2017-06-16,15.02
2017-06-23,15.1
2017-06-30,15.11
2017-07-07,15.16
2017-07-14,15.09
2017-07-21,15.13
2017-07-28,15.12
2017-08-04,15.15
