date,value
2015-01-02,18.79
2015-01-09,18.81
2015-01-16,18.7
2015-01-23,18.79
2015-01-30,18.78
2015-02-06,19.03
2015-02-13,19.0
2015-02-20,19.04
2015-02-27,19.15
2015-03-06,19.06
2015-03-13,18.92
2015-03-20,18.96
2015-03-27,18.945
2015-04-03,18.98
2015-04-10,19.09
2015-04-17,19.07
2015-04-24,19.11
2015-05-01,19.11
2015-05-08,19.13
2015-05-15,19.02
2015-05-22,18.98
2015-05-29,18.96
2015-06-05,18.82
2015-06-12,18.79
2015-06-19,18.75
2015-06-26,18.7
2015-07-03,18.66
2015-07-10,18.7
2015-07-17,18.63
2015-07-24,18.48
2015-07-31,18.51
2015-08-07,18.43
2015-08-14,18.31
2015-08-21,18.16
2015-08-28,18.27
2015-09-04,18.21
2015-09-11,18.31
2015-09-18,18.19
2015-09-25,17.99
2015-10-02,17.8
2015-10-09,18.16
2015-10-16,18.16
2015-10-23,18.29
2015-10-30,18.24
2015-11-06,18.17
2015-11-13,17.89
2015-11-20,17.85
2015-11-27,17.92
2015-12-04,17.88
2015-12-11,17.3
2015-12-18,17.3
2015-12-25,17.46
2016-01-01,17.44
2016-01-08,17.29
2016-01-15,16.99
2016-01-22,17.1
2016-01-29,17.14
2016-02-05,16.97
2016-02-12,16.77
2016-02-19,16.91
2016-02-26,17.18
2016-03-04,17.66
2016-03-11,17.82
2016-03-18,17.93
2016-03-25,17.81
2016-04-01,17.8
2016-04-08,17.85
2016-04-15,17.91
2016-04-22,18.19
2016-04-29,18.26
2016-05-06,18.09
2016-05-13,18.01
2016-05-20,18.06
2016-05-27,18.16
2016-06-03,18.21
2016-06-10,18.25
2016-06-17,18.12
2016-06-24,18.17
2016-07-01,18.41
2016-07-08,18.64
2016-07-15,18.59
2016-07-22,18.69
2016-07-29,18.57
2016-08-05,18.7
2016-08-12,18.8
2016-08-19,18.8
2016-08-26,18.8
2016-09-02,18.9
2016-09-09,18.71
2016-09-16,18.65
2016-09-23,18.8
2016-09-30,18.87
2016-10-07,18.9
2016-10-14,18.83
2016-10-21,18.94
2016-10-28,18.77
2016-11-04,18.64
2016-11-11,18.35
2016-11-18,18.45
2016-11-25,18.57
2016-12-02,18.63
2016-12-09,18.73
2016-12-16,18.61
2016-12-23,18.75
2016-12-30,18.79
2017-01-06,18.87
2017-01-13,18.84
2017-01-20,18.79
2017-01-27,18.86
2017-02-03,18.89
2017-02-10,18.91
2017-02-17,18.86
2017-02-24,18.92
2017-03-03,18.96
2017-03-10,18.62
2017-03-17,18.72
2017-03-24,18.68
2017-03-31,18.81
2017-04-07,18.85
2017-04-14,18.75
2017-04-21,18.87
2017-04-28,18.96
2017-05-05,18.91
2017-05-12,18.96
2017-05-19,18.92
2017-05-26,18.99
2017-06-02,19.05
2017-06-09,19.01
2017-06-16,18.96
2017-06-23,18.94
2017-06-30,19.02
2017-07-07,18.93
2017-07-14,18.98
2017-07-21,19.02
2017-07-28,19.05
2017-08-04,19.06
2017-08-11,18.88
2017-08-18,18.86
2017-08-25,18.99
2017-09-01,19.04
2017-09-08,19.0
2017-09-15,19.08
