date,value
2015-01-02,27.78
2015-01-09,27.6599
2015-01-16,27.67
2015-01-23,27.63
2015-01-30,27.36
2015-02-06,27.9252
2015-02-13,28.17
2015-02-20,28.15
2015-02-27,28.05
2015-03-06,27.64
2015-03-13,27.26
2015-03-20,27.3199
2015-03-27,26.8
2015-04-03,26.82
2015-04-10,26.8457
2015-04-17,26.65
2015-04-24,27.06
2015-05-01,26.97
2015-05-08,27.068
2015-05-15,27.01
2015-05-22,26.84
2015-05-29,26.65
2015-06-05,26.5
2015-06-12,26.53
2015-06-19,26.51
2015-06-26,26.21
2015-07-03,25.85
2015-07-10,25.89
2015-07-17,25.82
2015-07-24,25.41
2015-07-31,25.55
2015-08-07,25.26
2015-08-14,25.38
2015-08-21,24.4701
2015-08-28,24.59
2015-09-04,24.99
2015-09-11,24.68
2015-09-18,23.99
2015-09-25,23.97
2015-10-02,24.14
2015-10-09,24.46
2015-10-16,24.5
2015-10-23,24.84
2015-10-30,24.9
2015-11-06,25.09
2015-11-13,24.67
2015-11-20,25.13
2015-11-27,25.05
2015-12-04,25.01
2015-12-11,24.83
2015-12-18,24.47
2015-12-25,24.79
2016-01-01,24.68
2016-01-08,24.06
2016-01-15,24.08
2016-01-22,23.82
2016-01-29,23.95
2016-02-05,23.6385
2016-02-12,23.81
2016-02-19,23.98
2016-02-26,24.18
2016-03-04,24.43
2016-03-11,24.7
2016-03-18,24.92
2016-03-25,24.77
2016-04-01,25.15
2016-04-08,24.89
2016-04-15,25.0
2016-04-22,25.09
2016-04-29,24.83
2016-05-06,24.68
2016-05-13,24.56
2016-05-20,24.59
2016-05-27,24.89
2016-06-03,24.82
2016-06-10,24.84
2016-06-17,24.47
2016-06-24,24.22
2016-07-01,23.59
2016-07-08,23.74
2016-07-15,23.91
2016-07-22,23.99
2016-07-29,23.92
2016-08-05,24.0
2016-08-12,24.06
2016-08-19,24.0231
2016-08-26,23.9
2016-09-02,23.99
2016-09-09,23.89
2016-09-16,23.85
2016-09-23,23.75
2016-09-30,23.88
2016-10-07,23.668
2016-10-14,23.495
2016-10-21,23.5063
2016-10-28,23.39
2016-11-04,23.11
2016-11-11,23.66
2016-11-18,23.8199
2016-11-25,23.932
2016-12-02,23.8458
2016-12-09,24.46
2016-12-16,24.19
2016-12-23,24.23
2016-12-30,23.99
2017-01-06,24.439
2017-01-13,24.3595
2017-01-20,24.22
2017-01-27,24.4835
2017-02-03,24.44
2017-02-10,24.66
2017-02-17,25.02
2017-02-24,25.185
2017-03-03,25.31
2017-03-10,25.2784
2017-03-17,25.26
2017-03-24,25.0434
2017-03-31,25.18
2017-04-07,25.11
2017-04-14,25.0
2017-04-21,25.08
2017-04-28,25.2
2017-05-05,25.2096
2017-05-12,25.25
2017-05-19,25.196
2017-05-26,24.955
2017-06-02,25.512
2017-06-09,25.746
2017-06-16,25.49
2017-06-23,25.6
2017-06-30,25.32
2017-07-07,25.5023
2017-07-14,25.79
2017-07-21,25.84
2017-07-28,25.895
2017-08-04,25.91
2017-08-11,25.752
2017-08-18,25.851
2017-08-25,25.7701
2017-09-01,26.1
2017-09-08,26.0259
2017-09-15,26.31
2017-09-22,26.045
2017-09-29,26.2451
2017-10-06,26.689
2017-10-13,26.58
2017-10-20,26.74
2017-10-27,26.68
2017-11-03,26.8
2017-11-10,26.7
2017-11-17,26.78
2017-11-24,26.8464
2017-12-01,27.37
2017-12-08,27.38
2017-12-15,27.6272
2017-12-22,27.4648
2017-12-29,27.29
2018-01-05,27.9856
2018-01-12,28.36
2018-01-19,28.5952
2018-01-26,28.87
2018-02-02,28.675
2018-02-09,29.93
2018-02-16,29.5575
2018-02-23,29.5099
2018-03-02,29.63
2018-03-09,30.06
2018-03-16,29.96
2018-03-23,28.51
2018-03-30,28.1901
2018-04-06,28.4491
2018-04-13,28.2242
2018-04-20,27.83
2018-04-27,27.9298
2018-05-04,27.843
2018-05-11,28.4593
2018-05-18,28.29
2018-05-25,28.3821
2018-06-01,28.3
2018-06-08,28.5044
2018-06-15,28.515
2018-06-22,28.19
2018-06-29,27.935
2018-07-06,28.2307
2018-07-13,28.7122
2018-07-20,28.7399
2018-07-27,28.86
2018-08-03,29.0063
2018-08-10,28.9989
2018-08-17,29.149
2018-08-24,29.42
2018-08-31,29.59
2018-09-07,29.3956
2018-09-14,29.7125
2018-09-21,29.91
2018-09-28,29.5923
2018-10-05,29.385
2018-10-12,28.03
2018-10-19,27.955
2018-10-26,27.8504
2018-11-02,27.83
2018-11-09,27.7925
2018-11-16,27.66
2018-11-23,27.0534
2018-11-30,27.7825
2018-12-07,27.524
2018-12-14,27.11
2018-12-21,26.24
2018-12-28,26.3998
2019-01-04,26.1631
2019-01-11,26.1749
2019-01-18,26.5895
2019-01-25,26.5582
2019-02-01,26.94
2019-02-08,26.8782
2019-02-15,27.5
2019-02-22,27.6932
2019-03-01,27.8286
2019-03-08,27.3245
2019-03-15,27.86
2019-03-22,27.8184
2019-03-29,27.88
2019-04-05,28.1717
2019-04-12,28.1452
2019-04-19,28.0857
2019-04-26,28.44
2019-05-03,28.4872
2019-05-10,28.03
2019-05-17,27.5646
2019-05-24,27.3213
2019-05-31,26.9142
2019-06-07,27.7693
2019-06-14,27.8422
2019-06-21,28.3309
2019-06-28,28.0944
2019-07-05,28.4829
2019-07-12,28.77
2019-07-19,28.486
2019-07-26,28.799
2019-08-02,28.0995
2019-08-09,27.32
2019-08-16,27.186
2019-08-23,27.3
2019-08-30,27.55
2019-09-06,27.68
2019-09-13,27.7203
2019-09-20,27.5277
