date,value
2015-01-02,21.26
2015-01-09,22.64
2015-01-16,21.57
2015-01-23,20.69
2015-01-30,20.59
2015-02-06,22.26
2015-02-13,22.89
2015-02-20,22.75
2015-02-27,22.56
2015-03-06,21.22
2015-03-13,21.05
2015-03-20,21.77
2015-03-27,22.02
2015-04-03,22.7
2015-04-10,22.32
2015-04-17,22.19
2015-04-24,20.12
2015-05-01,19.62
2015-05-08,19.79
2015-05-15,19.89
2015-05-22,19.76
2015-05-29,19.18
2015-06-05,19.08
2015-06-12,19.27
2015-06-19,19.99
2015-06-26,20.48
2015-07-03,20.55
2015-07-10,20.69
2015-07-17,20.09
2015-07-24,19.49
2015-07-31,20.72
2015-08-07,19.74
2015-08-14,21.16
2015-08-21,20.93
2015-08-28,20.44
2015-09-04,20.24
2015-09-11,20.95
2015-09-18,20.52
2015-09-25,19.96
2015-10-02,19.14
2015-10-09,20.12
2015-10-16,19.09
2015-10-23,18.34
2015-10-30,18.33
2015-11-06,17.91
2015-11-13,17.71
2015-11-20,19.2
2015-11-27,19.66
2015-12-04,19.42
2015-12-11,17.64
2015-12-18,17.33
2015-12-25,18.22
2016-01-01,17.82
2016-01-08,15.9
2016-01-15,15.94
2016-01-22,16.6
2016-01-29,16.76
2016-02-05,16.23
2016-02-12,16.01
2016-02-19,16.54
2016-02-26,17.39
2016-03-04,17.93
2016-03-11,18.4
2016-03-18,18.65
2016-03-25,17.91
2016-04-01,18.42
2016-04-08,17.8
2016-04-15,18.65
2016-04-22,19.05
2016-04-29,18.39
2016-05-06,18.23
2016-05-13,17.98
2016-05-20,18.06
2016-05-27,18.86
2016-06-03,18.79
2016-06-10,19.22
2016-06-17,19.05
2016-06-24,18.4
2016-07-01,19.48
2016-07-08,20.48
2016-07-15,20.37
2016-07-22,21.85
2016-07-29,21.18
2016-08-05,21.54
2016-08-12,21.15
2016-08-19,21.19
2016-08-26,21.19
2016-09-02,20.88
2016-09-09,20.04
2016-09-16,19.57
2016-09-23,19.81
2016-09-30,20.04
2016-10-07,19.94
2016-10-14,19.43
2016-10-21,19.06
2016-10-28,18.51
2016-11-04,18.24
2016-11-11,18.32
2016-11-18,18.84
2016-11-25,19.27
2016-12-02,18.31
2016-12-09,19.6
2016-12-16,18.83
2016-12-23,18.38
2016-12-30,18.38
2017-01-06,18.46
2017-01-13,19.19
2017-01-20,19.12
2017-01-27,21.26
2017-02-03,21.39
2017-02-10,21.62
2017-02-17,21.4
2017-02-24,21.73
2017-03-03,22.48
2017-03-10,23.53
2017-03-17,23.72
2017-03-24,23.49
2017-03-31,23.55
2017-04-07,23.28
2017-04-14,23.71
2017-04-21,23.32
2017-04-28,22.67
2017-05-05,22.34
2017-05-12,22.75
2017-05-19,23.13
2017-05-26,22.84
2017-06-02,23.71
2017-06-09,23.44
2017-06-16,24.01
2017-06-23,24.15
2017-06-30,24.53
2017-07-07,24.94
2017-07-14,24.36
2017-07-21,24.31
2017-07-28,24.35
2017-08-04,25.6
2017-08-11,24.84
2017-08-18,25.28
2017-08-25,25.31
2017-09-01,25.87
2017-09-08,25.76
2017-09-15,26.29
2017-09-22,25.88
2017-09-29,27.33
2017-10-06,27.23
2017-10-13,27.07
2017-10-20,28.0
2017-10-27,30.07
2017-11-03,30.31
2017-11-10,31.15
2017-11-17,32.25
2017-11-24,33.15
2017-12-01,33.94
2017-12-08,34.1
2017-12-15,33.43
2017-12-22,33.37
2017-12-29,33.25
2018-01-05,34.54
2018-01-12,34.48
2018-01-19,34.6
2018-01-26,34.52
2018-02-02,30.7
2018-02-09,28.71
2018-02-16,29.74
2018-02-23,29.27
2018-03-02,28.95
2018-03-09,30.04
2018-03-16,29.38
2018-03-23,28.65
2018-03-30,29.49
2018-04-06,30.03
2018-04-13,29.29
2018-04-20,28.54
2018-04-27,31.06
2018-05-04,30.98
2018-05-11,31.32
2018-05-18,29.91
2018-05-25,30.47
2018-06-01,30.36
2018-06-08,32.56
2018-06-15,30.37
2018-06-22,28.78
2018-06-29,28.75
2018-07-06,29.31
2018-07-13,29.65
2018-07-20,31.11
2018-07-27,28.13
2018-08-03,28.64
2018-08-10,28.74
2018-08-17,28.09
2018-08-24,28.55
2018-08-31,27.95
2018-09-07,26.9
2018-09-14,27.02
2018-09-21,26.26
2018-09-28,24.77
2018-10-05,23.86
2018-10-12,22.89
2018-10-19,21.58
2018-10-26,23.93
2018-11-02,24.27
2018-11-09,24.44
2018-11-16,24.97
2018-11-23,25.92
2018-11-30,26.52
2018-12-07,26.23
2018-12-14,25.61
2018-12-21,25.13
2018-12-28,26.04
2019-01-04,27.2
2019-01-11,28.58
2019-01-18,26.59
2019-01-25,26.96
2019-02-01,27.35
2019-02-08,26.61
2019-02-15,27.12
2019-02-22,27.98
2019-03-01,26.74
2019-03-08,27.58
2019-03-15,26.87
2019-03-22,26.58
2019-03-29,27.96
2019-04-05,28.94
2019-04-12,29.39
2019-04-19,30.39
2019-04-26,31.46
2019-05-03,31.78
2019-05-10,31.54
2019-05-17,32.48
2019-05-24,32.12
2019-05-31,31.0
2019-06-07,32.75
2019-06-14,32.85
2019-06-21,31.9
2019-06-28,31.62
2019-07-05,31.94
2019-07-12,33.57
2019-07-19,33.23
2019-07-26,31.86
2019-08-02,31.34
2019-08-09,32.07
2019-08-16,32.07
