date,value
2015-01-02,25.74
2015-01-09,25.13
2015-01-16,24.49
2015-01-23,24.74
2015-01-30,24.41
2015-02-06,24.92
2015-02-13,25.29
2015-02-20,25.38
2015-02-27,25.38
2015-03-06,24.7
2015-03-13,24.62
2015-03-20,25.4
2015-03-27,24.77
2015-04-03,25.09
2015-04-10,25.04
2015-04-17,25.03
2015-04-24,25.26
2015-05-01,25.22
2015-05-08,25.3
2015-05-15,26.1
2015-05-22,26.07
2015-05-29,25.73
2015-06-05,25.62
2015-06-12,25.71
2015-06-19,25.3
2015-06-26,25.37
2015-07-03,24.93
2015-07-10,24.685
2015-07-17,24.68
2015-07-24,23.45
2015-07-31,23.82
2015-08-07,23.18
2015-08-14,23.46
2015-08-21,22.0
2015-08-28,22.09
2015-09-04,21.52
2015-09-11,21.75
2015-09-18,21.72
2015-09-25,20.95
2015-10-02,21.07
2015-10-09,22.54
2015-10-16,22.16
2015-10-23,22.67
2015-10-30,22.81
2015-11-06,22.95
2015-11-13,21.85
2015-11-20,22.15
2015-11-27,22.22
2015-12-04,22.08
2015-12-11,21.34
2015-12-18,21.33
2015-12-25,21.8299
2016-01-01,21.67
2016-01-08,19.85
2016-01-15,19.2
2016-01-22,19.47
2016-01-29,20.33
2016-02-05,19.7
2016-02-12,19.31
2016-02-19,20.14
2016-02-26,20.33
2016-03-04,21.29
2016-03-11,21.64
2016-03-18,21.75
2016-03-25,21.6
2016-04-01,22.17
2016-04-08,21.8
2016-04-15,22.45
2016-04-22,23.06
2016-04-29,22.96
2016-05-06,22.83
2016-05-13,22.75
2016-05-20,22.73
2016-05-27,23.13
2016-06-03,23.39
2016-06-10,23.44
2016-06-17,23.14
2016-06-24,22.9677
2016-07-01,23.65
2016-07-08,23.97
2016-07-15,24.25
2016-07-22,24.33
2016-07-29,24.45
2016-08-05,24.39
2016-08-12,24.51
2016-08-19,24.62
2016-08-26,24.4499
2016-09-02,24.68
2016-09-09,23.62
2016-09-16,23.69
2016-09-23,24.41
2016-09-30,24.6066
2016-10-07,24.03
2016-10-14,23.69
2016-10-21,23.81
2016-10-28,23.43
2016-11-04,22.92
2016-11-11,24.35
2016-11-18,24.55
2016-11-25,25.12
2016-12-02,24.77
2016-12-09,25.43
2016-12-16,24.95
2016-12-23,24.88
2016-12-30,24.59
2017-01-06,24.87
2017-01-13,25.02
2017-01-20,24.88
2017-01-27,25.48
2017-02-03,25.48
2017-02-10,25.74
2017-02-17,25.77
2017-02-24,26.04
2017-03-03,26.08
2017-03-10,25.82
2017-03-17,26.1
2017-03-24,25.62
2017-03-31,26.03
2017-04-07,25.95
2017-04-14,25.62
2017-04-21,26.16
2017-04-28,26.72
2017-05-05,26.8
2017-05-12,26.44
2017-05-19,26.58
2017-05-26,26.84
2017-06-02,27.4
2017-06-09,27.08
2017-06-16,27.23
2017-06-23,26.99
2017-06-30,26.97
2017-07-07,26.93
2017-07-14,27.3
2017-07-21,27.6
2017-07-28,27.25
2017-08-04,27.31
2017-08-11,26.75
2017-08-18,26.62
2017-08-25,26.67
2017-09-01,27.17
2017-09-08,27.48
2017-09-15,27.77
2017-09-22,28.5
2017-09-29,28.5
2017-10-06,29.08
2017-10-13,29.04
2017-10-20,29.315
2017-10-27,29.39
2017-11-03,29.4
2017-11-10,29.12
2017-11-17,29.3052
2017-11-24,29.72
2017-12-01,30.23
2017-12-08,30.3
2017-12-15,29.93
2017-12-22,30.07
2017-12-29,30.27
2018-01-05,30.51
2018-01-12,31.03
2018-01-19,31.3265
2018-01-26,31.75
2018-02-02,30.88
2018-02-09,28.9
2018-02-16,30.33
2018-02-23,30.59
2018-03-02,29.64
2018-03-09,31.27
2018-03-16,31.4
2018-03-23,29.87
2018-03-30,30.47
2018-04-06,29.93
2018-04-13,30.47
2018-04-20,31.14
2018-04-27,30.46
2018-05-04,30.22
2018-05-11,30.82
2018-05-18,30.47
2018-05-25,30.65
2018-06-01,30.63
2018-06-08,31.15
2018-06-15,30.96
2018-06-22,30.34
2018-06-29,30.21
2018-07-06,30.7
2018-07-13,30.77
2018-07-20,31.06
2018-07-27,31.15
2018-08-03,31.58
2018-08-10,31.24
2018-08-17,31.45
2018-08-24,31.5
2018-08-31,31.71
2018-09-07,31.86
2018-09-14,32.24
2018-09-21,32.36
2018-09-28,31.81
2018-10-05,31.44
2018-10-12,29.42
2018-10-19,29.4
2018-10-26,28.69
2018-11-02,29.68
2018-11-09,30.385
2018-11-16,30.33
2018-11-23,29.5899
2018-11-30,30.57
2018-12-07,29.12
2018-12-14,28.91
2018-12-21,27.44
2018-12-28,28.0
2019-01-04,28.32
2019-01-11,29.47
2019-01-18,30.34
2019-01-25,30.65
2019-02-01,31.2
2019-02-08,31.84
2019-02-15,32.8
2019-02-22,33.36
2019-03-01,33.66
2019-03-08,32.91
2019-03-15,33.73
2019-03-22,33.38
2019-03-29,33.98
2019-04-05,34.47
2019-04-12,34.37
2019-04-19,34.31
2019-04-26,34.44
2019-05-03,34.9318
2019-05-10,34.16
2019-05-17,33.42
2019-05-24,33.31
2019-05-31,33.15
2019-06-07,34.86
2019-06-14,34.84
2019-06-21,35.27
2019-06-28,35.61
2019-07-05,36.0
2019-07-12,35.8748
2019-07-19,35.61
2019-07-26,36.14
2019-08-02,35.4
2019-08-09,36.04
2019-08-16,35.94
2019-08-23,35.09
2019-08-30,36.18
2019-09-06,36.74
2019-09-13,37.02
2019-09-20,36.67
2019-09-27,36.44
2019-10-04,36.07
2019-10-11,36.09
2019-10-18,36.7
2019-10-25,36.8529
2019-11-01,37.14
2019-11-08,36.74
2019-11-15,37.01
2019-11-22,36.9
2019-11-29,37.55
2019-12-06,37.67
2019-12-13,38.0143
2019-12-20,38.6
2019-12-27,38.72
2020-01-03,38.63
