date,value
2015-01-02,17.36
2015-01-09,17.52
2015-01-16,17.76
2015-01-23,18.14
2015-01-30,17.8201
2015-02-06,18.0147
2015-02-13,18.42
2015-02-20,18.36
2015-02-27,18.48
2015-03-06,17.98
2015-03-13,17.49
2015-03-20,18.32
2015-03-27,18.21
2015-04-03,18.93
2015-04-10,19.1799
2015-04-17,18.96
2015-04-24,19.36
2015-05-01,19.11
2015-05-08,18.77
2015-05-15,19.13
2015-05-22,19.07
2015-05-29,18.57
2015-06-05,17.89
2015-06-12,18.03
2015-06-19,17.98
2015-06-26,18.19
2015-07-03,18.26
2015-07-10,17.53
2015-07-17,17.94
2015-07-24,17.545
2015-07-31,17.4
2015-08-07,17.31
2015-08-14,16.87
2015-08-21,15.33
2015-08-28,16.07
2015-09-04,15.11
2015-09-11,15.85
2015-09-18,15.89
2015-09-25,15.25
2015-10-02,15.78
2015-10-09,16.03
2015-10-16,16.12
2015-10-23,16.27
2015-10-30,15.95
2015-11-06,16.19
2015-11-13,15.47
2015-11-20,15.98
2015-11-27,15.77
2015-12-04,15.72
2015-12-11,14.39
2015-12-18,14.9
2015-12-25,15.11
2016-01-01,14.95
2016-01-08,13.82
2016-01-15,13.36
2016-01-22,13.83
2016-01-29,14.27
2016-02-05,14.02
2016-02-12,13.82
2016-02-19,14.09
2016-02-26,14.05
2016-03-04,14.79
2016-03-11,14.9
2016-03-18,15.23
2016-03-25,15.0793
2016-04-01,15.36
2016-04-08,15.19
2016-04-15,15.4
2016-04-22,15.27
2016-04-29,15.2
2016-05-06,14.8792
2016-05-13,14.89
2016-05-20,14.87
2016-05-27,15.15
2016-06-03,15.55
2016-06-10,15.27
2016-06-17,15.28
2016-06-24,15.04
2016-07-01,15.74
2016-07-08,15.65
2016-07-15,16.08
2016-07-22,16.2
2016-07-29,16.35
2016-08-05,16.4
2016-08-12,16.52
2016-08-19,16.62
2016-08-26,16.42
2016-09-02,16.62
2016-09-09,15.91
2016-09-16,15.97
2016-09-23,16.35
2016-09-30,16.33
2016-10-07,16.2665
2016-10-14,15.7301
2016-10-21,16.25
2016-10-28,15.9945
2016-11-04,15.55
2016-11-11,14.85
2016-11-18,14.841
2016-11-25,14.94
2016-12-02,14.87
2016-12-09,15.22
2016-12-16,14.75
