date,value
2015-01-02,21.38
2015-01-09,21.53
2015-01-16,22.49
2015-01-23,23.04
2015-01-30,22.51
2015-02-06,22.47
2015-02-13,23.01
2015-02-20,23.03
2015-02-27,23.23
2015-03-06,22.75
2015-03-13,22.46
2015-03-20,22.73
2015-03-27,21.95
2015-04-03,23.01
2015-04-10,23.62
2015-04-17,22.8
2015-04-24,21.43
2015-05-01,21.3
2015-05-08,21.52
2015-05-15,21.5
2015-05-22,21.88
2015-05-29,21.77
2015-06-05,20.96
2015-06-12,20.48
2015-06-19,21.58
2015-06-26,21.82
2015-07-03,22.0
2015-07-10,21.74
2015-07-17,22.31
2015-07-24,21.74
2015-07-31,21.87
2015-08-07,21.93
2015-08-14,21.29
2015-08-21,19.72
2015-08-28,19.73
2015-09-04,18.67
2015-09-11,19.22
2015-09-18,19.4
2015-09-25,19.16
2015-10-02,19.98
2015-10-09,20.58
2015-10-16,20.6
2015-10-23,20.77
2015-10-30,19.9
2015-11-06,19.72
2015-11-13,18.93
2015-11-20,19.33
2015-11-27,19.11
2015-12-04,19.15
2015-12-11,18.18
2015-12-18,19.11
2015-12-25,19.59
2016-01-01,19.52
2016-01-08,18.47
2016-01-15,18.1
2016-01-22,18.13
2016-01-29,18.61
2016-02-05,18.07
2016-02-12,17.13
2016-02-19,17.34
2016-02-26,17.04
2016-03-04,18.76
2016-03-11,18.67
2016-03-18,18.8
2016-03-25,18.84
2016-04-01,19.08
2016-04-08,18.55
2016-04-15,19.42
2016-04-22,19.33
2016-04-29,19.18
2016-05-06,18.9
2016-05-13,18.61
2016-05-20,18.46
2016-05-27,19.33
2016-06-03,19.53
2016-06-10,19.2
2016-06-17,19.25
2016-06-24,18.64
2016-07-01,19.8
2016-07-08,19.98
2016-07-15,20.25
2016-07-22,20.31
2016-07-29,20.72
2016-08-05,20.86
2016-08-12,20.74
2016-08-19,20.65
2016-08-26,20.31
2016-09-02,20.98
2016-09-09,20.54
2016-09-16,20.57
2016-09-23,20.91
2016-09-30,20.73
2016-10-07,21.09
2016-10-14,20.77
2016-10-21,20.9
2016-10-28,20.69
2016-11-04,19.9
2016-11-11,19.03
2016-11-18,18.83
2016-11-25,19.13
2016-12-02,19.2
2016-12-09,19.88
2016-12-16,19.47
2016-12-23,19.01
2016-12-30,19.28
2017-01-06,19.73
2017-01-13,20.03
2017-01-20,19.8
2017-01-27,20.46
2017-02-03,21.02
2017-02-10,21.25
2017-02-17,21.17
2017-02-24,21.62
2017-03-03,21.8
2017-03-10,21.87
2017-03-17,22.52
2017-03-24,22.49
2017-03-31,22.82
2017-04-07,23.17
2017-04-14,22.88
2017-04-21,22.62
2017-04-28,23.17
2017-05-05,22.98
2017-05-12,23.38
2017-05-19,23.15
2017-05-26,23.09
2017-06-02,23.38
2017-06-09,23.23
2017-06-16,23.04
2017-06-23,22.97
2017-06-30,22.8
2017-07-07,23.22
2017-07-14,24.13
2017-07-21,24.35
2017-07-28,24.6
2017-08-04,25.09
2017-08-11,23.93
2017-08-18,24.34
2017-08-25,24.545
2017-09-01,24.95
2017-09-08,24.69
2017-09-15,25.06
2017-09-22,24.21
2017-09-29,23.67
2017-10-06,24.2
2017-10-13,24.99
2017-10-20,24.93
2017-10-27,25.55
2017-11-03,25.96
2017-11-10,25.2
2017-11-17,25.19
2017-11-24,25.63
2017-12-01,24.82
2017-12-08,25.42
2017-12-15,25.69
2017-12-22,26.21
2017-12-29,26.4
2018-01-05,27.03
2018-01-12,27.28
2018-01-19,27.37
2018-01-26,27.85
2018-02-02,26.19
2018-02-09,26.1
2018-02-16,26.08
2018-02-23,26.23
2018-03-02,25.66
2018-03-09,25.68
2018-03-16,25.25
2018-03-23,24.43
2018-03-30,25.13
2018-04-06,25.17
2018-04-13,25.48
2018-04-20,25.23
2018-04-27,25.68
2018-05-04,25.05
2018-05-11,25.07
2018-05-18,24.26
2018-05-25,24.53
2018-06-01,24.98
2018-06-08,25.11
2018-06-15,24.98
2018-06-22,24.95
2018-06-29,24.59
2018-07-06,24.61
2018-07-13,25.26
2018-07-20,25.26
2018-07-27,25.82
