date,value
2015-01-02,66.62
2015-01-09,68.59
2015-01-16,69.82
2015-01-23,70.62
2015-01-30,70.15
2015-02-06,72.04
2015-02-13,73.81
2015-02-20,75.42
2015-02-27,75.81
2015-03-06,75.85
2015-03-13,77.09
2015-03-20,80.41
2015-03-27,77.28
2015-04-03,75.71
2015-04-10,79.44
2015-04-17,78.9
2015-04-24,79.99
2015-05-01,75.92
2015-05-08,76.13
2015-05-15,76.68
2015-05-22,77.74
2015-05-29,77.77
2015-06-05,77.84
2015-06-12,77.79
2015-06-19,79.43
2015-06-26,79.68
2015-07-03,78.57
2015-07-10,80.85
2015-07-17,83.21
2015-07-24,80.48
2015-07-31,81.66
2015-08-07,79.32
2015-08-14,79.58
2015-08-21,76.52
2015-08-28,76.24
2015-09-04,73.65
2015-09-11,75.86
2015-09-18,76.95
2015-09-25,69.97
2015-10-02,69.12
2015-10-09,68.95
2015-10-16,69.71
2015-10-23,68.09
2015-10-30,70.5
2015-11-06,71.47
2015-11-13,69.84
2015-11-20,72.77
2015-11-27,74.02
2015-12-04,73.5
2015-12-11,71.63
2015-12-18,70.36
2015-12-25,70.57
2016-01-01,69.97
2016-01-08,64.81
2016-01-15,63.02
2016-01-22,64.7
2016-01-29,61.35
2016-02-05,59.48
2016-02-12,58.15
2016-02-19,59.97
2016-02-26,60.78
2016-03-04,60.45
2016-03-11,61.6
2016-03-18,58.28
2016-03-25,59.39
2016-04-01,61.28
2016-04-08,62.86
2016-04-15,63.32
2016-04-22,65.65
2016-04-29,62.14
2016-05-06,59.43
2016-05-13,59.99
2016-05-20,62.35
2016-05-27,64.16
2016-06-03,64.95
2016-06-10,63.81
2016-06-17,62.55
2016-06-24,61.23
2016-07-01,64.1
2016-07-08,65.45
2016-07-15,66.22
2016-07-22,66.99
2016-07-29,67.74
2016-08-05,68.13
2016-08-12,66.33
2016-08-19,66.03
2016-08-26,64.89
2016-09-02,63.73
2016-09-09,63.96
2016-09-16,63.38
2016-09-23,64.35
2016-09-30,61.64
2016-10-07,61.18
2016-10-14,58.92
2016-10-21,58.72
2016-10-28,57.06
2016-11-04,54.58
2016-11-11,59.12
2016-11-18,58.11
2016-11-25,57.5
2016-12-02,55.44
2016-12-09,55.56
2016-12-16,56.61
2016-12-23,56.51
2016-12-30,56.03
2017-01-06,58.1
2017-01-13,56.92
2017-01-20,55.26
2017-01-27,55.04
2017-02-03,58.02
2017-02-10,58.66
2017-02-17,60.82
2017-02-24,60.98
2017-03-03,60.33
2017-03-10,60.2
2017-03-17,59.11
2017-03-24,58.52
2017-03-31,58.76
2017-04-07,59.72
2017-04-14,59.92
2017-04-21,59.11
2017-04-28,60.65
2017-05-05,59.97
2017-05-12,60.56
2017-05-19,58.69
2017-05-26,58.64
2017-06-02,59.75
2017-06-09,59.81
2017-06-16,59.15
2017-06-23,63.72
2017-06-30,62.77
2017-07-07,62.69
2017-07-14,63.87
2017-07-21,64.71
2017-07-28,63.15
2017-08-04,61.89
2017-08-11,60.17
2017-08-18,60.16
2017-08-25,61.07
2017-09-01,63.78
2017-09-08,65.0
2017-09-15,65.43
2017-09-22,64.81
2017-09-29,65.35
2017-10-06,66.98
2017-10-13,66.03
2017-10-20,65.96
2017-10-27,62.79
2017-11-03,62.83
2017-11-10,63.11
2017-11-17,62.16
2017-11-24,62.68
2017-12-01,63.71
2017-12-08,63.72
2017-12-15,64.91
2017-12-22,64.31
2017-12-29,64.17
2018-01-05,66.57
2018-01-12,67.94
2018-01-19,68.66
2018-01-26,70.78
2018-02-02,67.28
2018-02-09,63.27
2018-02-16,66.73
2018-02-23,66.07
2018-03-02,63.73
2018-03-09,66.11
2018-03-16,65.59
2018-03-23,61.3
2018-03-30,62.4
2018-04-06,60.68
2018-04-13,62.49
2018-04-20,62.4928
2018-04-27,62.62
2018-05-04,60.72
2018-05-11,63.69
2018-05-18,65.03
2018-05-25,64.62
2018-06-01,65.41
2018-06-08,68.0473
2018-06-15,68.76
2018-06-22,68.17
2018-06-29,67.21
2018-07-06,69.96
2018-07-13,70.51
2018-07-20,69.99
2018-07-27,69.71
2018-08-03,71.46
2018-08-10,72.08
2018-08-17,72.96
2018-08-24,73.13
2018-08-31,73.88
2018-09-07,72.45
2018-09-14,72.19
2018-09-21,73.02
2018-09-28,73.51
2018-10-05,71.62
2018-10-12,68.62
2018-10-19,69.01
2018-10-26,65.96
2018-11-02,67.58
2018-11-09,69.21
2018-11-16,68.82
2018-11-23,67.63
2018-11-30,70.29
2018-12-07,66.51
2018-12-14,65.09
2018-12-21,59.53
2018-12-28,61.52
2019-01-04,63.9499
2019-01-11,65.86
2019-01-18,66.54
2019-01-25,65.25
2019-02-01,65.79
2019-02-08,65.24
2019-02-15,67.41
2019-02-22,66.36
2019-03-01,69.16
2019-03-08,65.1506
2019-03-15,66.25
2019-03-22,64.19
2019-03-29,65.17
2019-04-05,65.96
2019-04-12,64.01
2019-04-19,61.05
2019-04-26,63.02
2019-05-03,63.66
2019-05-10,62.63
2019-05-17,61.14
2019-05-24,60.19
2019-05-31,57.12
2019-06-07,58.91
2019-06-14,58.33
2019-06-21,60.18
2019-06-28,60.16
2019-07-05,60.47
2019-07-12,58.47
2019-07-19,57.69
2019-07-26,57.89
2019-08-02,57.71
2019-08-09,57.31
2019-08-16,56.29
2019-08-23,55.65
2019-08-30,56.02
2019-09-06,56.72
2019-09-13,57.79
2019-09-20,57.97
2019-09-27,56.5
2019-10-04,56.3
2019-10-11,56.52
2019-10-18,57.34
2019-10-25,58.5
2019-11-01,60.29
2019-11-08,60.25
2019-11-15,60.86
2019-11-22,61.62
2019-11-29,63.79
2019-12-06,63.79
2019-12-13,64.42
2019-12-20,65.63
2019-12-27,64.9
2020-01-03,64.13
