date,value
2015-01-02,63.71
2015-01-09,65.85
2015-01-16,63.42
2015-01-23,62.9
2015-01-30,58.23
2015-02-06,60.34
2015-02-13,61.04
2015-02-20,60.86
2015-02-27,60.64
2015-03-06,61.08
2015-03-13,58.08
2015-03-20,57.55
2015-03-27,56.15
2015-04-03,54.2
2015-04-10,57.23
2015-04-17,57.7
2015-04-24,59.93
2015-05-01,59.15
2015-05-08,60.18
2015-05-15,58.24
2015-05-22,56.54
2015-05-29,54.76
2015-06-05,51.39
2015-06-12,50.54
2015-06-19,49.44
2015-06-26,50.3
2015-07-03,50.83
2015-07-10,46.42
2015-07-17,42.56
2015-07-24,40.51
2015-07-31,41.52
2015-08-07,41.73
2015-08-14,39.37
2015-08-21,36.89
2015-08-28,40.1
2015-09-04,37.82
2015-09-11,40.39
2015-09-18,39.18
2015-09-25,35.55
2015-10-02,35.91
2015-10-09,39.9
2015-10-16,40.54
2015-10-23,41.9
2015-10-30,40.03
2015-11-06,38.64
2015-11-13,36.32
2015-11-20,36.78
2015-11-27,36.54
2015-12-04,36.78
2015-12-11,34.45
2015-12-18,34.96
2015-12-25,38.37
2016-01-01,35.36
2016-01-08,33.14
2016-01-15,32.31
2016-01-22,33.6
2016-01-29,37.09
2016-02-05,37.47
2016-02-12,37.72
2016-02-19,39.44
2016-02-26,39.58
2016-03-04,45.9
2016-03-11,46.33
2016-03-18,46.45
2016-03-25,45.15
2016-04-01,46.99
2016-04-08,50.41
2016-04-15,52.79
2016-04-22,54.17
2016-04-29,52.02
2016-05-06,47.57
2016-05-13,43.38
2016-05-20,43.32
2016-05-27,43.71
2016-06-03,44.85
2016-06-10,46.28
2016-06-17,43.29
2016-06-24,42.0
2016-07-01,44.54
2016-07-08,43.99
2016-07-15,49.29
2016-07-22,47.91
2016-07-29,50.68
2016-08-05,49.32
2016-08-12,48.85
2016-08-19,48.56
2016-08-26,49.1
2016-09-02,51.46
2016-09-09,50.54
2016-09-16,48.07
2016-09-23,50.57
2016-09-30,51.08
2016-10-07,50.93
2016-10-14,51.06
2016-10-21,53.42
2016-10-28,51.11
2016-11-04,51.84
2016-11-11,53.13
2016-11-18,53.11
2016-11-25,55.8
2016-12-02,54.09
2016-12-09,59.05
2016-12-16,54.87
2016-12-23,55.13
2016-12-30,52.55
2017-01-06,51.87
2017-01-13,56.9
2017-01-20,57.61
2017-01-27,58.3
2017-02-03,58.19
2017-02-10,59.71
2017-02-17,62.06
2017-02-24,60.82
2017-03-03,62.35
2017-03-10,61.15
2017-03-17,64.07
2017-03-24,62.04
2017-03-31,64.5
2017-04-07,59.43
2017-04-14,57.49
2017-04-21,58.97
2017-04-28,59.02
2017-05-05,58.88
2017-05-12,59.89
2017-05-19,61.24
2017-05-26,62.86
2017-06-02,60.7
2017-06-09,61.41
2017-06-16,59.95
2017-06-23,59.88
2017-06-30,62.59
2017-07-07,64.53
2017-07-14,69.51
2017-07-21,72.61
2017-07-28,73.79
2017-08-04,74.3
2017-08-11,70.5
2017-08-18,72.54
2017-08-25,74.48
2017-09-01,77.62
2017-09-08,73.75
2017-09-15,69.64
2017-09-22,68.24
2017-09-29,69.4
2017-10-06,69.9
2017-10-13,72.85
2017-10-20,74.4
2017-10-27,75.41
2017-11-03,72.49
2017-11-10,72.03
2017-11-17,71.18
2017-11-24,73.72
2017-12-01,75.84
2017-12-08,76.34
2017-12-15,76.31
2017-12-22,78.57
2017-12-29,78.13
2018-01-05,86.0
2018-01-12,90.34
2018-01-19,90.59
2018-01-26,92.78
2018-02-02,87.17
2018-02-09,81.47
2018-02-16,86.56
2018-02-23,83.74
2018-03-02,81.47
2018-03-09,81.76
2018-03-16,80.6
2018-03-23,74.27
2018-03-30,78.85
2018-04-06,74.61
2018-04-13,76.97
2018-04-20,80.76
2018-04-27,82.13
2018-05-04,86.17
2018-05-11,83.62
2018-05-18,82.98
2018-05-25,80.64
2018-06-01,80.01
2018-06-08,84.06
2018-06-15,81.68
2018-06-22,77.97
2018-06-29,74.12
2018-07-06,70.4
2018-07-13,70.0
2018-07-20,67.54
2018-07-27,72.75
2018-08-03,71.74
2018-08-10,71.88
2018-08-17,70.19
2018-08-24,71.38
2018-08-31,72.51
2018-09-07,67.8
2018-09-14,65.7
2018-09-21,67.76
2018-09-28,66.0
2018-10-05,60.87
2018-10-12,58.47
2018-10-19,58.53
2018-10-26,57.86
2018-11-02,60.3
2018-11-09,58.21
2018-11-16,57.61
2018-11-23,54.32
2018-11-30,55.22
2018-12-07,54.98
2018-12-14,55.33
2018-12-21,53.12
2018-12-28,54.7
2019-01-04,55.24
2019-01-11,56.96
2019-01-18,58.75
2019-01-25,59.96
2019-02-01,60.23
2019-02-08,58.36
2019-02-15,59.58
2019-02-22,60.89
2019-03-01,58.3
2019-03-08,54.94
2019-03-15,57.39
2019-03-22,55.36
2019-03-29,55.21
2019-04-05,60.63
2019-04-12,59.25
2019-04-19,59.64
2019-04-26,55.05
2019-05-03,54.75
2019-05-10,51.34
2019-05-17,49.03
2019-05-24,47.98
2019-05-31,49.73
2019-06-07,49.64
2019-06-14,50.23
2019-06-21,52.17
2019-06-28,53.06
2019-07-05,52.51
2019-07-12,50.78
2019-07-19,50.16
2019-07-26,48.68
2019-08-02,44.48
2019-08-09,42.27
2019-08-16,42.38
2019-08-23,41.22
2019-08-30,43.62
2019-09-06,45.16
2019-09-13,50.03
2019-09-20,48.77
2019-09-27,46.71
2019-10-04,46.12
2019-10-11,48.33
2019-10-18,47.61
2019-10-25,45.33
2019-11-01,46.58
2019-11-08,48.57
2019-11-15,48.17
2019-11-22,47.18
2019-11-29,48.12
2019-12-06,48.7
2019-12-13,50.82
2019-12-20,52.08
2019-12-27,51.67
2020-01-03,50.31
