date,value
2015-01-02,90.82
2015-01-09,86.77
2015-01-16,84.44
2015-01-23,86.28
2015-01-30,84.54
2015-02-06,90.44
2015-02-13,92.38
2015-02-20,92.27
2015-02-27,91.96
2015-03-06,93.73
2015-03-13,95.69
2015-03-20,95.97
2015-03-27,92.04
2015-04-03,93.29
2015-04-10,93.48
2015-04-17,90.93
2015-04-24,91.0
2015-05-01,92.0
2015-05-08,93.65
2015-05-15,93.74
2015-05-22,95.22
2015-05-29,95.69
2015-06-05,96.51
2015-06-12,98.42
2015-06-19,97.13
2015-06-26,97.62
2015-07-03,96.47
2015-07-10,96.3
2015-07-17,98.81
2015-07-24,98.34
2015-07-31,98.18
2015-08-07,97.8
2015-08-14,97.59
2015-08-21,92.28
2015-08-28,91.23
2015-09-04,87.66
2015-09-11,90.35
2015-09-18,87.43
2015-09-25,89.29
2015-10-02,88.16
2015-10-09,89.82
2015-10-16,87.61
2015-10-23,91.24
2015-10-30,90.26
2015-11-06,95.2
2015-11-13,92.32
2015-11-20,95.38
2015-11-27,95.48
2015-12-04,97.19
2015-12-11,92.37
2015-12-18,93.75
2015-12-25,96.24
2016-01-01,95.31
2016-01-08,87.96
2016-01-15,86.33
2016-01-22,85.74
2016-01-29,86.65
2016-02-05,83.57
2016-02-12,80.93
2016-02-19,82.82
2016-02-26,83.97
2016-03-04,87.3
2016-03-11,86.4
2016-03-18,86.16
2016-03-25,84.8
2016-04-01,85.29
2016-04-08,81.82
2016-04-15,84.16
2016-04-22,88.09
2016-04-29,87.78
2016-05-06,85.61
2016-05-13,84.74
2016-05-20,88.19
2016-05-27,90.24
2016-06-03,88.57
2016-06-10,87.0
2016-06-17,83.68
2016-06-24,81.08
2016-07-01,80.93
2016-07-08,80.62
2016-07-15,82.06
2016-07-22,82.83
2016-07-29,82.65
2016-08-05,86.44
2016-08-12,85.0
2016-08-19,85.42
2016-08-26,86.69
2016-09-02,90.54
2016-09-09,89.92
2016-09-16,89.39
2016-09-23,89.41
2016-09-30,90.09
2016-10-07,91.42
2016-10-14,88.03
2016-10-21,92.92
2016-10-28,95.1
2016-11-04,94.65
2016-11-11,105.93
2016-11-18,111.24
2016-11-25,112.07
2016-12-02,111.08
2016-12-09,115.02
2016-12-16,114.86
2016-12-23,117.96
2016-12-30,116.96
2017-01-06,119.05
2017-01-13,118.79
2017-01-20,117.35
2017-01-27,121.64
2017-02-03,122.16
2017-02-10,123.1
2017-02-17,126.86
2017-02-24,126.88
2017-03-03,127.83
2017-03-10,126.46
2017-03-17,124.35
2017-03-24,119.4
2017-03-31,120.24
2017-04-07,119.17
2017-04-14,115.8
2017-04-21,118.17
2017-04-28,119.75
2017-05-05,123.12
2017-05-12,120.81
2017-05-19,118.76
2017-05-26,121.32
2017-06-02,119.16
2017-06-09,123.17
2017-06-16,122.51
2017-06-23,119.55
2017-06-30,124.87
2017-07-07,126.54
2017-07-14,127.17
2017-07-21,126.24
2017-07-28,127.65
2017-08-04,132.17
2017-08-11,128.05
2017-08-18,127.11
2017-08-25,127.88
2017-09-01,126.64
2017-09-08,121.51
2017-09-15,128.19
2017-09-22,133.43
2017-09-29,134.77
2017-10-06,135.69
2017-10-13,133.75
2017-10-20,136.95
2017-10-27,138.17
2017-11-03,138.64
2017-11-10,132.48
2017-11-17,132.85
2017-11-24,132.56
2017-12-01,141.0
2017-12-08,143.8
2017-12-15,144.95
2017-12-22,146.12
2017-12-29,144.29
2018-01-05,144.78
2018-01-12,151.84
2018-01-19,155.25
2018-01-26,158.66
2018-02-02,157.97
2018-02-09,151.71
2018-02-16,159.08
2018-02-23,160.09
2018-03-02,157.43
2018-03-09,162.45
2018-03-16,160.07
2018-03-23,147.24
2018-03-30,151.24
2018-04-06,147.95
2018-04-13,145.46
2018-04-20,144.12
2018-04-27,147.34
2018-05-04,145.6
2018-05-11,150.97
2018-05-18,148.76
2018-05-25,148.15
2018-06-01,145.12
2018-06-08,148.85
2018-06-15,143.97
2018-06-22,139.36
2018-06-29,135.1
2018-07-06,136.0
2018-07-13,138.32
2018-07-20,142.5
2018-07-27,144.4
2018-08-03,145.03
2018-08-10,143.55
2018-08-17,144.55
2018-08-24,142.93
2018-08-31,143.54
2018-09-07,142.96
2018-09-14,140.4
2018-09-21,144.01
2018-09-28,136.19
2018-10-05,138.52
2018-10-12,124.26
2018-10-19,125.16
2018-10-26,119.45
2018-11-02,129.88
2018-11-09,134.23
2018-11-16,136.39
2018-11-23,132.62
2018-11-30,135.78
2018-12-07,126.56
2018-12-14,118.5
2018-12-21,111.49
2018-12-28,115.37
2019-01-04,121.23
2019-01-11,120.05
2019-01-18,125.25
2019-01-25,124.92
2019-02-01,122.73
2019-02-08,121.24
2019-02-15,124.15
2019-02-22,124.15
2019-03-01,126.62
2019-03-08,126.7
2019-03-15,129.86
2019-03-22,119.18
2019-03-29,122.66
2019-04-05,127.91
2019-04-12,132.7
2019-04-19,133.19
2019-04-26,136.09
2019-05-03,137.1
2019-05-10,132.44
2019-05-17,130.22
2019-05-24,131.97
2019-05-31,127.26
2019-06-07,132.88
2019-06-14,135.21
2019-06-21,133.17
2019-06-28,137.28
2019-07-05,141.57
2019-07-12,142.19
2019-07-19,138.83
2019-07-26,142.8
2019-08-02,137.96
2019-08-09,132.34
2019-08-16,127.0
2019-08-23,123.09
2019-08-30,128.93
2019-09-06,131.72
2019-09-13,139.28
2019-09-20,140.88
2019-09-27,140.39
2019-10-04,140.47
2019-10-11,140.4
2019-10-18,143.52
2019-10-25,146.67
2019-11-01,148.81
2019-11-08,152.2
2019-11-15,150.86
2019-11-22,152.85
2019-11-29,153.21
2019-12-06,153.81
2019-12-13,158.64
2019-12-20,159.82
2019-12-27,160.81
2020-01-03,158.83
