date,value
2015-01-02,67.02
2015-01-09,65.31
2015-01-16,64.15
2015-01-23,67.88
2015-01-30,66.45
2015-02-06,67.21
2015-02-13,69.78
2015-02-20,70.67
2015-02-27,70.44
2015-03-06,70.77
2015-03-13,68.94
2015-03-20,71.02
2015-03-27,70.18
2015-04-03,70.07
2015-04-10,72.21
2015-04-17,72.08
2015-04-24,74.84
2015-05-01,72.69
2015-05-08,72.85
2015-05-15,73.49
2015-05-22,74.21
2015-05-29,73.05
2015-06-05,74.224
2015-06-12,74.17
2015-06-19,74.391
2015-06-26,73.994
2015-07-03,73.14
2015-07-10,72.98
2015-07-17,78.06
2015-07-24,77.64
2015-07-31,76.75
2015-08-07,76.31
2015-08-14,75.64
2015-08-21,69.993
2015-08-28,72.4
2015-09-04,69.32
2015-09-11,71.03
2015-09-18,72.22
2015-09-25,69.73
2015-10-02,71.35
2015-10-09,73.94
2015-10-16,74.931
2015-10-23,76.6
2015-10-30,78.929
2015-11-06,81.42
2015-11-13,77.51
2015-11-20,81.59
2015-11-27,81.3
2015-12-04,82.9586
2015-12-11,79.22
2015-12-18,80.14
2015-12-25,80.84
2016-01-01,80.23
2016-01-08,73.35
2016-01-15,70.11
2016-01-22,71.65
2016-01-29,71.0201
2016-02-05,65.37
2016-02-12,65.8699
2016-02-19,70.77
2016-02-26,71.88
2016-03-04,74.21
2016-03-11,74.24
2016-03-18,74.8601
2016-03-25,74.42
2016-04-01,76.09
2016-04-08,74.92
2016-04-15,77.46
2016-04-22,76.55
2016-04-29,76.44
2016-05-06,75.35
2016-05-13,74.97
2016-05-20,75.49
2016-05-27,78.72
2016-06-03,78.26
2016-06-10,76.56
2016-06-17,75.62
2016-06-24,74.78
2016-07-01,77.16
2016-07-08,78.05
2016-07-15,79.348
2016-07-22,80.442
2016-07-29,81.0625
2016-08-05,82.6
2016-08-12,84.1799
2016-08-19,84.089
2016-08-26,84.3606
2016-09-02,85.7367
2016-09-09,84.6599
2016-09-16,85.42
2016-09-23,87.5704
2016-09-30,87.68
2016-10-07,87.58
2016-10-14,85.8938
2016-10-21,88.31
2016-10-28,87.27
2016-11-04,83.37
2016-11-11,83.12
2016-11-18,84.08
2016-11-25,85.1207
2016-12-02,82.44
2016-12-09,86.0799
2016-12-16,83.94
2016-12-23,83.61
2016-12-30,82.64
2017-01-06,86.91
2017-01-13,88.56
2017-01-20,88.5505
2017-01-27,90.76
2017-02-03,90.0954
2017-02-10,91.6
2017-02-17,92.49
2017-02-24,92.239
2017-03-03,92.56
2017-03-10,93.0
2017-03-17,94.46
2017-03-24,93.18
2017-03-31,94.4
2017-04-07,94.07
2017-04-14,93.52
2017-04-21,95.15
2017-04-28,99.2
2017-05-05,101.21
2017-05-12,102.92
2017-05-19,102.96
2017-05-26,105.0199
2017-06-02,105.71
2017-06-09,103.55
2017-06-16,102.13
2017-06-23,106.74
2017-06-30,103.14
2017-07-07,103.2
2017-07-14,108.09
2017-07-21,110.76
2017-07-28,111.78
2017-08-04,110.47
2017-08-11,107.2
2017-08-18,105.74
2017-08-25,106.25
2017-09-01,109.46
2017-09-08,109.1
2017-09-15,110.87
2017-09-22,111.12
2017-09-29,110.09
2017-10-06,113.56
2017-10-13,114.34
2017-10-20,113.24
2017-10-27,113.27
2017-11-03,114.06
2017-11-10,112.45
2017-11-17,115.03
2017-11-24,117.35
2017-12-01,112.87
2017-12-08,112.85
2017-12-15,115.83
2017-12-22,116.72
2017-12-29,115.71
2018-01-05,121.55
2018-01-12,123.77
2018-01-19,124.18
2018-01-26,131.34
2018-02-02,127.97
2018-02-09,121.05
2018-02-16,129.23
2018-02-23,132.07
2018-03-02,131.55
2018-03-09,139.81
2018-03-16,138.84
2018-03-23,128.94
2018-03-30,127.82
2018-04-06,124.48
2018-04-13,126.905
2018-04-20,130.65
2018-04-27,128.91
2018-05-04,130.09
2018-05-11,133.63
2018-05-18,131.66
2018-05-25,133.82
2018-06-01,137.47
2018-06-08,140.83
2018-06-15,145.86
2018-06-22,144.35
2018-06-29,139.24
2018-07-06,143.26
2018-07-13,144.62
2018-07-20,142.35
2018-07-27,139.01
2018-08-03,136.13
2018-08-10,136.65
2018-08-17,132.45
2018-08-24,136.77
2018-08-31,138.38
2018-09-07,132.15
2018-09-14,134.74
2018-09-21,133.61
2018-09-28,134.67
2018-10-05,127.6
2018-10-12,122.64
2018-10-19,119.96
2018-10-26,115.65
2018-11-02,121.77
2018-11-09,119.35
2018-11-16,117.43
2018-11-23,111.65
2018-11-30,119.36
2018-12-07,115.6901
2018-12-14,116.14
2018-12-21,104.07
2018-12-28,109.49
2019-01-04,113.06
2019-01-11,118.25
2019-01-18,122.68
2019-01-25,123.06
2019-02-01,126.34
2019-02-08,126.73
2019-02-15,129.07
2019-02-22,130.65
2019-03-01,131.51
2019-03-08,129.77
2019-03-15,133.89
2019-03-22,133.31
2019-03-29,134.74
2019-04-05,138.9199
2019-04-12,139.1882
2019-04-19,138.66
2019-04-26,142.88
2019-05-03,144.17
2019-05-10,137.2
2019-05-17,134.96
2019-05-24,131.15
2019-05-31,128.39
2019-06-07,132.01
2019-06-14,133.07
2019-06-21,137.7
2019-06-28,136.86
2019-07-05,140.65
2019-07-12,141.76
2019-07-19,138.61
2019-07-26,143.33
