date,value
2015-01-02,66.68
2015-01-09,65.12
2015-01-16,64.48
2015-01-23,64.25
2015-01-30,61.81
2015-02-06,64.32
2015-02-13,66.87
2015-02-20,68.03
2015-02-27,66.47
2015-03-06,63.41
2015-03-13,63.76
2015-03-20,64.64
2015-03-27,62.39
2015-04-03,63.67
2015-04-10,62.66
2015-04-17,63.59
2015-04-24,61.52
2015-05-01,62.13
2015-05-08,62.08
2015-05-15,64.0
2015-05-22,65.02
2015-05-29,64.03
2015-06-05,62.38
2015-06-12,62.09
2015-06-19,61.41
2015-06-26,63.75
2015-07-03,67.94
2015-07-10,63.9
2015-07-17,63.83
2015-07-24,60.84
2015-07-31,60.81
2015-08-07,61.14
2015-08-14,61.67
2015-08-21,57.03
2015-08-28,55.97
2015-09-04,53.19
2015-09-11,54.41
2015-09-18,51.0
2015-09-25,51.98
2015-10-02,51.35
2015-10-09,57.15
2015-10-16,55.57
2015-10-23,55.79
2015-10-30,55.92
2015-11-06,57.26
2015-11-13,54.88
2015-11-20,56.68
2015-11-27,56.39
2015-12-04,55.83
2015-12-11,51.73
2015-12-18,48.21
2015-12-25,50.28
2016-01-01,49.53
2016-01-08,45.64
2016-01-15,44.62
2016-01-22,44.1
2016-01-29,47.12
2016-02-05,46.25
2016-02-12,44.4
2016-02-19,48.01
2016-02-26,48.54
2016-03-04,50.54
2016-03-11,50.4
2016-03-18,53.8
2016-03-25,52.65
2016-04-01,53.55
2016-04-08,51.51
2016-04-15,55.11
2016-04-22,57.28
2016-04-29,58.08
2016-05-06,58.14
2016-05-13,57.65
2016-05-20,58.48
2016-05-27,60.61
2016-06-03,60.0
2016-06-10,59.38
2016-06-17,61.2
2016-06-24,57.83
2016-07-01,58.83
2016-07-08,61.43
2016-07-15,63.57
2016-07-22,62.61
2016-07-29,63.82
2016-08-05,64.56
2016-08-12,65.63
2016-08-19,65.79
2016-08-26,63.7
2016-09-02,64.02
2016-09-09,59.89
2016-09-16,59.4
2016-09-23,61.26
2016-09-30,64.24
2016-10-07,60.23
2016-10-14,58.74
2016-10-21,58.37
2016-10-28,55.15
2016-11-04,54.7
2016-11-11,59.45
2016-11-18,57.8
2016-11-25,58.06
2016-12-02,58.78
2016-12-09,60.24
2016-12-16,56.55
2016-12-23,56.82
2016-12-30,56.07
2017-01-06,58.01
2017-01-13,58.71
2017-01-20,58.8
2017-01-27,61.05
2017-02-03,58.39
2017-02-10,58.72
2017-02-17,58.13
2017-02-24,58.15
2017-03-03,59.15
2017-03-10,60.11
2017-03-17,62.87
2017-03-24,60.72
2017-03-31,62.78
2017-04-07,62.79
2017-04-14,62.16
2017-04-21,62.57
2017-04-28,64.51
2017-05-05,66.43
2017-05-12,64.64
2017-05-19,67.11
2017-05-26,66.25
2017-06-02,66.2
2017-06-09,66.26
2017-06-16,66.68
2017-06-23,65.63
2017-06-30,66.54
2017-07-07,66.63
2017-07-14,66.55
2017-07-21,64.77
2017-07-28,63.27
2017-08-04,63.16
2017-08-11,61.57
2017-08-18,60.97
2017-08-25,61.51
2017-09-01,62.48
2017-09-08,62.02
2017-09-15,64.6
2017-09-22,67.05
2017-09-29,67.96
2017-10-06,70.02
2017-10-13,69.98
2017-10-20,71.17
2017-10-27,70.13
2017-11-03,69.36
2017-11-10,68.05
2017-11-17,68.44
2017-11-24,69.16
2017-12-01,70.19
2017-12-08,69.95
2017-12-15,68.17
2017-12-22,69.73
2017-12-29,70.62
2018-01-05,72.66
2018-01-12,73.76
2018-01-19,73.98
2018-01-26,74.02
2018-02-02,71.24
2018-02-09,67.09
2018-02-16,70.83
2018-02-23,71.39
2018-03-02,67.23
2018-03-09,71.82
2018-03-16,72.74
2018-03-23,67.31
2018-03-30,68.13
2018-04-06,68.08
2018-04-13,70.01
2018-04-20,70.45
2018-04-27,67.26
2018-05-04,44.3
2018-05-11,44.67
2018-05-18,46.02
2018-05-25,45.03
2018-06-01,43.86
2018-06-08,45.0
2018-06-15,43.86
2018-06-22,42.57
2018-06-29,42.08
2018-07-06,42.28
2018-07-13,43.52
2018-07-20,43.89
2018-07-27,43.26
2018-08-03,43.96
2018-08-10,43.28
2018-08-17,42.8
2018-08-24,42.88
2018-08-31,43.48
2018-09-07,43.09
2018-09-14,44.07
2018-09-21,44.88
2018-09-28,43.35
2018-10-05,42.73
2018-10-12,39.0
2018-10-19,38.41
2018-10-26,39.35
2018-11-02,41.63
2018-11-09,42.53
2018-11-16,42.29
2018-11-23,41.79
2018-11-30,42.7
2018-12-07,39.72
2018-12-14,39.11
2018-12-21,36.73
2018-12-28,37.31
2019-01-04,38.15
2019-01-11,40.45
2019-01-18,41.17
2019-01-25,41.06
2019-02-01,41.0
2019-02-08,41.0
2019-02-15,42.72
2019-02-22,43.05
2019-03-01,42.68
2019-03-08,41.64
2019-03-15,42.62
2019-03-22,42.26
