date,value
2015-01-02,68.64
2015-01-09,69.09
2015-01-16,71.42
2015-01-23,72.26
2015-01-30,70.18
2015-02-06,66.79
2015-02-13,65.13
2015-02-20,65.77
2015-02-27,64.08
2015-03-06,61.97
2015-03-13,62.08
2015-03-20,64.73
2015-03-27,63.05
2015-04-03,63.66
2015-04-10,63.78
2015-04-17,62.65
2015-04-24,63.75
2015-05-01,60.48
2015-05-08,59.86
2015-05-15,59.96
2015-05-22,60.98
2015-05-29,60.92
2015-06-05,57.63
2015-06-12,57.0
2015-06-19,58.14
2015-06-26,56.89
2015-07-03,58.32
2015-07-10,60.32
2015-07-17,60.42
2015-07-24,59.99
2015-07-31,61.71
2015-08-07,62.62
2015-08-14,64.37
2015-08-21,63.27
2015-08-28,60.48
2015-09-04,57.6
2015-09-11,59.79
2015-09-18,61.77
2015-09-25,63.52
2015-10-02,63.92
2015-10-09,63.98
2015-10-16,65.85
2015-10-23,65.71
2015-10-30,63.51
2015-11-06,61.54
2015-11-13,61.58
2015-11-20,63.34
2015-11-27,62.95
2015-12-04,62.38
2015-12-11,61.53
2015-12-18,62.85
2015-12-25,64.29
2016-01-01,64.48
2016-01-08,64.02
2016-01-15,64.01
2016-01-22,64.1
2016-01-29,66.31
2016-02-05,68.52
2016-02-12,67.22
2016-02-19,68.25
2016-02-26,68.54
2016-03-04,69.0
2016-03-11,71.18
2016-03-18,72.7
2016-03-25,73.49
2016-04-01,75.49
2016-04-08,74.36
2016-04-15,74.34
2016-04-22,71.46
2016-04-29,72.65
2016-05-06,72.98
2016-05-13,74.21
2016-05-20,71.56
2016-05-27,73.19
2016-06-03,75.76
2016-06-10,76.73
2016-06-17,77.78
2016-06-24,77.95
2016-07-01,81.08
2016-07-08,81.17
2016-07-15,79.53
2016-07-22,80.59
2016-07-29,78.87
2016-08-05,77.17
2016-08-12,77.92
2016-08-19,76.65
2016-08-26,74.83
2016-09-02,76.07
2016-09-09,73.95
2016-09-16,76.29
2016-09-23,79.39
2016-09-30,75.99
2016-10-07,72.69
2016-10-14,73.66
2016-10-21,74.08
2016-10-28,74.6
2016-11-04,74.11
2016-11-11,73.44
2016-11-18,73.26
2016-11-25,75.34
2016-12-02,73.54
2016-12-09,76.19
2016-12-16,76.67
2016-12-23,77.66
2016-12-30,78.03
2017-01-06,78.49
2017-01-13,77.26
2017-01-20,77.02
2017-01-27,76.77
2017-02-03,78.03
2017-02-10,78.67
2017-02-17,78.7
2017-02-24,81.44
2017-03-03,83.03
2017-03-10,81.61
2017-03-17,83.23
2017-03-24,84.12
2017-03-31,83.38
2017-04-07,84.26
2017-04-14,85.23
2017-04-21,85.83
2017-04-28,85.09
2017-05-05,84.87
2017-05-12,84.76
2017-05-19,84.57
2017-05-26,87.4
2017-06-02,89.22
2017-06-09,87.99
2017-06-16,88.92
2017-06-23,87.84
2017-06-30,85.16
2017-07-07,84.67
2017-07-14,85.13
2017-07-21,87.23
2017-07-28,86.14
2017-08-04,88.06
2017-08-11,88.53
2017-08-18,89.29
2017-08-25,90.02
2017-09-01,89.86
2017-09-08,90.01
2017-09-15,89.27
2017-09-22,86.15
2017-09-29,84.56
2017-10-06,85.33
2017-10-13,87.38
2017-10-20,88.78
2017-10-27,88.91
2017-11-03,89.12
2017-11-10,88.34
2017-11-17,90.05
2017-11-24,89.52
2017-12-01,91.01
2017-12-08,90.75
2017-12-15,89.54
2017-12-22,85.14
2017-12-29,85.18
2018-01-05,82.42
2018-01-12,79.22
2018-01-19,79.08
2018-01-26,80.94
2018-02-02,77.73
2018-02-09,76.29
2018-02-16,78.69
2018-02-23,80.15
2018-03-02,76.92
2018-03-09,76.38
2018-03-16,77.97
2018-03-23,77.76
2018-03-30,79.8
2018-04-06,79.75
2018-04-13,78.14
2018-04-20,78.02
2018-04-27,81.61
2018-05-04,80.2
2018-05-11,78.12
2018-05-18,76.54
2018-05-25,78.39
2018-06-01,77.58
2018-06-08,74.4
2018-06-15,76.11
2018-06-22,78.29
2018-06-29,80.56
2018-07-06,82.74
2018-07-13,80.15
2018-07-20,79.94
2018-07-27,80.66
2018-08-03,80.32
2018-08-10,81.3
2018-08-17,82.27
2018-08-24,81.23
2018-08-31,78.55
2018-09-07,79.59
2018-09-14,80.35
2018-09-21,80.22
2018-09-28,79.18
2018-10-05,81.8
2018-10-12,81.5
2018-10-19,85.15
2018-10-26,82.65
2018-11-02,82.38
2018-11-09,88.47
2018-11-16,88.32
2018-11-23,88.27
2018-11-30,89.36
2018-12-07,90.78
2018-12-14,91.44
2018-12-21,89.41
2018-12-28,85.25
2019-01-04,84.74
2019-01-11,84.77
2019-01-18,85.67
2019-01-25,86.94
2019-02-01,87.65
2019-02-08,89.38
2019-02-15,89.96
2019-02-22,93.22
2019-03-01,92.78
2019-03-08,93.16
2019-03-15,96.15
2019-03-22,96.72
2019-03-29,95.58
2019-04-05,94.64
2019-04-12,95.31
2019-04-19,94.07
2019-04-26,95.09
2019-05-03,94.12
2019-05-10,94.72
2019-05-17,96.06
2019-05-24,96.67
2019-05-31,93.91
2019-06-07,97.68
2019-06-14,97.48
2019-06-21,97.62
2019-06-28,94.09
2019-07-05,95.29
2019-07-12,93.51
2019-07-19,93.59
2019-07-26,92.02
2019-08-02,92.49
2019-08-09,92.44
2019-08-16,94.12
2019-08-23,94.14
2019-08-30,95.31
2019-09-06,93.81
2019-09-13,93.08
2019-09-20,97.17
2019-09-27,97.41
2019-10-04,97.23
2019-10-11,95.46
2019-10-18,93.91
2019-10-25,94.2
2019-11-01,93.49
2019-11-08,86.39
2019-11-15,87.61
2019-11-22,87.2
2019-11-29,87.39
2019-12-06,86.2
2019-12-13,86.14
2019-12-20,90.19
2019-12-27,88.85
2020-01-03,88.99
