date,value
2015-01-02,34.68
2015-01-09,34.585
2015-01-16,34.22
2015-01-23,35.05
2015-01-30,34.24
2015-02-06,35.86
2015-02-13,36.56
2015-02-20,37.43
2015-02-27,36.925
2015-03-06,36.35
2015-03-13,36.16
2015-03-20,37.044
2015-03-27,36.49
2015-04-03,36.53
2015-04-10,37.22
2015-04-17,36.17
2015-04-24,36.55
2015-05-01,36.08
2015-05-08,36.11
2015-05-15,36.72
2015-05-22,36.77
2015-05-29,36.24
2015-06-05,36.11
2015-06-12,36.433
2015-06-19,36.643
2015-06-26,36.07
2015-07-03,35.41
2015-07-10,35.6
2015-07-17,36.23
2015-07-24,34.85
2015-07-31,35.46
2015-08-07,35.41
2015-08-14,36.25
2015-08-21,34.26
2015-08-28,34.38
2015-09-04,33.53
2015-09-11,34.22
2015-09-18,33.85
2015-09-25,32.85
2015-10-02,33.17
2015-10-09,34.76
2015-10-16,33.99
2015-10-23,35.15
2015-10-30,35.75
2015-11-06,35.85
2015-11-13,34.77
2015-11-20,36.7
2015-11-27,36.65
2015-12-04,36.4
2015-12-11,35.27
2015-12-18,34.74
2015-12-25,35.96
2016-01-01,35.64
2016-01-08,34.1
2016-01-15,33.41
2016-01-22,33.24
2016-01-29,33.31
2016-02-05,32.52
2016-02-12,31.65
2016-02-19,32.98
2016-02-26,33.85
2016-03-04,34.49
2016-03-11,34.46
2016-03-18,35.34
2016-03-25,34.96
2016-04-01,35.44
2016-04-08,35.38
2016-04-15,36.0
2016-04-22,36.34
2016-04-29,36.41
2016-05-06,36.41
2016-05-13,36.56
2016-05-20,36.71
2016-05-27,37.0801
2016-06-03,37.37
2016-06-10,37.65
2016-06-17,36.97
2016-06-24,36.35
2016-07-01,37.42
2016-07-08,37.89
2016-07-15,38.29
2016-07-22,38.35
2016-07-29,38.7
2016-08-05,38.99
2016-08-12,39.098
2016-08-19,39.37
2016-08-26,39.03
2016-09-02,39.31
2016-09-09,38.2411
2016-09-16,37.767
2016-09-23,38.6593
2016-09-30,38.769
2016-10-07,37.99
2016-10-14,37.71
2016-10-21,37.7755
2016-10-28,38.4
2016-11-04,37.8505
2016-11-11,41.66
2016-11-18,41.61
2016-11-25,42.66
2016-12-02,42.7
2016-12-09,43.02
2016-12-16,41.94
2016-12-23,42.19
2016-12-30,41.74
2017-01-06,42.58
2017-01-13,42.17
2017-01-20,41.969
2017-01-27,42.23
2017-02-03,42.29
2017-02-10,43.02
2017-02-17,43.83
2017-02-24,44.02
2017-03-03,44.32
2017-03-10,44.0
2017-03-17,44.61
2017-03-24,43.37
2017-03-31,43.55
2017-04-07,43.63
2017-04-14,43.14
2017-04-21,44.19
2017-04-28,44.82
2017-05-05,45.27
2017-05-12,44.8329
2017-05-19,44.85
2017-05-26,46.16
2017-06-02,46.64
2017-06-09,46.15
2017-06-16,46.06
2017-06-23,45.99
2017-06-30,45.91
2017-07-07,46.69
2017-07-14,47.4069
2017-07-21,47.75
2017-07-28,48.01
2017-08-04,48.66
2017-08-11,48.54
2017-08-18,48.1
2017-08-25,48.47
2017-09-01,49.45
2017-09-08,48.94
2017-09-15,49.67
2017-09-22,51.02
2017-09-29,51.29
2017-10-06,52.46
2017-10-13,52.66
2017-10-20,53.0
2017-10-27,52.48
2017-11-03,52.73
2017-11-10,52.01
2017-11-17,51.66
2017-11-24,52.5
2017-12-01,53.08
2017-12-08,53.41
2017-12-15,54.06
2017-12-22,53.93
2017-12-29,53.9
2018-01-05,54.82
2018-01-12,56.47
2018-01-19,56.55
2018-01-26,58.03
2018-02-02,57.27
2018-02-09,54.91
2018-02-16,58.06
2018-02-23,58.04
2018-03-02,56.94
2018-03-09,58.56
2018-03-16,57.01
2018-03-23,56.01
2018-03-30,56.78
2018-04-06,56.32
2018-04-13,57.2799
2018-04-20,58.7
2018-04-27,56.18
2018-05-04,54.77
2018-05-11,56.86
2018-05-18,56.93
2018-05-25,57.37
2018-06-01,57.4
2018-06-08,58.32
2018-06-15,56.82
2018-06-22,55.2
2018-06-29,54.92
2018-07-06,55.49
2018-07-13,57.3578
2018-07-20,57.92
2018-07-27,58.4
2018-08-03,58.31
2018-08-10,57.8201
2018-08-17,58.65
2018-08-24,58.9129
2018-08-31,59.17
