date,value
2015-01-02,36.36
2015-01-09,35.35
2015-01-16,35.33
2015-01-23,35.77
2015-01-30,35.5
2015-02-06,35.22
2015-02-13,34.69
2015-02-20,34.98
2015-02-27,34.1
2015-03-06,31.74
2015-03-13,31.8
2015-03-20,34.36
2015-03-27,33.15
2015-04-03,33.85
2015-04-10,34.05
2015-04-17,33.29
2015-04-24,34.58
2015-05-01,34.19
2015-05-08,33.9
2015-05-15,33.93
2015-05-22,34.42
2015-05-29,34.71
2015-06-05,30.95
2015-06-12,30.15
2015-06-19,30.53
2015-06-26,29.75
2015-07-03,29.8
2015-07-10,31.03
2015-07-17,31.1
2015-07-24,30.7
2015-07-31,31.81
2015-08-07,32.36
2015-08-14,33.36
2015-08-21,32.9
2015-08-28,31.37
2015-09-04,29.67
2015-09-11,29.67
2015-09-18,30.96
2015-09-25,31.97
2015-10-02,33.04
2015-10-09,33.03
2015-10-16,34.46
2015-10-23,34.18
2015-10-30,34.4
2015-11-06,33.08
2015-11-13,33.06
2015-11-20,34.5
2015-11-27,33.65
2015-12-04,33.74
2015-12-11,32.71
2015-12-18,33.64
2015-12-25,34.26
2016-01-01,34.13
2016-01-08,33.39
2016-01-15,33.29
2016-01-22,34.01
2016-01-29,35.06
2016-02-05,36.16
2016-02-12,35.74
2016-02-19,36.26
2016-02-26,34.82
2016-03-04,35.67
2016-03-11,36.56
2016-03-18,37.06
2016-03-25,37.19
2016-04-01,38.19
2016-04-08,37.4
2016-04-15,37.54
2016-04-22,36.51
2016-04-29,37.64
2016-05-06,38.3
2016-05-13,38.89
2016-05-20,37.96
2016-05-27,38.68
2016-06-03,39.3
2016-06-10,39.32
2016-06-17,39.04
2016-06-24,37.18
2016-07-01,37.6
2016-07-08,37.46
2016-07-15,37.15
2016-07-22,37.7
2016-07-29,37.71
2016-08-05,36.76
2016-08-12,36.26
2016-08-19,35.15
2016-08-26,34.66
2016-09-02,35.03
2016-09-09,33.63
2016-09-16,35.09
2016-09-23,35.7
2016-09-30,34.57
2016-10-07,32.25
2016-10-14,32.92
2016-10-21,33.32
2016-10-28,33.81
2016-11-04,34.02
2016-11-11,33.15
2016-11-18,32.84
