date,value
2015-01-02,90.11
2015-01-09,85.32
2015-01-16,81.0
2015-01-23,80.69
2015-01-30,75.88
2015-02-06,77.8
2015-02-13,80.33
2015-02-20,80.81
2015-02-27,80.85
2015-03-06,82.6
2015-03-13,81.14
2015-03-20,82.68
2015-03-27,79.14
2015-04-03,80.53
2015-04-10,80.34
2015-04-17,79.13
2015-04-24,80.79
2015-05-01,83.36
2015-05-08,85.58
2015-05-15,85.46
2015-05-22,85.12
2015-05-29,84.61
2015-06-05,88.24
2015-06-12,89.24
2015-06-19,89.29
2015-06-26,90.72
2015-07-03,88.17
2015-07-10,87.36
2015-07-17,88.76
2015-07-24,87.85
2015-07-31,88.36
2015-08-07,89.41
2015-08-14,90.1
2015-08-21,80.77
2015-08-28,81.2
2015-09-04,77.1
2015-09-11,78.99
2015-09-18,75.83
2015-09-25,77.25
2015-10-02,75.4
2015-10-09,78.08
2015-10-16,79.27
2015-10-23,82.48
2015-10-30,82.5
2015-11-06,87.69
2015-11-13,84.29
2015-11-20,86.53
2015-11-27,86.28
2015-12-04,86.72
2015-12-11,80.69
2015-12-18,79.55
2015-12-25,82.55
2016-01-01,81.41
2016-01-08,73.05
2016-01-15,70.17
2016-01-22,69.87
2016-01-29,70.08
2016-02-05,65.35
2016-02-12,61.64
2016-02-19,65.36
2016-02-26,66.99
2016-03-04,71.47
2016-03-11,73.55
2016-03-18,74.94
2016-03-25,70.76
2016-04-01,73.25
2016-04-08,70.17
2016-04-15,76.01
2016-04-22,79.58
2016-04-29,77.64
2016-05-06,76.05
2016-05-13,75.4
2016-05-20,77.67
2016-05-27,79.54
2016-06-03,76.12
2016-06-10,73.54
2016-06-17,72.19
2016-06-24,70.91
2016-07-01,71.0
2016-07-08,70.99
2016-07-15,75.11
2016-07-22,75.76
2016-07-29,75.29
2016-08-05,76.03
2016-08-12,75.52
2016-08-19,76.18
2016-08-26,77.57
2016-09-02,79.49
2016-09-09,79.18
2016-09-16,79.42
2016-09-23,80.34
2016-09-30,81.65
2016-10-07,84.53
2016-10-14,84.43
2016-10-21,83.15
2016-10-28,84.5
2016-11-04,85.79
2016-11-11,97.93
2016-11-18,99.15
2016-11-25,100.79
2016-12-02,101.73
2016-12-09,106.02
2016-12-16,105.77
2016-12-23,106.2
2016-12-30,104.06
2017-01-06,105.15
2017-01-13,105.23
2017-01-20,105.59
2017-01-27,106.59
2017-02-03,106.33
2017-02-10,108.75
2017-02-17,111.11
2017-02-24,109.96
2017-03-03,112.56
2017-03-10,111.06
2017-03-17,109.92
2017-03-24,105.44
2017-03-31,106.68
2017-04-07,105.86
2017-04-14,102.92
2017-04-21,105.65
2017-04-28,107.03
2017-05-05,108.73
2017-05-12,106.21
2017-05-19,103.99
2017-05-26,105.07
2017-06-02,106.42
2017-06-09,107.75
2017-06-16,107.71
2017-06-23,103.36
2017-06-30,108.14
2017-07-07,111.36
2017-07-14,111.41
2017-07-21,111.74
2017-07-28,113.2
2017-08-04,112.49
2017-08-11,105.69
2017-08-18,101.95
2017-08-25,102.82
2017-09-01,103.15
2017-09-08,98.91
2017-09-15,102.78
2017-09-22,105.0
2017-09-29,106.32
2017-10-06,109.65
2017-10-13,109.11
2017-10-20,110.78
2017-10-27,112.02
2017-11-03,111.84
2017-11-10,110.72
2017-11-17,110.25
2017-11-24,108.92
2017-12-01,115.4
2017-12-08,117.15
2017-12-15,115.73
2017-12-22,116.16
2017-12-29,114.98
2018-01-05,117.68
2018-01-12,124.12
2018-01-19,124.13
2018-01-26,126.02
2018-02-02,117.33
2018-02-09,106.04
2018-02-16,109.43
2018-02-23,108.98
2018-03-02,105.6
2018-03-09,110.3
2018-03-16,108.65
2018-03-23,100.64
2018-03-30,103.55
2018-04-06,102.33
2018-04-13,104.28
2018-04-20,107.03
2018-04-27,107.62
2018-05-04,100.66
2018-05-11,99.88
2018-05-18,102.43
2018-05-25,100.02
2018-06-01,98.84
2018-06-08,100.55
2018-06-15,98.56
2018-06-22,96.5
2018-06-29,93.51
2018-07-06,94.85
2018-07-13,95.07
2018-07-20,95.25
2018-07-27,98.89
2018-08-03,99.42
2018-08-10,96.97
2018-08-17,98.8
2018-08-24,98.54
2018-08-31,98.25
2018-09-07,98.29
2018-09-14,99.86
2018-09-21,104.68
2018-09-28,101.32
2018-10-05,104.46
2018-10-12,97.76
2018-10-19,97.6
2018-10-26,90.16
2018-11-02,95.91
2018-11-09,95.85
2018-11-16,91.56
2018-11-23,89.67
2018-11-30,93.76
2018-12-07,85.87
2018-12-14,82.37
2018-12-21,78.45
2018-12-28,80.78
2019-01-04,85.04
2019-01-11,87.74
2019-01-18,92.26
2019-01-25,92.91
2019-02-01,92.96
2019-02-08,90.99
2019-02-15,94.15
2019-02-22,95.01
2019-03-01,96.6
2019-03-08,93.3
2019-03-15,95.98
2019-03-22,89.96
2019-03-29,91.88
2019-04-05,98.47
2019-04-12,101.46
2019-04-19,103.83
2019-04-26,103.89
2019-05-03,103.13
2019-05-10,101.27
2019-05-17,98.81
2019-05-24,97.75
2019-05-31,92.38
2019-06-07,99.42
2019-06-14,99.23
2019-06-21,99.6
2019-06-28,101.0
2019-07-05,102.74
2019-07-12,102.51
2019-07-19,101.02
2019-07-26,103.27
2019-08-02,88.56
2019-08-09,84.82
2019-08-16,82.03
2019-08-23,79.13
2019-08-30,80.09
2019-09-06,82.17
2019-09-13,89.82
2019-09-20,89.08
2019-09-27,90.16
2019-10-04,87.35
2019-10-11,89.42
2019-10-18,89.69
2019-10-25,91.75
2019-11-01,92.97
2019-11-08,92.89
2019-11-15,93.65
2019-11-22,94.94
2019-11-29,93.62
2019-12-06,92.29
2019-12-13,94.14
2019-12-20,94.54
2019-12-27,93.22
2020-01-03,93.26
