date,value
2015-01-02,187.23
2015-01-09,198.5
2015-01-16,202.25
2015-01-23,202.75
2015-01-30,200.84
2015-02-06,204.47
2015-02-13,202.61
2015-02-20,200.18
2015-02-27,197.22
2015-03-06,188.15
2015-03-13,188.83
2015-03-20,199.12
2015-03-27,197.48
2015-04-03,197.31
2015-04-10,193.69
2015-04-17,190.07
2015-04-24,193.6
2015-05-01,190.13
2015-05-08,196.53
2015-05-15,200.07
2015-05-22,195.09
2015-05-29,193.54
2015-06-05,188.2
2015-06-12,186.72
2015-06-19,191.02
2015-06-26,185.45
2015-07-03,187.24
2015-07-10,196.13
2015-07-17,198.4
2015-07-24,201.93
2015-07-31,205.18
2015-08-07,208.81
2015-08-14,213.73
2015-08-21,212.51
2015-08-28,206.16
2015-09-04,199.55
2015-09-11,202.19
2015-09-18,206.97
2015-09-25,209.26
2015-10-02,216.21
2015-10-09,217.18
2015-10-16,221.31
2015-10-23,229.9
2015-10-30,229.46
2015-11-06,227.15
2015-11-13,226.26
2015-11-20,236.68
2015-11-27,240.8
2015-12-04,241.9
2015-12-11,241.97
2015-12-18,248.74
2015-12-25,248.25
2016-01-01,247.7
2016-01-08,247.23
2016-01-15,248.55
2016-01-22,247.73
2016-01-29,253.56
2016-02-05,237.13
2016-02-12,233.61
2016-02-19,251.97
2016-02-26,254.04
2016-03-04,249.95
2016-03-11,255.12
2016-03-18,269.45
2016-03-25,266.68
2016-04-01,275.52
2016-04-08,274.05
2016-04-15,267.94
2016-04-22,256.94
2016-04-29,244.81
2016-05-06,263.31
2016-05-13,261.89
2016-05-20,252.38
2016-05-27,255.23
2016-06-03,260.26
2016-06-10,241.8
2016-06-17,241.34
2016-06-24,241.32
2016-07-01,253.84
2016-07-08,257.34
2016-07-15,251.62
2016-07-22,253.74
2016-07-29,238.92
2016-08-05,232.76
2016-08-12,230.17
2016-08-19,224.03
2016-08-26,224.0
2016-09-02,226.79
2016-09-09,218.58
2016-09-16,214.96
2016-09-23,222.12
2016-09-30,223.14
2016-10-07,212.05
2016-10-14,214.2
2016-10-21,211.05
2016-10-28,207.75
2016-11-04,205.44
2016-11-11,214.18
2016-11-18,203.97
2016-11-25,205.73
2016-12-02,209.48
2016-12-09,219.13
2016-12-16,218.73
2016-12-23,218.72
2016-12-30,223.5
2017-01-06,228.35
2017-01-13,214.12
2017-01-20,217.97
2017-01-27,216.57
2017-02-03,216.53
2017-02-10,219.79
2017-02-17,225.76
2017-02-24,228.41
2017-03-03,226.61
2017-03-10,220.07
2017-03-17,222.49
2017-03-24,222.91
2017-03-31,218.91
2017-04-07,223.6
2017-04-14,225.97
2017-04-21,228.37
2017-04-28,209.38
2017-05-05,208.25
2017-05-12,208.64
2017-05-19,214.48
2017-05-26,216.39
2017-06-02,213.92
2017-06-09,207.56
2017-06-16,213.66
2017-06-23,213.11
2017-06-30,208.53
2017-07-07,207.03
2017-07-14,207.68
2017-07-21,208.94
2017-07-28,202.84
2017-08-04,201.49
2017-08-11,198.63
2017-08-18,196.29
2017-08-25,203.87
2017-09-01,205.88
2017-09-08,218.31
2017-09-15,214.15
2017-09-22,213.71
2017-09-29,213.99
2017-10-06,213.42
2017-10-13,218.56
2017-10-20,215.09
2017-10-27,206.9
2017-11-03,208.97
2017-11-10,211.52
2017-11-17,211.85
2017-11-24,212.79
2017-12-01,212.07
2017-12-08,210.84
2017-12-15,211.56
2017-12-22,205.97
2017-12-29,209.0
2018-01-05,201.92
2018-01-12,193.55
2018-01-19,193.56
2018-01-26,192.85
2018-02-02,190.31
2018-02-09,187.16
2018-02-16,188.75
2018-02-23,195.68
2018-03-02,195.0
2018-03-09,199.96
2018-03-16,198.01
2018-03-23,193.05
2018-03-30,200.39
2018-04-06,199.28
2018-04-13,197.28
2018-04-20,192.75
2018-04-27,202.45
2018-05-04,207.39
2018-05-11,211.6
2018-05-18,203.59
2018-05-25,208.49
2018-06-01,211.62
2018-06-08,216.55
2018-06-15,214.02
2018-06-22,225.96
2018-06-29,226.86
2018-07-06,232.21
2018-07-13,228.08
2018-07-20,222.12
2018-07-27,215.36
2018-08-03,213.98
2018-08-10,214.73
2018-08-17,223.57
2018-08-24,213.3
2018-08-31,212.58
2018-09-07,209.11
2018-09-14,206.58
2018-09-21,204.23
2018-09-28,201.63
2018-10-05,199.01
2018-10-12,196.85
2018-10-19,199.96
2018-10-26,200.82
2018-11-02,199.23
2018-11-09,206.35
2018-11-16,211.37
2018-11-23,207.66
2018-11-30,213.26
2018-12-07,214.14
2018-12-14,203.47
2018-12-21,203.3
2018-12-28,201.9
2019-01-04,196.6
2019-01-11,200.7
2019-01-18,203.13
2019-01-25,205.64
2019-02-01,209.5
2019-02-08,210.57
2019-02-15,207.74
2019-02-22,201.14
2019-03-01,212.0
2019-03-08,214.32
2019-03-15,217.62
2019-03-22,222.12
2019-03-29,217.78
2019-04-05,218.57
2019-04-12,221.76
2019-04-19,217.45
2019-04-26,218.95
2019-05-03,226.75
2019-05-10,225.51
2019-05-17,230.12
2019-05-24,236.23
2019-05-31,237.88
2019-06-07,245.21
2019-06-14,243.31
2019-06-21,240.5
2019-06-28,238.17
2019-07-05,245.22
2019-07-12,248.68
2019-07-19,244.08
2019-07-26,239.43
2019-08-02,249.54
2019-08-09,257.05
2019-08-16,258.78
2019-08-23,259.5
2019-08-30,264.74
2019-09-06,257.5
2019-09-13,243.45
2019-09-20,247.8
2019-09-27,245.01
2019-10-04,246.82
2019-10-11,245.96
2019-10-18,241.55
2019-10-25,234.0
2019-11-01,219.26
2019-11-08,211.35
2019-11-15,213.21
2019-11-22,209.02
2019-11-29,210.68
2019-12-06,213.85
2019-12-13,205.43
2019-12-20,211.5
2019-12-27,211.64
2020-01-03,213.7
