date,value
2015-01-02,29.91
2015-01-09,27.562
2015-01-16,27.256
2015-01-23,26.8
2015-01-30,26.6608
2015-02-06,29.42
2015-02-13,30.18
2015-02-20,29.76
2015-02-27,29.3072
2015-03-06,28.42
2015-03-13,27.2
2015-03-20,27.3301
2015-03-27,27.7101
2015-04-03,28.5122
2015-04-10,30.0
2015-04-17,31.26
2015-04-24,29.85
2015-05-01,31.11
2015-05-08,29.94
2015-05-15,29.2543
2015-05-22,28.6694
2015-05-29,28.1026
2015-06-05,28.3148
2015-06-12,28.059
2015-06-19,26.8501
2015-06-26,27.1
2015-07-03,24.98
2015-07-10,23.63
2015-07-17,22.4142
2015-07-24,20.16
2015-07-31,20.23
2015-08-07,19.3
2015-08-14,20.0
2015-08-21,17.65
2015-08-28,19.19
2015-09-04,18.9699
2015-09-11,17.707
2015-09-18,17.9267
2015-09-25,16.65
2015-10-02,17.2695
2015-10-09,20.5221
2015-10-16,19.3601
2015-10-23,18.67
2015-10-30,18.06
2015-11-06,18.9399
2015-11-13,18.0721
2015-11-20,17.52
2015-11-27,18.116
2015-12-04,17.13
2015-12-11,15.9256
2015-12-18,14.7875
2015-12-25,16.3
2016-01-01,15.3651
2016-01-08,13.4001
2016-01-15,12.1753
2016-01-22,12.38
2016-01-29,13.65
2016-02-05,13.1032
2016-02-12,11.13
2016-02-19,11.43
2016-02-26,11.6405
2016-03-04,14.5
2016-03-11,14.93
2016-03-18,15.2099
2016-03-25,14.41
2016-04-01,14.61
2016-04-08,14.82
2016-04-15,15.3
2016-04-22,17.06
2016-04-29,16.8899
2016-05-06,15.49
2016-05-13,15.0799
2016-05-20,15.55
2016-05-27,15.3722
2016-06-03,15.7901
2016-06-10,16.4
2016-06-17,16.41
2016-06-24,16.19
2016-07-01,16.8126
2016-07-08,16.2
2016-07-15,16.1766
2016-07-22,15.87
2016-07-29,15.6493
2016-08-05,16.09
2016-08-12,16.5601
2016-08-19,17.47
2016-08-26,17.19
2016-09-02,17.33
2016-09-09,17.2411
2016-09-16,16.52
2016-09-23,16.7258
2016-09-30,18.31
2016-10-07,18.45
2016-10-14,18.0991
2016-10-21,18.58
2016-10-28,17.14
2016-11-04,16.49
2016-11-11,17.82
2016-11-18,18.25
2016-11-25,19.13
2016-12-02,20.6567
2016-12-09,21.74
2016-12-16,21.341
2016-12-23,21.5
2016-12-30,21.02
2017-01-06,21.85
2017-01-13,21.17
2017-01-20,21.1854
2017-01-27,21.42
2017-02-03,21.31
2017-02-10,20.75
2017-02-17,20.12
2017-02-24,19.23
2017-03-03,18.85
2017-03-10,17.2417
2017-03-17,17.48
2017-03-24,17.03
2017-03-31,18.17
2017-04-07,17.77
2017-04-14,17.35
2017-04-21,16.3
2017-04-28,15.89
2017-05-05,15.24
2017-05-12,15.21
2017-05-19,15.3978
2017-05-26,14.41
2017-06-02,13.94
2017-06-09,13.8984
2017-06-16,13.36
2017-06-23,12.86
2017-06-30,13.2999
2017-07-07,12.62
2017-07-14,13.41
2017-07-21,13.0
2017-07-28,13.44
2017-08-04,13.15
2017-08-11,12.1454
2017-08-18,11.62
2017-08-25,11.93
2017-09-01,12.26
2017-09-08,12.14
2017-09-15,13.32
2017-09-22,14.03
2017-09-29,14.84
2017-10-06,14.38
2017-10-13,14.22
2017-10-20,13.81
2017-10-27,13.7605
2017-11-03,14.46
2017-11-10,15.27
2017-11-17,14.44
2017-11-24,14.74
2017-12-01,14.97
2017-12-08,14.42
2017-12-15,14.3
2017-12-22,15.24
2017-12-29,15.4
2018-01-05,16.32
2018-01-12,17.1397
2018-01-19,16.62
2018-01-26,16.809
2018-02-02,15.46
2018-02-09,14.22
2018-02-16,15.0499
2018-02-23,14.8608
2018-03-02,14.3099
2018-03-09,14.64
2018-03-16,14.508
2018-03-23,14.2
2018-03-30,13.84
2018-04-06,13.5362
2018-04-13,14.99
2018-04-20,15.76
2018-04-27,16.24
2018-05-04,16.43
2018-05-11,17.29
2018-05-18,18.23
2018-05-25,16.97
2018-06-01,17.23
2018-06-08,16.915
2018-06-15,16.13
2018-06-22,17.05
2018-06-29,16.9749
2018-07-06,17.25
2018-07-13,17.23
2018-07-20,16.86
