date,value
2015-01-02,39.2985
2015-01-09,39.336
2015-01-16,40.1784
2015-01-23,41.02
2015-01-30,39.62
2015-02-06,39.29
2015-02-13,38.281
2015-02-20,38.44
2015-02-27,38.83
2015-03-06,37.23
2015-03-13,37.6318
2015-03-20,39.101
2015-03-27,38.8299
2015-04-03,39.87
2015-04-10,39.4083
2015-04-17,38.76
2015-04-24,39.8437
2015-05-01,38.3311
2015-05-08,37.32
2015-05-15,38.1
2015-05-22,38.17
2015-05-29,38.41
2015-06-05,37.081
2015-06-12,37.53
2015-06-19,38.059
2015-06-26,37.4676
2015-07-03,36.954
2015-07-10,37.51
2015-07-17,37.9339
2015-07-24,36.84
2015-07-31,38.273
2015-08-07,37.6325
2015-08-14,38.1975
2015-08-21,38.57
2015-08-28,36.85
2015-09-04,35.8
2015-09-11,36.45
2015-09-18,37.0001
2015-09-25,37.41
2015-10-02,37.66
2015-10-09,38.93
2015-10-16,39.7976
2015-10-23,40.3917
2015-10-30,41.98
2015-11-06,41.0513
2015-11-13,40.49
2015-11-20,41.5801
2015-11-27,41.83
2015-12-04,41.05
2015-12-11,39.64
2015-12-18,40.616
2015-12-25,41.44
2016-01-01,41.17
2016-01-08,40.48
2016-01-15,40.098
2016-01-22,40.65
2016-01-29,42.44
2016-02-05,42.29
2016-02-12,42.33
2016-02-19,42.76
2016-02-26,42.79
2016-03-04,43.51
2016-03-11,43.66
2016-03-18,43.8399
2016-03-25,43.89
2016-04-01,45.3146
2016-04-08,44.146
2016-04-15,44.52
2016-04-22,43.9299
2016-04-29,44.21
2016-05-06,45.0
2016-05-13,45.36
2016-05-20,44.46
2016-05-27,45.28
2016-06-03,46.09
2016-06-10,47.08
2016-06-17,47.4
2016-06-24,47.76
2016-07-01,49.28
2016-07-08,49.52
2016-07-15,49.69
2016-07-22,49.87
2016-07-29,49.195
2016-08-05,47.34
2016-08-12,46.95
2016-08-19,45.826
2016-08-26,45.51
2016-09-02,45.6699
2016-09-09,45.0051
2016-09-16,44.97
2016-09-23,46.33
2016-09-30,45.5
2016-10-07,43.79
2016-10-14,44.28
2016-10-21,44.54
2016-10-28,44.64
2016-11-04,45.08
2016-11-11,47.0
2016-11-18,47.8476
2016-11-25,49.54
2016-12-02,48.29
2016-12-09,50.46
2016-12-16,49.65
2016-12-23,50.08
2016-12-30,47.83
2017-01-06,48.4649
2017-01-13,47.8227
2017-01-20,47.44
2017-01-27,47.75
2017-02-03,47.64
2017-02-10,47.82
2017-02-17,47.52
2017-02-24,48.1522
2017-03-03,47.31
2017-03-10,46.42
2017-03-17,48.356
2017-03-24,48.42
2017-03-31,48.68
2017-04-07,50.8938
2017-04-14,51.13
2017-04-21,51.88
2017-04-28,51.78
2017-05-05,50.93
2017-05-12,50.13
2017-05-19,49.69
2017-05-26,50.84
2017-06-02,52.531
2017-06-09,52.77
2017-06-16,53.05
2017-06-23,51.77
2017-06-30,51.6919
2017-07-07,51.0297
2017-07-14,50.36
2017-07-21,52.84
2017-07-28,52.25
2017-08-04,53.75
2017-08-11,53.48
2017-08-18,53.0426
2017-08-25,54.09
2017-09-01,54.849
2017-09-08,53.77
2017-09-15,53.52
2017-09-22,53.2
2017-09-29,53.63
2017-10-06,55.1501
2017-10-13,55.4092
2017-10-20,55.4454
2017-10-27,56.156
2017-11-03,53.87
2017-11-10,54.0416
2017-11-17,55.1248
2017-11-24,55.74
2017-12-01,57.14
2017-12-08,55.7035
2017-12-15,55.3
2017-12-22,52.585
2017-12-29,52.8222
2018-01-05,51.9963
2018-01-12,52.43
2018-01-19,51.82
2018-01-26,52.367
2018-02-02,50.75
2018-02-09,48.53
2018-02-16,50.5526
2018-02-23,50.58
2018-03-02,48.7001
2018-03-09,49.75
2018-03-16,50.2236
2018-03-23,49.3586
2018-03-30,50.0907
2018-04-06,50.752
2018-04-13,50.83
