date,value
2015-01-02,8.4
2015-01-09,8.55
2015-01-16,8.42
2015-01-23,8.56
2015-01-30,8.25
2015-02-06,8.63
2015-02-13,8.67
2015-02-20,8.8
2015-02-27,8.63
2015-03-06,8.73
2015-03-13,8.51
2015-03-20,8.56
2015-03-27,8.44
2015-04-03,8.42
2015-04-10,8.39
2015-04-17,8.54
2015-04-24,8.56
2015-05-01,8.31
2015-05-08,7.98
2015-05-15,8.22
2015-05-22,8.09
2015-05-29,7.9
2015-06-05,7.6
2015-06-12,7.58
2015-06-19,7.72
2015-06-26,7.5
2015-07-03,7.42
2015-07-10,7.37
2015-07-17,7.52
2015-07-24,7.18
2015-07-31,7.13
2015-08-07,7.14
2015-08-14,7.4
2015-08-21,7.25
2015-08-28,7.71
2015-09-04,7.84
2015-09-11,7.94
2015-09-18,7.83
2015-09-25,7.83
2015-10-02,7.34
2015-10-09,7.62
2015-10-16,7.45
2015-10-23,7.42
2015-10-30,7.33
2015-11-06,7.47
2015-11-13,7.33
2015-11-20,7.38
2015-11-27,7.53
2015-12-04,7.36
2015-12-11,6.64
2015-12-18,6.64
2015-12-25,7.29
2016-01-01,6.98
2016-01-08,6.9
2016-01-15,5.96
2016-01-22,6.28
2016-01-29,6.07
2016-02-05,5.99
2016-02-12,6.17
2016-02-19,6.82
2016-02-26,7.02
2016-03-04,7.34
2016-03-11,6.94
2016-03-18,7.11
2016-03-25,7.12
2016-04-01,7.27
2016-04-08,7.28
2016-04-15,7.33
2016-04-22,7.6
2016-04-29,7.48
2016-05-06,7.38
2016-05-13,7.57
2016-05-20,7.46
2016-05-27,7.56
2016-06-03,7.66
2016-06-10,7.84
2016-06-17,7.75
2016-06-24,7.79
2016-07-01,7.82
2016-07-08,7.93
2016-07-15,8.24
2016-07-22,8.33
2016-07-29,8.38
2016-08-05,8.29
2016-08-12,8.34
2016-08-19,8.42
2016-08-26,8.48
2016-09-02,8.51
2016-09-09,8.19
2016-09-16,7.97
2016-09-23,8.25
2016-09-30,8.1
2016-10-07,7.98
2016-10-14,7.96
2016-10-21,8.01
2016-10-28,8.03
2016-11-04,7.53
2016-11-11,7.77
2016-11-18,7.97
2016-11-25,8.2
2016-12-02,7.92
2016-12-09,8.16
2016-12-16,8.26
2016-12-23,8.4
2016-12-30,8.35
2017-01-06,8.58
2017-01-13,8.63
2017-01-20,8.64
2017-01-27,8.69
2017-02-03,8.67
2017-02-10,9.1
2017-02-17,9.44
2017-02-24,9.38
2017-03-03,9.44
2017-03-10,9.02
2017-03-17,9.31
2017-03-24,9.07
2017-03-31,9.04
2017-04-07,9.05
2017-04-14,9.14
2017-04-21,9.37
2017-04-28,9.3
2017-05-05,9.15
2017-05-12,8.01
2017-05-19,8.2
2017-05-26,8.27
2017-06-02,8.04
2017-06-09,8.0
2017-06-16,8.06
2017-06-23,8.2
2017-06-30,8.12
2017-07-07,8.11
2017-07-14,8.14
2017-07-21,8.28
2017-07-28,8.23
2017-08-04,8.13
2017-08-11,7.83
2017-08-18,7.15
2017-08-25,7.13
2017-09-01,6.7
2017-09-08,6.8
2017-09-15,6.7
2017-09-22,6.69
2017-09-29,6.72
2017-10-06,6.69
2017-10-13,6.27
2017-10-20,6.36
2017-10-27,6.05
2017-11-03,5.65
2017-11-10,5.96
2017-11-17,6.89
2017-11-24,6.8
2017-12-01,6.79
2017-12-08,6.76
2017-12-15,6.82
2017-12-22,7.26
2017-12-29,6.74
2018-01-05,6.9
2018-01-12,6.85
2018-01-19,6.85
2018-01-26,6.85
2018-02-02,6.39
2018-02-09,6.77
2018-02-16,6.82
2018-02-23,6.7
2018-03-02,6.56
2018-03-09,6.58
2018-03-16,6.55
2018-03-23,6.61
2018-03-30,6.55
2018-04-06,6.66
2018-04-13,6.45
2018-04-20,6.4
2018-04-27,6.36
2018-05-04,6.33
2018-05-11,6.62
2018-05-18,6.69
2018-05-25,6.83
2018-06-01,6.8
2018-06-08,6.89
2018-06-15,6.9
2018-06-22,6.86
2018-06-29,6.71
2018-07-06,6.72
2018-07-13,6.67
2018-07-20,6.92
2018-07-27,6.98
2018-08-03,6.91
2018-08-10,6.9
2018-08-17,6.93
2018-08-24,7.16
2018-08-31,7.5
2018-09-07,7.44
2018-09-14,7.43
2018-09-21,7.38
2018-09-28,7.33
2018-10-05,7.08
2018-10-12,7.02
2018-10-19,7.01
2018-10-26,6.66
2018-11-02,6.7
2018-11-09,7.02
2018-11-16,6.81
2018-11-23,6.87
2018-11-30,6.86
2018-12-07,6.67
2018-12-14,6.37
2018-12-21,5.81
2018-12-28,6.49
2019-01-04,6.4
2019-01-11,6.74
2019-01-18,6.76
2019-01-25,6.8
2019-02-01,6.84
2019-02-08,6.42
2019-02-15,6.55
2019-02-22,6.89
2019-03-01,6.71
2019-03-08,6.54
2019-03-15,6.57
2019-03-22,6.61
2019-03-29,6.52
2019-04-05,6.61
2019-04-12,6.62
2019-04-19,6.65
2019-04-26,6.76
2019-05-03,6.79
2019-05-10,6.76
2019-05-17,6.78
2019-05-24,6.76
2019-05-31,6.25
2019-06-07,6.51
2019-06-14,6.33
2019-06-21,6.6
2019-06-28,6.53
2019-07-05,6.66
2019-07-12,6.69
2019-07-19,6.67
2019-07-26,6.7
2019-08-02,6.54
2019-08-09,6.56
2019-08-16,6.53
2019-08-23,6.6
2019-08-30,6.37
2019-09-06,6.52
2019-09-13,6.65
2019-09-20,6.68
2019-09-27,6.64
2019-10-04,6.45
2019-10-11,6.47
2019-10-18,6.54
2019-10-25,6.54
2019-11-01,6.43
2019-11-08,6.49
2019-11-15,6.46
2019-11-22,6.5
2019-11-29,6.52
2019-12-06,6.52
2019-12-13,6.6
2019-12-20,6.65
2019-12-27,6.51
2020-01-03,6.48
