date,value
2015-01-02,25.38
2015-01-09,25.4039
2015-01-16,24.74
2015-01-23,25.55
2015-01-30,24.93
2015-02-06,25.52
2015-02-13,26.3
2015-02-20,26.72
2015-02-27,26.99
2015-03-06,27.091
2015-03-13,27.0936
2015-03-20,28.21
2015-03-27,26.8499
2015-04-03,26.73
2015-04-10,27.348
2015-04-17,26.88
2015-04-24,26.4857
2015-05-01,27.0304
2015-05-08,26.93
2015-05-15,27.25
2015-05-22,27.94
2015-05-29,28.954
2015-06-05,28.51
2015-06-12,28.25
2015-06-19,28.59
2015-06-26,27.425
2015-07-03,26.7997
2015-07-10,25.63
2015-07-17,25.944
2015-07-24,25.01
2015-07-31,25.21
2015-08-07,25.19
2015-08-14,24.9097
2015-08-21,22.98
2015-08-28,24.1897
2015-09-04,23.59
2015-09-11,23.948
2015-09-18,23.7599
2015-09-25,23.104
2015-10-02,23.73
2015-10-09,24.54
2015-10-16,25.3728
2015-10-23,25.8099
2015-10-30,25.285
2015-11-06,26.14
2015-11-13,24.9901
2015-11-20,25.86
2015-11-27,26.31
2015-12-04,26.8907
2015-12-11,25.56
2015-12-18,25.154
2015-12-25,25.9203
2016-01-01,25.23
2016-01-08,22.91
2016-01-15,22.04
2016-01-22,23.0799
2016-01-29,23.72
2016-02-05,22.2205
2016-02-12,21.39
2016-02-19,22.68
2016-02-26,23.461
2016-03-04,24.3692
2016-03-11,24.55
2016-03-18,25.16
2016-03-25,25.083
2016-04-01,25.95
2016-04-08,25.45
2016-04-15,25.66
2016-04-22,25.44
2016-04-29,24.43
2016-05-06,24.23
2016-05-13,24.29
2016-05-20,25.3
2016-05-27,26.69
2016-06-03,26.86
2016-06-10,26.89
2016-06-17,26.58
2016-06-24,25.9104
2016-07-01,26.3
2016-07-08,27.01
2016-07-15,27.95
2016-07-22,28.351
2016-07-29,29.7414
2016-08-05,30.17
2016-08-12,30.5851
2016-08-19,31.36
2016-08-26,31.74
2016-09-02,32.04
2016-09-09,30.5
2016-09-16,31.54
2016-09-23,32.0
2016-09-30,32.8
2016-10-07,33.04
2016-10-14,31.81
2016-10-21,31.93
2016-10-28,32.02
2016-11-04,31.8101
2016-11-11,33.42
2016-11-18,35.04
2016-11-25,35.78
2016-12-02,34.0
2016-12-09,35.92
2016-12-16,35.8355
2016-12-23,36.96
2016-12-30,36.09
2017-01-06,36.06
2017-01-13,37.06
2017-01-20,36.8091
2017-01-27,38.45
2017-02-03,39.1
2017-02-10,39.14
2017-02-17,39.73
2017-02-24,39.76
2017-03-03,39.66
2017-03-10,40.35
2017-03-17,41.37
2017-03-24,41.27
2017-03-31,41.77
2017-04-07,41.3
2017-04-14,39.72
2017-04-21,41.65
2017-04-28,42.5
2017-05-05,42.57
2017-05-12,43.73
2017-05-19,43.78
2017-05-26,44.96
2017-06-02,45.82
2017-06-09,45.28
2017-06-16,43.53
2017-06-23,44.0
