date,value
2015-01-02,39.25
2015-01-09,38.7182
2015-01-16,37.78
2015-01-23,39.78
2015-01-30,38.751
2015-02-06,39.91
2015-02-13,41.85
2015-02-20,42.29
2015-02-27,41.9
2015-03-06,40.612
2015-03-13,40.2001
2015-03-20,42.13
2015-03-27,41.61
2015-04-03,41.68
2015-04-10,43.0
2015-04-17,41.97
2015-04-24,43.514
2015-05-01,42.6935
2015-05-08,42.32
2015-05-15,42.57
2015-05-22,43.1
2015-05-29,42.54
2015-06-05,43.0799
2015-06-12,43.2855
2015-06-19,44.1663
2015-06-26,43.6
2015-07-03,42.89
2015-07-10,43.696
2015-07-17,44.5027
2015-07-24,44.11
2015-07-31,44.08
2015-08-07,43.4499
2015-08-14,43.8199
2015-08-21,40.97
2015-08-28,41.09
2015-09-04,40.26
2015-09-11,41.308
2015-09-18,41.7199
2015-09-25,41.12
2015-10-02,40.7501
2015-10-09,42.0625
2015-10-16,42.625
2015-10-23,43.53
2015-10-30,43.3814
2015-11-06,44.653
2015-11-13,42.73
2015-11-20,43.742
2015-11-27,44.37
2015-12-04,43.9988
2015-12-11,42.0
2015-12-18,42.07
2015-12-25,42.79
2016-01-01,42.27
2016-01-08,39.48
2016-01-15,38.8
2016-01-22,39.39
2016-01-29,38.93
2016-02-05,36.52
2016-02-12,36.78
2016-02-19,38.67
2016-02-26,39.8893
2016-03-04,40.54
2016-03-11,40.52
2016-03-18,41.1689
2016-03-25,40.47
2016-04-01,42.5161
2016-04-08,41.7398
2016-04-15,42.38
2016-04-22,42.96
2016-04-29,42.18
2016-05-06,41.736
2016-05-13,42.53
2016-05-20,42.99
2016-05-27,44.29
2016-06-03,44.4001
2016-06-10,44.34
2016-06-17,43.57
2016-06-24,42.75
2016-07-01,44.1813
2016-07-08,45.6159
2016-07-15,46.37
2016-07-22,46.85
2016-07-29,46.8805
2016-08-05,47.55
2016-08-12,47.5999
2016-08-19,47.33
2016-08-26,47.7399
2016-09-02,48.5
2016-09-09,47.23
2016-09-16,47.34
2016-09-23,48.6
2016-09-30,48.61
2016-10-07,48.12
2016-10-14,47.0201
2016-10-21,47.2244
2016-10-28,46.742
2016-11-04,45.84
2016-11-11,47.6
2016-11-18,48.04
2016-11-25,49.0474
2016-12-02,46.6528
2016-12-09,48.14
2016-12-16,47.69
2016-12-23,47.55
2016-12-30,47.1779
2017-01-06,48.21
2017-01-13,49.2239
2017-01-20,48.6367
2017-01-27,49.089
2017-02-03,49.44
2017-02-10,50.4658
2017-02-17,51.12
2017-02-24,50.94
2017-03-03,50.8338
2017-03-10,50.68
2017-03-17,51.85
2017-03-24,50.8431
2017-03-31,51.56
2017-04-07,51.3395
2017-04-14,51.4111
2017-04-21,51.95
2017-04-28,53.44
2017-05-05,53.97
2017-05-12,54.44
2017-05-19,54.7132
2017-05-26,56.63
2017-06-02,57.9
2017-06-09,56.11
2017-06-16,55.9079
2017-06-23,57.44
2017-06-30,56.063
2017-07-07,55.9
2017-07-14,57.43
2017-07-21,57.85
2017-07-28,58.295
2017-08-04,57.84
2017-08-11,57.3099
2017-08-18,57.98
2017-08-25,58.65
2017-09-01,60.0112
2017-09-08,60.15
2017-09-15,60.97
2017-09-22,61.53
2017-09-29,61.83
2017-10-06,63.66
2017-10-13,64.4909
2017-10-20,65.235
2017-10-27,65.71
2017-11-03,65.34
2017-11-10,64.41
2017-11-17,65.433
2017-11-24,66.7745
2017-12-01,63.94
2017-12-08,63.44
2017-12-15,65.2
2017-12-22,63.74
2017-12-29,63.5
2018-01-05,65.681
2018-01-12,67.51
2018-01-19,67.79
2018-01-26,69.29
