date,value
2015-01-02,0.0601
2015-01-09,0.0844
2015-01-16,0.113
2015-01-23,0.08424
2015-01-30,0.088
2015-02-06,0.07
2015-02-13,0.087
2015-02-20,0.0665
2015-02-27,0.0609
2015-03-06,0.05
2015-03-13,0.068
2015-03-20,0.05
2015-03-27,0.04
2015-04-03,0.0359
2015-04-10,0.027
2015-04-17,0.03023
2015-04-24,0.036
2015-05-01,0.042
2015-05-08,0.0371
2015-05-15,0.0401
2015-05-22,0.0381
2015-05-29,0.0383
2015-06-05,0.0419
2015-06-12,0.0349
2015-06-19,0.042
2015-06-26,0.03075
2015-07-03,0.033
2015-07-10,0.0301
2015-07-17,0.03
2015-07-24,0.039
2015-07-31,0.035
2015-08-07,0.03187
2015-08-14,0.039
2015-08-21,0.0374
2015-08-28,0.0258
2015-09-04,0.03
2015-09-11,0.0275
2015-09-18,0.035
2015-09-25,0.035
2015-10-02,0.03153
2015-10-09,0.0338
2015-10-16,0.0281
2015-10-23,0.0349
2015-10-30,0.0329
2015-11-06,0.0249
2015-11-13,0.02
2015-11-20,0.0138
2015-11-27,0.018
2015-12-04,0.024
2015-12-11,0.02
2015-12-18,0.019
2015-12-25,0.018
2016-01-01,0.01943
2016-01-08,0.015
2016-01-15,0.0105
2016-01-22,0.0121
2016-01-29,0.018
2016-02-05,0.012
2016-02-12,0.015
2016-02-19,0.00964
2016-02-26,0.00809
2016-03-04,0.014
2016-03-11,0.015
2016-03-18,0.011
2016-03-25,0.01
2016-04-01,0.0097
2016-04-08,0.0095
2016-04-15,0.0076
2016-04-22,0.0076
2016-04-29,0.009
2016-05-06,0.0076
2016-05-13,0.0093
2016-05-20,0.00626
2016-05-27,0.0077
2016-06-03,0.0056
2016-06-10,0.0057
2016-06-17,0.0052
2016-06-24,0.00532
2016-07-01,0.0072
2016-07-08,0.006
2016-07-15,0.0058
2016-07-22,0.0058
2016-07-29,0.0064
2016-08-05,0.007
2016-08-12,0.0059
2016-08-19,0.0072
2016-08-26,0.0061
2016-09-02,0.00873
2016-09-09,0.0085
2016-09-16,0.0079
2016-09-23,0.0071
2016-09-30,0.00685
2016-10-07,0.0066
2016-10-14,0.0055
2016-10-21,0.0055
2016-10-28,0.0055
2016-11-04,0.0056
2016-11-11,0.0059
2016-11-18,0.0055
2016-11-25,0.0058
2016-12-02,0.00465
2016-12-09,0.004
2016-12-16,0.00458
2016-12-23,0.0041
2016-12-30,0.00351
2017-01-06,0.00399
2017-01-13,0.0035
2017-01-20,0.003
2017-01-27,0.0044
2017-02-03,0.003
2017-02-10,0.005
2017-02-17,0.005
2017-02-24,0.005
2017-03-03,0.003
2017-03-10,0.005
2017-03-17,0.005
2017-03-24,0.004
2017-03-31,0.003
2017-04-07,0.004
2017-04-14,0.004
2017-04-21,0.004
2017-04-28,0.004
2017-05-05,0.004
2017-05-12,0.004
2017-05-19,0.004
2017-05-26,0.004
2017-06-02,0.005
2017-06-09,0.004
2017-06-16,0.0039
2017-06-23,0.004
2017-06-30,0.005
2017-07-07,0.0036
2017-07-14,0.004
2017-07-21,0.005
2017-07-28,0.006
2017-08-04,0.004
2017-08-11,0.005
2017-08-18,0.005
2017-08-25,0.005
2017-09-01,0.004
2017-09-08,0.004
2017-09-15,0.004
2017-09-22,0.004
2017-09-29,0.004
2017-10-06,0.004
2017-10-13,0.0045
2017-10-20,0.004
2017-10-27,0.0038
2017-11-03,0.0035
2017-11-10,0.003
2017-11-17,0.003
2017-11-24,0.0038
2017-12-01,0.00317
2017-12-08,0.0031
2017-12-15,0.00293
2017-12-22,0.0025
2017-12-29,0.00285
2018-01-05,0.0026
2018-01-12,0.0025
2018-01-19,0.0026
2018-01-26,0.003
2018-02-02,0.003
2018-02-09,0.0026
2018-02-16,0.0021
2018-02-23,0.0023
2018-03-02,0.0021
2018-03-09,0.0021
2018-03-16,0.0021
2018-03-23,0.0021
2018-03-30,0.0026
2018-04-06,0.002502
2018-04-13,0.0025
2018-04-20,0.00265
2018-04-27,0.003
2018-05-04,0.003
2018-05-11,0.00195
2018-05-18,0.0033
2018-05-25,0.0033
2018-06-01,0.0026
2018-06-08,0.002607
2018-06-15,0.0027
2018-06-22,0.003
2018-06-29,0.00285
2018-07-06,0.0027
2018-07-13,0.002703
2018-07-20,0.0027
2018-07-27,0.00285
2018-08-03,0.0027
2018-08-10,0.0032
2018-08-17,0.0025
2018-08-24,0.0021
2018-08-31,0.0021
2018-09-07,0.003
2018-09-14,0.0025
2018-09-21,0.0028
2018-09-28,0.0028
2018-10-05,0.0028
2018-10-12,0.003
2018-10-19,0.0001
2018-10-26,0.0001
2018-11-02,0.0001
2018-11-09,0.0002
2018-11-16,1e-05
2018-11-23,0.0003
2018-11-30,0.0003
2018-12-07,0.0001
2018-12-14,0.0001
2018-12-21,0.0002
2018-12-28,1e-06
2019-01-04,0.001
2019-01-11,0.0002
2019-01-18,0.0001
2019-01-25,1e-05
2019-02-01,0.0002
2019-02-08,0.0001
2019-02-15,0.0002
2019-02-22,0.0002
2019-03-01,1e-06
2019-03-08,0.0001
2019-03-15,0.0001
2019-03-22,0.0001
2019-03-29,0.0001
2019-04-05,0.0001
2019-04-12,0.001
2019-04-19,1e-06
2019-04-26,0.0001
2019-05-03,0.0001
2019-05-10,0.0001
2019-05-17,0.0001
2019-05-24,0.0002
2019-05-31,0.0001
2019-06-07,0.0001
2019-06-14,0.0002
2019-06-21,0.0001
2019-06-28,1e-06
2019-07-05,1e-06
2019-07-12,1e-06
2019-07-19,0.0001
2019-07-26,0.0001
2019-08-02,0.0001
2019-08-09,1e-06
2019-08-16,0.0001
2019-08-23,9e-06
