date,value
2015-01-02,74.2
2015-01-09,76.59
2015-01-16,77.584
2015-01-23,78.4899
2015-01-30,77.53
2015-02-06,76.34
2015-02-13,76.21
2015-02-20,75.51
2015-02-27,74.87
2015-03-06,71.7642
2015-03-13,73.29
2015-03-20,77.48
2015-03-27,74.64
2015-04-03,75.938
2015-04-10,73.8336
2015-04-17,72.831
2015-04-24,74.19
2015-05-01,71.6101
2015-05-08,72.14
2015-05-15,72.4099
2015-05-22,71.62
2015-05-29,71.0199
2015-06-05,69.6501
2015-06-12,69.7499
2015-06-19,70.815
2015-06-26,68.95
2015-07-03,69.2399
2015-07-10,70.4
2015-07-17,71.21
2015-07-24,70.56
2015-07-31,71.6099
2015-08-07,71.74
2015-08-14,72.0
2015-08-21,71.8925
2015-08-28,68.8676
2015-09-04,67.19
2015-09-11,67.043
2015-09-18,69.4
2015-09-25,68.71
2015-10-02,69.88
2015-10-09,72.05
2015-10-16,72.9535
2015-10-23,73.6536
2015-10-30,73.423
2015-11-06,71.59
2015-11-13,71.0901
2015-11-20,73.2506
2015-11-27,73.4
2015-12-04,72.5499
2015-12-11,71.27
2015-12-18,72.14
2015-12-25,72.26
2016-01-01,72.75
2016-01-08,70.8094
2016-01-15,68.2454
2016-01-22,69.0156
2016-01-29,68.9596
2016-02-05,68.0075
2016-02-12,63.9
2016-02-19,67.08
2016-02-26,68.9636
2016-03-04,70.8129
2016-03-11,71.899
2016-03-18,73.7013
2016-03-25,72.1115
2016-04-01,75.02
2016-04-08,74.68
2016-04-15,74.86
2016-04-22,73.46
2016-04-29,73.22
2016-05-06,76.7282
2016-05-13,75.66
2016-05-20,73.7799
2016-05-27,75.2818
2016-06-03,75.8798
2016-06-10,76.108
2016-06-17,76.4999
2016-06-24,76.5
2016-07-01,80.475
2016-07-08,80.79
2016-07-15,81.45
2016-07-22,81.93
2016-07-29,83.39
2016-08-05,81.6855
2016-08-12,81.52
2016-08-19,80.3399
2016-08-26,80.2056
2016-09-02,81.246
2016-09-09,78.95
2016-09-16,77.49
2016-09-23,80.9214
2016-09-30,79.6479
2016-10-07,75.3525
2016-10-14,75.25
2016-10-21,77.0082
2016-10-28,74.2073
2016-11-04,72.98
2016-11-11,71.9578
2016-11-18,72.58
2016-11-25,73.14
2016-12-02,73.6336
2016-12-09,76.1359
2016-12-16,73.9118
2016-12-23,73.825
2016-12-30,73.4
2017-01-06,76.67
2017-01-13,75.2206
2017-01-20,75.62
2017-01-27,74.822
2017-02-03,75.25
2017-02-10,76.27
2017-02-17,76.3326
2017-02-24,77.6594
2017-03-03,77.0455
2017-03-10,74.37
2017-03-17,76.1
2017-03-24,76.82
2017-03-31,76.8601
2017-04-07,77.64
2017-04-14,78.49
2017-04-21,78.8903
2017-04-28,76.961
2017-05-05,76.7708
2017-05-12,76.03
2017-05-19,77.2906
2017-05-26,77.645
2017-06-02,78.6206
2017-06-09,78.4007
2017-06-16,79.857
2017-06-23,79.995
2017-06-30,79.82
2017-07-07,77.81
2017-07-14,78.66
2017-07-21,79.14
2017-07-28,79.84
2017-08-04,79.55
2017-08-11,78.57
2017-08-18,78.27
2017-08-25,79.9135
2017-09-01,80.36
2017-09-08,80.89
2017-09-15,81.13
2017-09-22,79.09
2017-09-29,78.8855
2017-10-06,79.62
2017-10-13,81.22
2017-10-20,80.5
2017-10-27,79.588
2017-11-03,80.8315
2017-11-10,83.08
2017-11-17,82.7
2017-11-24,83.07
2017-12-01,82.1661
2017-12-08,81.58
2017-12-15,82.7
2017-12-22,80.7118
2017-12-29,82.0648
2018-01-05,80.2
2018-01-12,77.87
2018-01-19,78.16
2018-01-26,79.3197
2018-02-02,77.21
2018-02-09,74.225
2018-02-16,76.008
2018-02-23,75.565
2018-03-02,73.39
2018-03-09,75.75
2018-03-16,77.1787
2018-03-23,76.295
2018-03-30,76.51
2018-04-06,75.99
2018-04-13,75.42
2018-04-20,75.0024
2018-04-27,77.22
2018-05-04,77.62
2018-05-11,78.905
2018-05-18,76.2
2018-05-25,78.035
2018-06-01,79.16
2018-06-08,80.1782
2018-06-15,80.05
2018-06-22,80.1278
2018-06-29,81.84
2018-07-06,83.0133
2018-07-13,82.455
2018-07-20,81.05
2018-07-27,80.6
2018-08-03,83.044
2018-08-10,81.902
2018-08-17,84.29
2018-08-24,83.41
2018-08-31,84.1
2018-09-07,83.02
2018-09-14,83.1869
2018-09-21,83.1086
2018-09-28,81.1799
2018-10-05,79.322
2018-10-12,76.48
2018-10-19,78.9892
2018-10-26,78.41
2018-11-02,78.23
2018-11-09,81.39
2018-11-16,82.28
2018-11-23,81.15
2018-11-30,82.6081
2018-12-07,83.5939
2018-12-14,82.059
2018-12-21,77.0872
2018-12-28,75.8588
2019-01-04,75.6614
2019-01-11,79.03
2019-01-18,80.4556
2019-01-25,81.5375
2019-02-01,84.15
2019-02-08,85.2492
2019-02-15,86.0563
2019-02-22,86.2466
2019-03-01,85.2532
2019-03-08,85.54
2019-03-15,87.4266
2019-03-22,87.988
2019-03-29,89.12
2019-04-05,90.0381
2019-04-12,90.6355
2019-04-19,87.5515
2019-04-26,88.78
2019-05-03,89.8037
2019-05-10,89.25
2019-05-17,90.3729
2019-05-24,90.4715
2019-05-31,89.4618
2019-06-07,91.6953
2019-06-14,92.307
2019-06-21,93.0233
2019-06-28,89.781
2019-07-05,91.9614
2019-07-12,91.94
2019-07-19,89.8627
2019-07-26,90.6141
2019-08-02,91.71
2019-08-09,93.35
2019-08-16,93.8
2019-08-23,93.53
2019-08-30,94.99
2019-09-06,96.18
2019-09-13,93.9105
2019-09-20,96.0159
2019-09-27,95.5426
2019-10-04,96.274
2019-10-11,95.9344
2019-10-18,97.4015
2019-10-25,96.95
2019-11-01,97.1
2019-11-08,93.7077
2019-11-15,95.3246
2019-11-22,94.339
2019-11-29,96.032
2019-12-06,95.67
2019-12-13,92.9515
2019-12-20,95.328
2019-12-27,95.0
2020-01-03,95.1535
