date,value
2015-01-02,23.72
2015-01-09,23.63
2015-01-16,24.0
2015-01-23,24.53
2015-01-30,24.28
2015-02-06,23.53
2015-02-13,22.97
2015-02-20,23.246
2015-02-27,22.91
2015-03-06,22.0137
2015-03-13,22.03
2015-03-20,22.9401
2015-03-27,22.5201
2015-04-03,22.86
2015-04-10,22.93
2015-04-17,22.5457
2015-04-24,23.01
2015-05-01,22.53
2015-05-08,22.16
2015-05-15,22.31
2015-05-22,22.2501
2015-05-29,22.2887
2015-06-05,21.27
2015-06-12,21.2
2015-06-19,21.3601
2015-06-26,20.941
2015-07-03,21.05
2015-07-10,21.31
2015-07-17,21.47
2015-07-24,21.0
2015-07-31,21.87
2015-08-07,21.5606
2015-08-14,22.2899
2015-08-21,22.16
2015-08-28,21.353
2015-09-04,20.583
2015-09-11,20.7807
2015-09-18,21.28
2015-09-25,21.55
2015-10-02,21.61
2015-10-09,22.1163
2015-10-16,22.7
2015-10-23,22.8202
2015-10-30,22.49
2015-11-06,21.53
2015-11-13,21.6547
2015-11-20,22.2196
2015-11-27,22.0283
2015-12-04,21.9601
2015-12-11,21.4978
2015-12-18,22.0401
2015-12-25,22.3036
2016-01-01,22.41
2016-01-08,22.0
2016-01-15,21.899
2016-01-22,22.4269
2016-01-29,23.43
2016-02-05,23.81
2016-02-12,23.55
2016-02-19,23.92
2016-02-26,23.77
2016-03-04,24.24
2016-03-11,24.6919
2016-03-18,24.9343
2016-03-25,25.04
2016-04-01,25.47
2016-04-08,25.0499
2016-04-15,25.2
2016-04-22,24.53
2016-04-29,25.12
2016-05-06,25.6
2016-05-13,25.85
2016-05-20,25.22
2016-05-27,25.64
2016-06-03,26.41
2016-06-10,26.66
2016-06-17,26.65
2016-06-24,26.77
2016-07-01,27.82
2016-07-08,27.76
2016-07-15,27.53
2016-07-22,27.77
2016-07-29,27.523
2016-08-05,26.67
2016-08-12,26.56
2016-08-19,26.1192
2016-08-26,25.525
2016-09-02,25.83
2016-09-09,25.29
2016-09-16,25.59
2016-09-23,26.68
2016-09-30,25.87
2016-10-07,24.68
2016-10-14,24.94
2016-10-21,25.06
2016-10-28,25.21
2016-11-04,24.77
2016-11-11,24.41
2016-11-18,24.69
2016-11-25,25.27
2016-12-02,24.89
2016-12-09,25.63
2016-12-16,25.52
2016-12-23,25.74
2016-12-30,25.62
2017-01-06,25.79
2017-01-13,25.68
2017-01-20,25.76
2017-01-27,25.76
2017-02-03,26.07
2017-02-10,26.24
2017-02-17,26.36
2017-02-24,27.12
2017-03-03,27.2
2017-03-10,26.78
2017-03-17,27.14
2017-03-24,27.3811
2017-03-31,27.31
2017-04-07,27.4
2017-04-14,27.49
2017-04-21,27.5302
2017-04-28,27.528
2017-05-05,27.46
2017-05-12,27.31
2017-05-19,27.31
2017-05-26,28.1
2017-06-02,28.62
2017-06-09,28.33
2017-06-16,28.65
2017-06-23,28.05
2017-06-30,27.5
2017-07-07,27.26
2017-07-14,27.33
2017-07-21,28.24
2017-07-28,28.03
2017-08-04,28.41
2017-08-11,28.42
2017-08-18,28.63
2017-08-25,29.09
2017-09-01,28.986
2017-09-08,29.17
2017-09-15,29.14
2017-09-22,28.1102
2017-09-29,27.89
2017-10-06,28.12
2017-10-13,28.47
2017-10-20,28.78
2017-10-27,28.95
2017-11-03,28.9776
2017-11-10,28.9985
2017-11-17,29.3832
2017-11-24,29.24
2017-12-01,29.7
2017-12-08,29.34
2017-12-15,28.88
2017-12-22,27.61
2017-12-29,27.8274
2018-01-05,27.001
2018-01-12,26.185
2018-01-19,26.06
2018-01-26,26.64
2018-02-02,25.93
2018-02-09,25.03
2018-02-16,25.93
2018-02-23,26.07
2018-03-02,24.92
2018-03-09,25.385
2018-03-16,26.067
2018-03-23,25.36
2018-03-30,26.27
2018-04-06,26.3
2018-04-13,25.945
2018-04-20,26.3133
2018-04-27,27.18
2018-05-04,27.59
2018-05-11,27.11
2018-05-18,26.46
2018-05-25,27.14
2018-06-01,27.1662
2018-06-08,26.12
2018-06-15,26.64
2018-06-22,27.1324
2018-06-29,27.71
2018-07-06,28.44
2018-07-13,27.97
2018-07-20,27.96
2018-07-27,28.06
2018-08-03,28.32
