date,value
2015-01-02,24.9551
2015-01-09,24.95
2015-01-16,24.95
2015-01-23,24.95
2015-01-30,24.9505
2015-02-06,24.95
2015-02-13,24.94
2015-02-20,24.94
2015-02-27,24.9435
2015-03-06,24.95
2015-03-13,24.94
2015-03-20,24.9401
2015-03-27,24.9449
2015-04-03,24.94
2015-04-10,24.94
2015-04-17,24.94
2015-04-24,24.94
2015-05-01,24.94
2015-05-08,24.94
2015-05-15,24.9396
2015-05-22,24.93
2015-05-29,24.94
2015-06-05,24.94
2015-06-12,24.9497
2015-06-19,24.94
2015-06-26,24.9323
2015-07-03,24.96
2015-07-10,24.9536
2015-07-17,24.93
2015-07-24,24.9332
2015-07-31,24.93
2015-08-07,24.93
2015-08-14,24.9301
2015-08-21,24.93
2015-08-28,24.9353
2015-09-04,24.9301
2015-09-11,24.9309
2015-09-18,24.94
2015-09-25,24.92
2015-10-02,24.92
2015-10-09,24.92
2015-10-16,24.92
2015-10-23,24.92
2015-10-30,24.92
2015-11-06,24.9142
2015-11-13,24.91
2015-11-20,24.91
2015-11-27,24.9298
2015-12-04,24.91
2015-12-11,24.91
2015-12-18,24.9201
2015-12-25,24.92
2016-01-01,24.91
2016-01-08,24.9101
2016-01-15,24.9197
2016-01-22,24.91
2016-01-29,24.92
2016-02-05,24.9188
2016-02-12,24.9
2016-02-19,24.9052
2016-02-26,24.9
2016-03-04,24.9
2016-03-11,24.9
2016-03-18,24.9
2016-03-25,24.9037
2016-04-01,24.9
2016-04-08,24.9
2016-04-15,24.91
2016-04-22,24.8945
2016-04-29,24.8968
2016-05-06,24.8908
2016-05-13,24.89
2016-05-20,24.89
2016-05-27,24.89
2016-06-03,24.8901
2016-06-10,24.89
2016-06-17,24.89
2016-06-24,24.9
2016-07-01,24.9
2016-07-08,24.89
2016-07-15,24.89
2016-07-22,24.89
2016-07-29,24.89
2016-08-05,24.89
2016-08-12,24.89
2016-08-19,24.9
2016-08-26,24.94
2016-09-02,24.9
2016-09-09,24.89
2016-09-16,24.9
2016-09-23,24.89
2016-09-30,24.9
2016-10-07,24.9
2016-10-14,24.89
2016-10-21,24.91
2016-10-28,24.89
2016-11-04,24.9
2016-11-11,24.9299
2016-11-18,24.89
2016-11-25,24.89
2016-12-02,24.92
2016-12-09,24.89
2016-12-16,24.91
2016-12-23,24.9036
2016-12-30,24.94
2017-01-06,24.92
2017-01-13,24.9004
2017-01-20,24.9
2017-01-27,24.9123
2017-02-03,24.94
2017-02-10,24.9276
2017-02-17,24.9
2017-02-24,24.9
2017-03-03,24.895
2017-03-10,24.9
2017-03-17,24.94
2017-03-24,24.92
2017-03-31,24.92
2017-04-07,24.92
