date,value
2015-01-02,29.18
2015-01-09,29.0353
2015-01-16,28.82
2015-01-23,29.35
2015-01-30,28.83
2015-02-06,29.5232
2015-02-13,30.11
2015-02-20,30.49
2015-02-27,30.43
2015-03-06,30.27
2015-03-13,30.4199
2015-03-20,31.41
2015-03-27,30.6
2015-04-03,30.46
2015-04-10,31.0
2015-04-17,30.42
2015-04-24,31.03
2015-05-01,30.65
2015-05-08,30.95
2015-05-15,31.08
2015-05-22,31.08
2015-05-29,30.87
2015-06-05,30.8146
2015-06-12,30.7799
2015-06-19,31.18
2015-06-26,31.2242
2015-07-03,30.89
2015-07-10,31.2601
2015-07-17,31.8778
2015-07-24,31.3795
2015-07-31,31.74
2015-08-07,31.31
2015-08-14,31.4699
2015-08-21,29.65
2015-08-28,30.14
2015-09-04,29.26
2015-09-11,29.99
2015-09-18,30.23
2015-09-25,29.79
2015-10-02,29.81
2015-10-09,30.2801
2015-10-16,30.7799
2015-10-23,31.1792
2015-10-30,31.13
2015-11-06,31.38
2015-11-13,30.25
2015-11-20,31.37
2015-11-27,31.41
2015-12-04,31.74
2015-12-11,30.73
2015-12-18,30.83
2015-12-25,31.48
2016-01-01,31.29
2016-01-08,29.51
2016-01-15,28.8
2016-01-22,29.48
2016-01-29,29.76
2016-02-05,28.08
2016-02-12,28.0
2016-02-19,29.04
2016-02-26,29.66
2016-03-04,29.92
2016-03-11,30.19
2016-03-18,30.49
2016-03-25,30.38
2016-04-01,31.21
2016-04-08,30.67
2016-04-15,31.08
2016-04-22,31.05
2016-04-29,30.82
2016-05-06,30.93
2016-05-13,30.96
2016-05-20,30.75
2016-05-27,31.24
2016-06-03,31.28
2016-06-10,31.18
2016-06-17,30.77
2016-06-24,30.38
2016-07-01,31.3
2016-07-08,31.88
2016-07-15,32.07
2016-07-22,32.3
2016-07-29,32.35
2016-08-05,32.23
2016-08-12,32.26
2016-08-19,32.13
2016-08-26,31.88
2016-09-02,31.97
2016-09-09,31.1
2016-09-16,31.28
2016-09-23,31.79
2016-09-30,31.68
2016-10-07,31.5
2016-10-14,31.03
2016-10-21,31.38
2016-10-28,31.09
2016-11-04,30.53
2016-11-11,31.43
2016-11-18,31.73
2016-11-25,32.01
2016-12-02,31.2999
2016-12-09,32.03
2016-12-16,32.23
2016-12-23,32.31
2016-12-30,31.93
2017-01-06,32.56
2017-01-13,32.7232
2017-01-20,32.59
2017-01-27,32.99
2017-02-03,32.94
2017-02-10,33.41
2017-02-17,33.84
2017-02-24,34.13
2017-03-03,34.29
2017-03-10,34.24
2017-03-17,34.54
2017-03-24,34.22
2017-03-31,34.35
2017-04-07,34.33
2017-04-14,33.987
2017-04-21,34.4199
2017-04-28,35.03
2017-05-05,35.08
2017-05-12,35.159
2017-05-19,35.23
2017-05-26,36.06
2017-06-02,36.615
2017-06-09,36.03
2017-06-16,36.03
2017-06-23,36.4855
2017-06-30,35.9566
