date,value
2015-01-02,39.37
2015-01-09,38.48
2015-01-16,39.1135
2015-01-23,39.62
2015-01-30,39.51
2015-02-06,40.2709
2015-02-13,41.24
2015-02-20,41.934
2015-02-27,41.959
2015-03-06,40.96
2015-03-13,40.245
2015-03-20,41.78
2015-03-27,41.51
2015-04-03,41.72
2015-04-10,42.2757
2015-04-17,42.44
2015-04-24,43.22
2015-05-01,43.07
2015-05-08,43.45
2015-05-15,43.79
2015-05-22,43.43
2015-05-29,42.44
2015-06-05,42.01
2015-06-12,42.38
2015-06-19,41.696
2015-06-26,42.2
2015-07-03,41.08
2015-07-10,40.9
2015-07-17,41.31
2015-07-24,40.29
2015-07-31,40.906
2015-08-07,40.67
2015-08-14,40.23
2015-08-21,37.6
2015-08-28,38.06
2015-09-04,36.23
2015-09-11,37.34
2015-09-18,36.82
2015-09-25,35.78
2015-10-02,36.44
2015-10-09,38.65
2015-10-16,38.7324
2015-10-23,39.0604
2015-10-30,38.35
2015-11-06,38.27
2015-11-13,37.07
2015-11-20,38.0
2015-11-27,37.898
2015-12-04,37.77
2015-12-11,35.92
2015-12-18,35.64
2015-12-25,36.797
2016-01-01,36.2001
2016-01-08,33.76
2016-01-15,32.74
2016-01-22,33.4
2016-01-29,34.05
2016-02-05,33.11
2016-02-12,32.0
2016-02-19,33.05
2016-02-26,33.11
2016-03-04,34.97
2016-03-11,35.61
2016-03-18,35.69
2016-03-25,34.65
2016-04-01,34.96
2016-04-08,34.6
2016-04-15,36.17
2016-04-22,37.26
2016-04-29,36.63
2016-05-06,35.5
2016-05-13,35.21
2016-05-20,35.57
2016-05-27,36.36
2016-06-03,36.32
2016-06-10,35.52
2016-06-17,34.64
2016-06-24,33.45
2016-07-01,34.61
2016-07-08,34.16
2016-07-15,35.44
2016-07-22,35.29
2016-07-29,35.85
2016-08-05,35.75
2016-08-12,36.5
2016-08-19,36.62
2016-08-26,36.35
2016-09-02,37.17
2016-09-09,36.71
2016-09-16,35.52
2016-09-23,36.72
2016-09-30,36.75
2016-10-07,36.64
2016-10-14,36.19
2016-10-21,36.75
2016-10-28,36.64
2016-11-04,35.85
2016-11-11,36.4
2016-11-18,35.99
2016-11-25,36.53
2016-12-02,36.79
2016-12-09,38.55
2016-12-16,37.74
2016-12-23,37.58
2016-12-30,37.55
2017-01-06,38.455
2017-01-13,38.93
2017-01-20,38.76
2017-01-27,39.22
2017-02-03,39.22
2017-02-10,39.14
2017-02-17,39.3
2017-02-24,39.09
2017-03-03,39.46
2017-03-10,39.36
2017-03-17,40.1
2017-03-24,39.97
2017-03-31,40.09
2017-04-07,39.6
2017-04-14,39.36
2017-04-21,39.64
