date,value
2015-01-02,34.43
2015-01-09,34.25
2015-01-16,33.38
2015-01-23,34.1401
2015-01-30,33.0062
2015-02-06,33.4496
2015-02-13,35.1114
2015-02-20,36.823
2015-02-27,36.87
2015-03-06,36.2
2015-03-13,36.2725
2015-03-20,37.19
2015-03-27,35.8
2015-04-03,35.75
2015-04-10,36.77
2015-04-17,36.21
2015-04-24,37.611
2015-05-01,36.9801
2015-05-08,36.9432
2015-05-15,37.1588
2015-05-22,37.65
2015-05-29,37.8
2015-06-05,38.25
2015-06-12,38.5299
2015-06-19,39.37
2015-06-26,37.82
2015-07-03,37.0
2015-07-10,36.43
2015-07-17,36.4701
2015-07-24,37.2901
2015-07-31,36.96
2015-08-07,36.14
2015-08-14,36.216
2015-08-21,34.01
2015-08-28,34.072
2015-09-04,33.18
2015-09-11,33.46
2015-09-18,34.288
2015-09-25,33.79
2015-10-02,33.17
2015-10-09,34.78
2015-10-16,34.9064
2015-10-23,35.8133
2015-10-30,36.301
2015-11-06,36.6555
2015-11-13,34.68
2015-11-20,35.99
2015-11-27,36.3418
2015-12-04,36.5201
2015-12-11,35.44
2015-12-18,34.44
2015-12-25,34.4572
2016-01-01,34.6234
2016-01-08,31.39
2016-01-15,30.58
2016-01-22,30.5842
2016-01-29,30.39
2016-02-05,29.038
2016-02-12,28.69
2016-02-19,30.27
2016-02-26,31.7401
2016-03-04,32.4
2016-03-11,31.7108
2016-03-18,33.034
2016-03-25,32.8
2016-04-01,33.89
2016-04-08,33.298
2016-04-15,33.6047
2016-04-22,33.55
2016-04-29,33.65
2016-05-06,32.3001
2016-05-13,32.6452
2016-05-20,32.71
2016-05-27,33.65
2016-06-03,34.3401
2016-06-10,34.21
2016-06-17,33.7201
2016-06-24,33.05
2016-07-01,33.19
2016-07-08,33.36
2016-07-15,34.71
2016-07-22,35.5
2016-07-29,36.78
2016-08-05,37.229
2016-08-12,37.2192
2016-08-19,37.97
2016-08-26,37.89
2016-09-02,38.758
2016-09-09,38.1001
2016-09-16,39.0
2016-09-23,39.92
2016-09-30,40.17
2016-10-07,40.14
2016-10-14,38.65
2016-10-21,39.21
2016-10-28,38.68
2016-11-04,37.8766
2016-11-11,39.7766
2016-11-18,40.73
2016-11-25,41.2242
