date,value
2015-01-02,25.48
2015-01-09,25.65
2015-01-16,25.74
2015-01-23,25.77
2015-01-30,25.86
2015-02-06,25.61
2015-02-13,25.34
2015-02-20,25.39
2015-02-27,25.48
2015-03-06,25.26
2015-03-13,25.33
2015-03-20,25.57
2015-03-27,25.54
2015-04-03,25.52
2015-04-10,25.48
2015-04-17,25.44
2015-04-24,25.33
2015-05-01,25.0
2015-05-08,25.09
2015-05-15,24.96
2015-05-22,24.829
2015-05-29,24.93
2015-06-05,24.76
2015-06-12,24.79
2015-06-19,24.78
2015-06-26,24.7
2015-07-03,24.77
2015-07-10,24.82
2015-07-17,24.93
2015-07-24,25.01
2015-07-31,25.07
2015-08-07,25.09
2015-08-14,25.09
2015-08-21,25.15
2015-08-28,25.0
2015-09-04,25.08
2015-09-11,24.98
2015-09-18,24.97
2015-09-25,24.99
2015-10-02,25.1301
2015-10-09,25.1301
2015-10-16,25.13
2015-10-23,25.16
2015-10-30,25.16
2015-11-06,25.04
2015-11-13,25.07
2015-11-20,25.2
2015-11-27,25.27
2015-12-04,25.36
2015-12-11,25.53
2015-12-18,25.38
2015-12-25,25.45
2016-01-01,25.47
2016-01-08,25.698
2016-01-15,25.65
2016-01-22,25.62
2016-01-29,25.65
2016-02-05,25.72
2016-02-12,25.72
2016-02-19,25.66
2016-02-26,25.5
2016-03-04,25.37
2016-03-11,25.5
2016-03-18,25.58
2016-03-25,25.56
2016-04-01,25.705
2016-04-08,25.89
2016-04-15,25.93
2016-04-22,25.87
2016-04-29,25.91
2016-05-06,25.99
2016-05-13,26.08
2016-05-20,26.03
2016-05-27,26.05
2016-06-03,26.14
2016-06-10,26.28
2016-06-17,26.33
2016-06-24,26.41
2016-07-01,26.55
2016-07-08,26.6
2016-07-15,26.36
2016-07-22,26.28
2016-07-29,26.34
2016-08-05,26.23
2016-08-12,26.31
2016-08-19,26.22
2016-08-26,26.27
2016-09-02,26.24
2016-09-09,26.19
2016-09-16,26.06
2016-09-23,26.03
2016-09-30,26.04
2016-10-07,25.92
2016-10-14,25.76
2016-10-21,25.77
2016-10-28,25.77
2016-11-04,25.84
2016-11-11,25.21
2016-11-18,24.86
2016-11-25,24.78
2016-12-02,24.42
2016-12-09,24.75
2016-12-16,24.52
2016-12-23,24.69
2016-12-30,24.89
2017-01-06,25.07
2017-01-13,25.2
2017-01-20,25.04
2017-01-27,24.98
2017-02-03,25.04
2017-02-10,25.07
2017-02-17,24.95
