date,value
2015-01-02,28.85
2015-01-09,28.07
2015-01-16,27.54
2015-01-23,28.312
2015-01-30,27.97
2015-02-06,29.011
2015-02-13,29.7899
2015-02-20,30.3
2015-02-27,30.613
2015-03-06,30.0993
2015-03-13,29.78
2015-03-20,30.77
2015-03-27,30.02
2015-04-03,30.3904
2015-04-10,30.7255
2015-04-17,30.5595
2015-04-24,30.91
2015-05-01,30.53
2015-05-08,30.976
2015-05-15,31.89
2015-05-22,31.5601
2015-05-29,31.18
2015-06-05,31.19
2015-06-12,31.32
2015-06-19,31.25
2015-06-26,31.2163
2015-07-03,30.4
2015-07-10,30.2701
2015-07-17,30.53
2015-07-24,29.84
2015-07-31,29.9201
2015-08-07,29.5415
2015-08-14,29.7197
2015-08-21,27.8501
2015-08-28,27.964
2015-09-04,27.19
2015-09-11,27.71
2015-09-18,27.3976
2015-09-25,26.39
2015-10-02,26.8
2015-10-09,28.8
2015-10-16,28.2301
2015-10-23,28.8583
2015-10-30,29.22
2015-11-06,29.709
2015-11-13,28.34
2015-11-20,29.175
2015-11-27,29.56
2015-12-04,29.85
2015-12-11,28.42
2015-12-18,28.82
2015-12-25,29.8099
2016-01-01,29.4
2016-01-08,27.2201
2016-01-15,25.7655
2016-01-22,26.3092
2016-01-29,26.885
2016-02-05,26.61
2016-02-12,26.0801
2016-02-19,27.44
2016-02-26,27.8
2016-03-04,28.95
2016-03-11,29.1201
2016-03-18,29.86
2016-03-25,29.17
2016-04-01,29.86
2016-04-08,29.42
2016-04-15,29.5916
2016-04-22,30.45
2016-04-29,30.0801
2016-05-06,29.6558
2016-05-13,29.8599
2016-05-20,29.7701
2016-05-27,30.92
2016-06-03,31.31
2016-06-10,30.7552
2016-06-17,30.23
2016-06-24,29.2473
2016-07-01,29.9001
2016-07-08,29.8601
2016-07-15,30.7931
2016-07-22,31.04
2016-07-29,31.35
2016-08-05,31.864
2016-08-12,32.18
2016-08-19,32.5
2016-08-26,32.646
2016-09-02,33.0823
2016-09-09,32.41
2016-09-16,32.15
