date,value
2015-01-02,62.24
2015-01-09,62.07
2015-01-16,61.3999
2015-01-23,62.65
2015-01-30,61.17
2015-02-06,62.54
2015-02-13,63.94
2015-02-20,64.7
2015-02-27,64.85
2015-03-06,63.9299
2015-03-13,63.13
2015-03-20,65.17
2015-03-27,63.49
2015-04-03,63.35
2015-04-10,64.38
2015-04-17,63.44
2015-04-24,65.134
2015-05-01,64.63
2015-05-08,65.04
2015-05-15,65.4499
2015-05-22,65.53
2015-05-29,64.69
2015-06-05,64.2
2015-06-12,64.39
2015-06-19,65.18
2015-06-26,64.34
2015-07-03,63.62
2015-07-10,63.67
2015-07-17,65.67
2015-07-24,64.03
2015-07-31,65.02
2015-08-07,64.38
2015-08-14,64.86
2015-08-21,61.275
2015-08-28,62.18
2015-09-04,60.12
2015-09-11,61.36
2015-09-18,61.31
2015-09-25,60.56
2015-10-02,61.24
2015-10-09,63.15
2015-10-16,63.55
2015-10-23,65.53
2015-10-30,65.68
2015-11-06,66.17
2015-11-13,63.73
2015-11-20,66.07
2015-11-27,66.31
2015-12-04,66.35
2015-12-11,63.94
2015-12-18,63.66
2015-12-25,65.17
2016-01-01,64.57
2016-01-08,60.83
2016-01-15,59.85
2016-01-22,60.73
2016-01-29,61.59
2016-02-05,60.06
2016-02-12,59.97
2016-02-19,61.64
2016-02-26,62.42
2016-03-04,63.69
2016-03-11,64.39
2016-03-18,65.4
2016-03-25,64.8
2016-04-01,66.12
2016-04-08,65.5
2016-04-15,66.45
2016-04-22,66.51
2016-04-29,65.36
2016-05-06,65.2
2016-05-13,64.93
2016-05-20,64.8671
2016-05-27,66.24
2016-06-03,66.08
2016-06-10,66.03
2016-06-17,65.31
2016-06-24,63.9201
2016-07-01,66.12
2016-07-08,66.87
2016-07-15,67.72
2016-07-22,68.25
2016-07-29,68.01
2016-08-05,68.34
2016-08-12,68.4
2016-08-19,68.4101
2016-08-26,68.04
2016-09-02,68.13
2016-09-09,66.3925
2016-09-16,66.84
2016-09-23,67.64
2016-09-30,67.49
2016-10-07,66.96
2016-10-14,66.56
2016-10-21,66.28
2016-10-28,66.11
2016-11-04,65.06
2016-11-11,67.56
2016-11-18,67.98
2016-11-25,68.71
2016-12-02,67.87
2016-12-09,69.7
2016-12-16,69.91
2016-12-23,69.75
2016-12-30,69.1
2017-01-06,70.16
2017-01-13,69.66
2017-01-20,69.66
2017-01-27,70.35
2017-02-03,70.33
2017-02-10,71.02
2017-02-17,72.55
2017-02-24,73.3
2017-03-03,73.84
2017-03-10,73.63
2017-03-17,73.92
2017-03-24,72.7
2017-03-31,72.8
2017-04-07,72.55
2017-04-14,71.96
2017-04-21,72.41
2017-04-28,73.25
2017-05-05,73.53
2017-05-12,73.21
2017-05-19,73.16
2017-05-26,74.22
2017-06-02,75.06
2017-06-09,74.94
2017-06-16,75.29
2017-06-23,75.32
2017-06-30,74.37
2017-07-07,74.49
2017-07-14,75.44
2017-07-21,75.88
2017-07-28,75.13
2017-08-04,75.34
2017-08-11,74.29
2017-08-18,73.79
2017-08-25,74.54
2017-09-01,75.62
2017-09-08,75.58
2017-09-15,76.81
2017-09-22,77.06
2017-09-29,77.14
2017-10-06,78.25
2017-10-13,78.91
2017-10-20,79.58
2017-10-27,79.58
2017-11-03,79.72
2017-11-10,79.78
2017-11-17,80.02
2017-11-24,80.64
2017-12-01,82.28
2017-12-08,82.78
2017-12-15,83.29
2017-12-22,83.11
2017-12-29,82.9
2018-01-05,84.8
2018-01-12,86.23
2018-01-19,87.43
2018-01-26,88.61
2018-02-02,84.97
2018-02-09,81.13
2018-02-16,84.56
2018-02-23,84.93
2018-03-02,83.61
2018-03-09,86.67
2018-03-16,85.89
2018-03-23,80.6
2018-03-30,82.71
2018-04-06,81.39
2018-04-13,82.73
2018-04-20,82.1
2018-04-27,82.14
2018-05-04,82.42
2018-05-11,84.3
2018-05-18,84.03
2018-05-25,84.25
2018-06-01,84.75
2018-06-08,86.32
2018-06-15,86.1
2018-06-22,84.83
2018-06-29,83.45
2018-07-06,84.74
2018-07-13,85.91
2018-07-20,85.93
2018-07-27,86.55
2018-08-03,87.02
2018-08-10,86.79
2018-08-17,87.73
2018-08-24,88.78
2018-08-31,89.78
2018-09-07,89.26
2018-09-14,90.39
2018-09-21,91.26
2018-09-28,90.37
2018-10-05,89.29
2018-10-12,85.27
2018-10-19,84.83
2018-10-26,81.63
2018-11-02,83.95
2018-11-09,85.85
2018-11-16,84.19
2018-11-23,80.71
2018-11-30,84.3
2018-12-07,80.74
2018-12-14,79.7
2018-12-21,73.67
2018-12-28,75.97
2019-01-04,77.43
2019-01-11,79.31
2019-01-18,81.48
2019-01-25,81.32
2019-02-01,83.46
2019-02-08,83.79
2019-02-15,86.03
2019-02-22,86.75
2019-03-01,87.34
2019-03-08,85.83
2019-03-15,88.34
2019-03-22,87.12
2019-03-29,88.55
2019-04-05,90.31
2019-04-12,91.16
2019-04-19,90.94
2019-04-26,91.89
2019-05-03,91.67
2019-05-10,89.83
2019-05-17,89.26
2019-05-24,88.02
2019-05-31,85.86
2019-06-07,90.03
2019-06-14,90.37
2019-06-21,91.96
2019-06-28,91.47
2019-07-05,93.15
2019-07-12,93.68
2019-07-19,92.53
2019-07-26,94.1
2019-08-02,91.03
2019-08-09,90.65
2019-08-16,89.92
2019-08-23,88.51
2019-08-30,91.08
2019-09-06,93.02
2019-09-13,93.39
2019-09-20,92.72
2019-09-27,91.82
2019-10-04,91.8
2019-10-11,92.63
2019-10-18,93.02
2019-10-25,94.34
2019-11-01,95.4
2019-11-08,96.21
2019-11-15,97.46
2019-11-22,97.25
2019-11-29,98.65
2019-12-06,99.0
2019-12-13,99.71
2019-12-20,100.93
2019-12-27,101.3
2020-01-03,101.22
