date,value
2015-01-02,87.9
2015-01-09,87.07
2015-01-16,84.89
2015-01-23,86.78
2015-01-30,85.57
2015-02-06,88.097
2015-02-13,90.73
2015-02-20,91.39
2015-02-27,91.699
2015-03-06,90.32
2015-03-13,90.34
2015-03-20,92.5599
2015-03-27,90.81
2015-04-03,91.83
2015-04-10,92.798
2015-04-17,90.825
2015-04-24,92.469
2015-05-01,90.884
2015-05-08,91.21
2015-05-15,91.02
2015-05-22,91.83
2015-05-29,90.47
2015-06-05,91.25
2015-06-12,90.81
2015-06-19,92.35
2015-06-26,92.4
2015-07-03,91.251
2015-07-10,91.5458
2015-07-17,92.3332
2015-07-24,90.881
2015-07-31,92.39
2015-08-07,90.336
2015-08-14,90.66
2015-08-21,86.421
2015-08-28,87.24
2015-09-04,85.834
2015-09-11,86.965
2015-09-18,87.07
2015-09-25,85.41
2015-10-02,85.89
2015-10-09,88.64
2015-10-16,88.19
2015-10-23,88.43
2015-10-30,90.2501
2015-11-06,90.57
2015-11-13,85.03
2015-11-20,88.3
2015-11-27,88.94
2015-12-04,88.2
2015-12-11,84.62
2015-12-18,83.35
2015-12-25,85.23
2016-01-01,84.69
2016-01-08,79.54
2016-01-15,77.41
2016-01-22,79.05
2016-01-29,80.52
2016-02-05,77.53
2016-02-12,76.89
2016-02-19,80.47
2016-02-26,83.25
2016-03-04,85.77
2016-03-11,87.12
2016-03-18,88.0
2016-03-25,86.69
2016-04-01,88.955
2016-04-08,85.98
2016-04-15,87.68
2016-04-22,88.08
2016-04-29,86.47
2016-05-06,85.68
2016-05-13,82.96
2016-05-20,83.07
2016-05-27,85.34
2016-06-03,85.47
2016-06-10,84.66
2016-06-17,84.24
2016-06-24,82.0
2016-07-01,84.79
2016-07-08,86.62
2016-07-15,87.62
2016-07-22,88.6155
2016-07-29,89.26
2016-08-05,88.7748
2016-08-12,89.5352
2016-08-19,89.985
2016-08-26,88.84
2016-09-02,88.61
2016-09-09,86.0292
2016-09-16,85.9936
2016-09-23,86.954
2016-09-30,87.02
2016-10-07,87.1177
2016-10-14,86.08
2016-10-21,86.35
2016-10-28,85.16
2016-11-04,83.794
2016-11-11,87.98
2016-11-18,90.15
2016-11-25,92.04
2016-12-02,89.9
2016-12-09,93.49
2016-12-16,90.71
2016-12-23,89.51
2016-12-30,88.32
2017-01-06,89.69
2017-01-13,89.82
2017-01-20,89.64
2017-01-27,90.4
2017-02-03,89.66
2017-02-10,91.34
2017-02-17,91.6343
2017-02-24,91.97
2017-03-03,91.66
2017-03-10,91.5984
2017-03-17,92.43
2017-03-24,90.96
2017-03-31,92.9573
2017-04-07,91.3
2017-04-14,90.57
2017-04-21,92.1559
2017-04-28,93.6703
2017-05-05,93.75
2017-05-12,92.6265
2017-05-19,91.2267
2017-05-26,92.0639
2017-06-02,93.88
2017-06-09,92.7664
2017-06-16,92.1252
2017-06-23,91.58
2017-06-30,92.7
2017-07-07,91.445
2017-07-14,91.86
