date,value
2015-01-02,26.115
2015-01-09,26.96
2015-01-16,27.64
2015-01-23,27.86
2015-01-30,27.51
2015-02-06,27.2857
2015-02-13,27.26
2015-02-20,27.1001
2015-02-27,26.96
2015-03-06,26.02
2015-03-13,26.21
2015-03-20,27.5
2015-03-27,26.788
2015-04-03,26.9392
2015-04-10,26.7
2015-04-17,26.31
2015-04-24,26.63
2015-05-01,26.03
2015-05-08,26.09
2015-05-15,26.42
2015-05-22,25.995
2015-05-29,25.6499
2015-06-05,24.934
2015-06-12,25.1399
2015-06-19,25.47
2015-06-26,24.77
2015-07-03,24.666
2015-07-10,24.9972
2015-07-17,25.36
2015-07-24,25.12
2015-07-31,25.35
2015-08-07,25.32
2015-08-14,25.58
2015-08-21,25.02
2015-08-28,24.28
2015-09-04,23.23
2015-09-11,23.7
2015-09-18,24.306
2015-09-25,24.1
2015-10-02,24.4734
2015-10-09,25.11
2015-10-16,25.4999
2015-10-23,25.6999
2015-10-30,25.53
2015-11-06,24.91
2015-11-13,24.2978
2015-11-20,25.21
2015-11-27,25.2799
2015-12-04,25.12
2015-12-11,24.42
2015-12-18,25.04
2015-12-25,25.0962
2016-01-01,25.249
2016-01-08,24.16
2016-01-15,23.63
2016-01-22,23.9657
2016-01-29,24.321
2016-02-05,24.13
2016-02-12,23.25
2016-02-19,24.256
2016-02-26,24.56
2016-03-04,25.36
2016-03-11,25.89
2016-03-18,26.54
2016-03-25,25.76
2016-04-01,26.41
2016-04-08,26.2875
2016-04-15,26.55
2016-04-22,26.2
2016-04-29,26.3
2016-05-06,27.04
2016-05-13,26.61
2016-05-20,26.12
2016-05-27,26.48
2016-06-03,26.79
2016-06-10,26.74
2016-06-17,26.8999
2016-06-24,26.4199
2016-07-01,27.53
2016-07-08,27.77
2016-07-15,27.8765
2016-07-22,28.21
2016-07-29,28.66
2016-08-05,28.19
2016-08-12,28.18
2016-08-19,27.9
2016-08-26,27.74
2016-09-02,27.95
2016-09-09,27.05
2016-09-16,26.7627
2016-09-23,27.78
2016-09-30,27.22
2016-10-07,25.8282
2016-10-14,25.92
2016-10-21,25.98
2016-10-28,25.1468
2016-11-04,24.8
2016-11-11,24.45
2016-11-18,24.34
2016-11-25,24.64
2016-12-02,24.65
2016-12-09,25.46
2016-12-16,25.22
2016-12-23,24.69
2016-12-30,25.24
2017-01-06,25.68
2017-01-13,25.2413
2017-01-20,25.24
2017-01-27,25.11
2017-02-03,25.28
2017-02-10,25.59
2017-02-17,25.59
2017-02-24,26.01
2017-03-03,25.69
2017-03-10,24.74
2017-03-17,25.39
2017-03-24,25.21
2017-03-31,25.34
2017-04-07,25.5719
2017-04-14,25.83
2017-04-21,25.98
2017-04-28,25.46
2017-05-05,25.39
2017-05-12,25.18
2017-05-19,25.42
2017-05-26,25.48
2017-06-02,25.83
2017-06-09,25.75
2017-06-16,26.2
2017-06-23,25.79
2017-06-30,25.46
2017-07-07,25.11
2017-07-14,25.37
2017-07-21,25.77
2017-07-28,25.93
2017-08-04,25.89
2017-08-11,25.39
2017-08-18,25.55
2017-08-25,25.77
2017-09-01,25.96
2017-09-08,26.22
2017-09-15,26.27
2017-09-22,25.73
2017-09-29,25.59
2017-10-06,25.53
2017-10-13,25.96
2017-10-20,25.66
2017-10-27,25.27
2017-11-03,25.4423
2017-11-10,25.86
2017-11-17,25.96
2017-11-24,26.1
2017-12-01,26.1
2017-12-08,26.03
2017-12-15,26.39
2017-12-22,25.74
2017-12-29,26.09
2018-01-05,25.78
2018-01-12,25.28
2018-01-19,25.42
2018-01-26,25.85
2018-02-02,24.95
2018-02-09,23.96
2018-02-16,24.53
2018-02-23,24.49
2018-03-02,24.13
2018-03-09,24.69
2018-03-16,24.77
2018-03-23,23.75
2018-03-30,24.56
2018-04-06,24.465
2018-04-13,24.48
2018-04-20,24.3
2018-04-27,24.82
2018-05-04,25.0492
2018-05-11,25.35
2018-05-18,24.59
2018-05-25,25.15
2018-06-01,25.51
2018-06-08,25.78
2018-06-15,25.52
2018-06-22,25.6
2018-06-29,25.66
2018-07-06,26.09
2018-07-13,25.89
2018-07-20,25.65
2018-07-27,25.53
2018-08-03,26.13
2018-08-10,25.685
2018-08-17,26.34
2018-08-24,26.2
2018-08-31,26.3
2018-09-07,25.97
2018-09-14,26.05
2018-09-21,25.95
2018-09-28,25.22
2018-10-05,24.43
2018-10-12,24.0092
2018-10-19,24.47
2018-10-26,24.28
2018-11-02,24.32
2018-11-09,25.07
2018-11-16,25.09
2018-11-23,24.95
2018-11-30,25.29
2018-12-07,25.41
2018-12-14,25.0099
2018-12-21,23.42
2018-12-28,23.54
2019-01-04,23.64
2019-01-11,24.57
2019-01-18,24.96
2019-01-25,25.34
2019-02-01,25.97
2019-02-08,26.28
2019-02-15,26.31
2019-02-22,26.36
2019-03-01,26.03
2019-03-08,26.09
2019-03-15,26.57
