date,value
2015-01-02,59.92
2015-01-09,62.43
2015-01-16,64.57
2015-01-23,64.68
2015-01-30,63.734
2015-02-06,62.24
2015-02-13,62.12
2015-02-20,62.28
2015-02-27,61.27
2015-03-06,59.12
2015-03-13,60.61
2015-03-20,64.31
2015-03-27,62.03
2015-04-03,62.461
2015-04-10,60.77
2015-04-17,60.23
2015-04-24,61.33
2015-05-01,59.59
2015-05-08,60.08
2015-05-15,60.38
2015-05-22,59.57
2015-05-29,59.01
2015-06-05,57.3
2015-06-12,57.65
2015-06-19,58.89
2015-06-26,56.68
2015-07-03,57.32
2015-07-10,58.78
2015-07-17,58.93
2015-07-24,59.24
2015-07-31,60.0
2015-08-07,60.14
2015-08-14,61.12
2015-08-21,60.31
2015-08-28,58.27
2015-09-04,55.47
2015-09-11,56.55
2015-09-18,58.89
2015-09-25,58.8
2015-10-02,59.838
2015-10-09,60.97
2015-10-16,61.53
2015-10-23,61.93
2015-10-30,60.29
2015-11-06,58.63
2015-11-13,58.06
2015-11-20,60.79
2015-11-27,61.82
2015-12-04,61.57
2015-12-11,60.81
2015-12-18,62.35
2015-12-25,62.9
2016-01-01,63.45
2016-01-08,62.41
2016-01-15,61.36
2016-01-22,61.77
2016-01-29,61.44
2016-02-05,59.74
2016-02-12,56.31
2016-02-19,59.34
2016-02-26,60.6833
2016-03-04,62.64
2016-03-11,63.95
2016-03-18,65.58
2016-03-25,63.7
2016-04-01,65.91
2016-04-08,65.67
2016-04-15,64.69
2016-04-22,63.25
2016-04-29,62.67
2016-05-06,66.39
2016-05-13,65.78
2016-05-20,63.94
2016-05-27,64.97
2016-06-03,64.76
2016-06-10,63.87
2016-06-17,64.96
2016-06-24,64.29
2016-07-01,67.51
2016-07-08,68.29
2016-07-15,67.88
2016-07-22,69.04
2016-07-29,68.65
2016-08-05,67.12
2016-08-12,67.42
2016-08-19,66.05
2016-08-26,65.58
2016-09-02,66.67
2016-09-09,64.22
2016-09-16,64.0412
2016-09-23,67.2
2016-09-30,65.52
2016-10-07,61.72
2016-10-14,62.37
2016-10-21,62.58
2016-10-28,61.32
2016-11-04,60.66
2016-11-11,59.18
2016-11-18,58.48
2016-11-25,59.06
2016-12-02,59.23
2016-12-09,61.44
2016-12-16,61.7
2016-12-23,60.61
2016-12-30,62.01
2017-01-06,63.03
2017-01-13,61.23
2017-01-20,61.57
2017-01-27,60.84
2017-02-03,61.19
2017-02-10,62.13
2017-02-17,62.54
2017-02-24,64.39
2017-03-03,63.84
2017-03-10,61.34
2017-03-17,62.85
2017-03-24,63.07
2017-03-31,63.15
2017-04-07,64.17
2017-04-14,64.44
2017-04-21,65.27
2017-04-28,63.61
2017-05-05,63.31
2017-05-12,63.7448
2017-05-19,64.66
2017-05-26,64.5601
2017-06-02,65.55
2017-06-09,65.31
2017-06-16,66.81
2017-06-23,67.1901
2017-06-30,65.07
2017-07-07,64.02
2017-07-14,64.32
2017-07-21,65.32
2017-07-28,64.8714
2017-08-04,64.08
2017-08-11,63.42
2017-08-18,63.73
2017-08-25,64.8303
2017-09-01,65.22
2017-09-08,66.2214
2017-09-15,65.79
2017-09-22,64.23
2017-09-29,63.59
2017-10-06,63.35
2017-10-13,64.12
2017-10-20,63.5306
2017-10-27,62.93
2017-11-03,63.59
2017-11-10,64.54
2017-11-17,64.04
2017-11-24,64.53
2017-12-01,63.82
2017-12-08,63.5527
2017-12-15,64.24
2017-12-22,61.431
2017-12-29,62.24
2018-01-05,60.4
2018-01-12,58.0
2018-01-19,57.96
2018-01-26,58.86
2018-02-02,57.18
2018-02-09,55.58
2018-02-16,56.3928
2018-02-23,56.12
2018-03-02,55.1597
2018-03-09,57.1
2018-03-16,57.81
2018-03-23,55.0699
2018-03-30,57.65
2018-04-06,57.82
2018-04-13,57.14
2018-04-20,56.14
2018-04-27,58.18
2018-05-04,59.07
2018-05-11,60.02
2018-05-18,57.4627
2018-05-25,59.25
2018-06-01,60.83
2018-06-08,61.4549
2018-06-15,61.31
2018-06-22,62.65
2018-06-29,63.05
2018-07-06,64.2
2018-07-13,63.3
2018-07-20,62.55
2018-07-27,61.625
2018-08-03,63.75
2018-08-10,63.24
2018-08-17,65.59
2018-08-24,64.83
2018-08-31,65.26
2018-09-07,64.36
2018-09-14,64.27
2018-09-21,64.18
2018-09-28,62.89
2018-10-05,61.21
2018-10-12,59.92
2018-10-19,62.085
2018-10-26,62.07
2018-11-02,61.82
2018-11-09,64.65
2018-11-16,65.08
2018-11-23,65.2027
2018-11-30,66.93
2018-12-07,67.54
2018-12-14,66.2375
2018-12-21,63.12
2018-12-28,62.18
2019-01-04,61.33
2019-01-11,63.94
2019-01-18,65.67
2019-01-25,66.67
2019-02-01,68.2597
2019-02-08,69.6043
2019-02-15,69.64
2019-02-22,68.99
2019-03-01,68.34
2019-03-08,68.95
2019-03-15,70.37
2019-03-22,70.3
2019-03-29,70.7029
2019-04-05,70.7163
2019-04-12,70.89
2019-04-19,68.63
2019-04-26,69.82
2019-05-03,71.01
2019-05-10,70.73
2019-05-17,72.28
2019-05-24,73.16
2019-05-31,72.6
2019-06-07,74.08
2019-06-14,74.24
2019-06-21,74.17
2019-06-28,72.92
2019-07-05,74.7216
2019-07-12,75.46
2019-07-19,73.63
2019-07-26,74.1516
2019-08-02,75.23
2019-08-09,77.15
