date,value
2015-01-02,90.31
2015-01-09,88.448
2015-01-16,86.484
2015-01-23,88.524
2015-01-30,86.415
2015-02-06,88.83
2015-02-13,90.72
2015-02-20,92.43
2015-02-27,91.45
2015-03-06,89.51
2015-03-13,89.08
2015-03-20,91.32
2015-03-27,89.11
2015-04-03,89.25
2015-04-10,90.62
2015-04-17,89.0
2015-04-24,90.3
2015-05-01,89.934
2015-05-08,90.32
2015-05-15,91.35
2015-05-22,91.241
2015-05-29,89.4001
2015-06-05,89.2299
2015-06-12,89.5516
2015-06-19,89.34
2015-06-26,88.37
2015-07-03,86.92
2015-07-10,86.6296
2015-07-17,87.3439
2015-07-24,84.4286
2015-07-31,86.58
2015-08-07,85.73
2015-08-14,87.16
2015-08-21,82.75
2015-08-28,82.57
2015-09-04,80.776
2015-09-11,82.4
2015-09-18,81.7
2015-09-25,79.47
2015-10-02,79.68
2015-10-09,84.8199
2015-10-16,82.59
2015-10-23,85.02
2015-10-30,85.48
2015-11-06,86.092
2015-11-13,83.661
2015-11-20,86.5408
2015-11-27,86.67
2015-12-04,85.61
2015-12-11,81.93
2015-12-18,80.4903
2015-12-25,83.776
2016-01-01,82.96
2016-01-08,77.43
2016-01-15,75.3501
2016-01-22,75.96
2016-01-29,78.06
2016-02-05,77.53
2016-02-12,77.15
2016-02-19,80.13
2016-02-26,82.36
2016-03-04,84.58
2016-03-11,85.17
2016-03-18,87.58
2016-03-25,86.7065
2016-04-01,87.84
2016-04-08,86.124
2016-04-15,88.3089
2016-04-22,89.2
2016-04-29,88.52
2016-05-06,87.6715
2016-05-13,86.98
2016-05-20,87.678
2016-05-27,89.14
2016-06-03,89.4889
2016-06-10,89.796
2016-06-17,88.2299
2016-06-24,85.7384
2016-07-01,88.34
2016-07-08,89.892
2016-07-15,92.49
2016-07-22,92.49
2016-07-29,92.1721
2016-08-05,92.3601
2016-08-12,92.65
2016-08-19,93.73
2016-08-26,93.27
2016-09-02,94.01
2016-09-09,90.79
2016-09-16,90.1388
2016-09-23,91.5709
2016-09-30,93.22
2016-10-07,91.96
2016-10-14,90.8601
2016-10-21,90.927
2016-10-28,90.53
2016-11-04,89.4
2016-11-11,96.691
2016-11-18,97.5575
2016-11-25,99.8572
2016-12-02,99.92
2016-12-09,102.61
2016-12-16,100.21
2016-12-23,100.57
2016-12-30,99.13
2017-01-06,100.8
2017-01-13,101.39
2017-01-20,100.997
2017-01-27,103.4644
2017-02-03,102.4799
2017-02-10,104.3
2017-02-17,105.9
2017-02-24,105.64
2017-03-03,106.1303
2017-03-10,105.1
2017-03-17,105.3
2017-03-24,102.9201
2017-03-31,104.4
2017-04-07,103.88
2017-04-14,102.075
2017-04-21,104.31
2017-04-28,105.16
2017-05-05,106.05
2017-05-12,104.65
2017-05-19,104.71
2017-05-26,106.12
2017-06-02,107.63
2017-06-09,107.21
2017-06-16,107.78
2017-06-23,106.7372
2017-06-30,108.1
2017-07-07,108.78
2017-07-14,109.75
2017-07-21,108.8535
2017-07-28,108.13
2017-08-04,108.68
2017-08-11,106.37
