date,value
2015-01-02,57.17
2015-01-09,58.16
2015-01-16,60.73
2015-01-23,65.24
2015-01-30,62.47
2015-02-06,63.83
2015-02-13,66.25
2015-02-20,65.78
2015-02-27,64.36
2015-03-06,65.85
2015-03-13,67.79
2015-03-20,71.75
2015-03-27,71.55
2015-04-03,72.52
2015-04-10,74.82
2015-04-17,71.88
2015-04-24,65.7
2015-05-01,64.78
2015-05-08,65.62
2015-05-15,56.2
2015-05-22,57.08
2015-05-29,58.82
2015-06-05,59.66
2015-06-12,58.56
2015-06-19,57.56
2015-06-26,55.89
2015-07-03,55.31
2015-07-10,57.05
2015-07-17,57.34
2015-07-24,55.92
2015-07-31,57.95
2015-08-07,54.88
2015-08-14,55.85
2015-08-21,52.5
2015-08-28,52.47
2015-09-04,51.17
2015-09-11,51.48
2015-09-18,51.0
2015-09-25,50.52
2015-10-02,51.67
2015-10-09,54.3
2015-10-16,56.5
2015-10-23,56.25
2015-10-30,57.61
2015-11-06,58.36
2015-11-13,57.32
2015-11-20,59.12
2015-11-27,60.02
2015-12-04,57.8
2015-12-11,55.31
2015-12-18,54.0
2015-12-25,53.92
2016-01-01,53.69
2016-01-08,52.12
2016-01-15,53.29
2016-01-22,57.57
2016-01-29,56.7
2016-02-05,57.42
2016-02-12,57.88
2016-02-19,58.9
2016-02-26,57.74
2016-03-04,57.85
2016-03-11,60.36
2016-03-18,56.34
2016-03-25,55.47
2016-04-01,58.99
2016-04-08,58.58
2016-04-15,59.75
2016-04-22,60.72
2016-04-29,55.8
2016-05-06,56.48
2016-05-13,57.44
2016-05-20,57.62
2016-05-27,58.44
2016-06-03,59.54
2016-06-10,59.8
2016-06-17,58.36
2016-06-24,60.52
2016-07-01,63.53
2016-07-08,64.51
2016-07-15,64.8
2016-07-22,65.93
2016-07-29,68.88
2016-08-05,69.85
2016-08-12,70.42
2016-08-19,70.07
2016-08-26,69.03
2016-09-02,67.06
2016-09-09,65.45
2016-09-16,64.46
2016-09-23,63.25
2016-09-30,64.79
2016-10-07,63.93
2016-10-14,64.65
2016-10-21,63.72
2016-10-28,60.35
2016-11-04,57.42
2016-11-11,59.85
2016-11-18,58.53
2016-11-25,59.03
2016-12-02,59.52
2016-12-09,62.23
2016-12-16,62.53
2016-12-23,62.03
2016-12-30,62.05
2017-01-06,62.14
2017-01-13,65.33
2017-01-20,63.65
2017-01-27,68.14
2017-02-03,68.21
2017-02-10,70.23
2017-02-17,72.27
2017-02-24,71.96
2017-03-03,72.38
2017-03-10,71.44
2017-03-17,71.64
2017-03-24,71.57
2017-03-31,71.97
2017-04-07,69.03
2017-04-14,68.12
2017-04-21,69.84
2017-04-28,67.99
2017-05-05,69.39
2017-05-12,68.36
2017-05-19,68.4
2017-05-26,70.07
2017-06-02,71.96
2017-06-09,73.48
2017-06-16,77.1
2017-06-23,78.44
2017-06-30,77.87
2017-07-07,76.82
2017-07-14,77.59
2017-07-21,77.0
2017-07-28,77.39
2017-08-04,75.09
2017-08-11,72.56
2017-08-18,73.07
2017-08-25,74.2
2017-09-01,77.59
2017-09-08,79.84
2017-09-15,79.23
2017-09-22,77.38
2017-09-29,76.96
2017-10-06,77.25
2017-10-13,77.63
2017-10-20,79.0
2017-10-27,84.42
2017-11-03,83.12
2017-11-10,83.06
2017-11-17,84.63
2017-11-24,85.11
2017-12-01,84.25
2017-12-08,86.37
2017-12-15,85.29
2017-12-22,85.11
2017-12-29,84.69
2018-01-05,87.69
2018-01-12,87.78
2018-01-19,88.68
2018-01-26,102.8
2018-02-02,96.97
2018-02-09,91.05
2018-02-16,93.81
2018-02-23,95.42
2018-03-02,94.92
2018-03-09,99.68
2018-03-16,98.19
2018-03-23,95.47
2018-03-30,98.47
2018-04-06,93.62
2018-04-13,98.85
2018-04-20,98.8
2018-04-27,94.39
2018-05-04,97.72
2018-05-11,101.99
2018-05-18,101.63
2018-05-25,103.12
2018-06-01,103.56
2018-06-08,106.79
2018-06-15,105.8
2018-06-22,107.93
2018-06-29,103.58
2018-07-06,106.82
2018-07-13,109.12
2018-07-20,109.33
2018-07-27,106.48
2018-08-03,104.74
2018-08-10,107.78
2018-08-17,106.8
2018-08-24,108.9
2018-08-31,111.41
2018-09-07,112.04
