date,value
2015-01-02,79.47
2015-01-09,77.4
2015-01-16,76.25
2015-01-23,76.1
2015-01-30,73.86
2015-02-06,76.63
2015-02-13,81.63
2015-02-20,78.78
2015-02-27,78.28
2015-03-06,78.0
2015-03-13,81.05
2015-03-20,83.28
2015-03-27,80.37
2015-04-03,82.43
2015-04-10,81.1
2015-04-17,77.32
2015-04-24,79.96
2015-05-01,73.97
2015-05-08,71.58
2015-05-15,71.36
2015-05-22,72.43
2015-05-29,72.25
2015-06-05,71.62
2015-06-12,70.79
2015-06-19,70.64
2015-06-26,68.14
2015-07-03,64.96
2015-07-10,58.92
2015-07-17,55.13
2015-07-24,52.86
2015-07-31,55.97
2015-08-07,58.26
2015-08-14,59.1
2015-08-21,57.25
2015-08-28,54.97
2015-09-04,54.87
2015-09-11,54.67
2015-09-18,55.32
2015-09-25,52.1
2015-10-02,51.36
2015-10-09,52.83
2015-10-16,54.03
2015-10-23,52.51
2015-10-30,46.52
2015-11-06,52.26
2015-11-13,53.0
2015-11-20,56.6
2015-11-27,55.26
2015-12-04,54.85
2015-12-11,51.37
2015-12-18,50.0
2015-12-25,53.59
2016-01-01,51.57
2016-01-08,44.26
2016-01-15,44.97
2016-01-22,46.36
2016-01-29,47.47
2016-02-05,44.54
2016-02-12,44.55
2016-02-19,45.46
2016-02-26,51.5
2016-03-04,56.07
2016-03-11,60.5
2016-03-18,60.41
2016-03-25,59.45
2016-04-01,59.59
2016-04-08,57.52
2016-04-15,59.01
2016-04-22,58.9
2016-04-29,57.36
2016-05-06,63.21
2016-05-13,61.35
2016-05-20,62.45
2016-05-27,65.81
2016-06-03,66.03
2016-06-10,64.36
2016-06-17,62.01
2016-06-24,60.52
2016-07-01,61.33
2016-07-08,62.14
2016-07-15,66.38
2016-07-22,67.34
2016-07-29,68.44
2016-08-05,67.86
2016-08-12,55.77
2016-08-19,56.7
2016-08-26,56.22
2016-09-02,56.27
2016-09-09,55.64
2016-09-16,57.99
2016-09-23,60.76
2016-09-30,61.08
2016-10-07,59.65
2016-10-14,55.72
2016-10-21,55.71
2016-10-28,53.48
2016-11-04,67.57
2016-11-11,72.8
2016-11-18,70.83
2016-11-25,73.54
2016-12-02,72.72
2016-12-09,76.74
2016-12-16,76.79
2016-12-23,76.49
2016-12-30,76.81
2017-01-06,77.54
2017-01-13,81.71
2017-01-20,78.27
2017-01-27,80.47
2017-02-03,82.24
2017-02-10,80.05
2017-02-17,78.8
2017-02-24,84.3
2017-03-03,83.21
2017-03-10,82.27
2017-03-17,85.27
2017-03-24,83.48
2017-03-31,85.87
2017-04-07,82.26
2017-04-14,81.64
2017-04-21,85.46
2017-04-28,102.94
2017-05-05,106.94
2017-05-12,106.78
2017-05-19,107.03
2017-05-26,108.7
2017-06-02,111.59
2017-06-09,109.6
2017-06-16,106.18
2017-06-23,109.91
2017-06-30,108.62
2017-07-07,112.96
2017-07-14,111.5
2017-07-21,116.86
2017-07-28,115.55
2017-08-04,118.95
2017-08-11,118.48
2017-08-18,115.18
2017-08-25,116.28
2017-09-01,119.57
2017-09-08,119.71
2017-09-15,126.17
2017-09-22,127.02
2017-09-29,133.28
2017-10-06,136.96
2017-10-13,136.7
2017-10-20,139.08
2017-10-27,145.27
2017-11-03,152.64
2017-11-10,153.0
2017-11-17,158.4
2017-11-24,165.03
2017-12-01,158.17
2017-12-08,155.0
2017-12-15,160.86
2017-12-22,159.6
2017-12-29,161.92
2018-01-05,166.7
2018-01-12,171.61
2018-01-19,178.46
2018-01-26,171.93
2018-02-02,161.42
2018-02-09,146.7
2018-02-16,157.51
2018-02-23,160.53
2018-03-02,132.14
2018-03-09,138.35
2018-03-16,137.54
2018-03-23,121.89
2018-03-30,119.54
2018-04-06,113.07
2018-04-13,118.93
2018-04-20,118.56
2018-04-27,113.18
2018-05-04,112.94
2018-05-11,114.99
2018-05-18,119.08
2018-05-25,118.35
2018-06-01,115.17
2018-06-08,119.95
2018-06-15,122.41
2018-06-22,115.61
2018-06-29,111.46
2018-07-06,116.69
2018-07-13,117.38
2018-07-20,119.08
2018-07-27,121.88
2018-08-03,127.54
2018-08-10,129.68
2018-08-17,131.41
2018-08-24,135.19
2018-08-31,138.07
2018-09-07,137.87
