date,value
2015-01-02,79.5
2015-01-09,79.81
2015-01-16,78.34
2015-01-23,79.98
2015-01-30,78.51
2015-02-06,80.0499
2015-02-13,82.15
2015-02-20,83.34
2015-02-27,83.21
2015-03-06,81.91
2015-03-13,82.04
2015-03-20,85.17
2015-03-27,83.03
2015-04-03,82.92
2015-04-10,84.22
2015-04-17,83.21
2015-04-24,84.4
2015-05-01,83.19
2015-05-08,83.32
2015-05-15,83.69
2015-05-22,83.9098
2015-05-29,83.1
2015-06-05,82.8196
2015-06-12,82.52
2015-06-19,83.48
2015-06-26,82.893
2015-07-03,81.78
2015-07-10,81.96
2015-07-17,83.67
2015-07-24,82.61
2015-07-31,84.01
2015-08-07,82.94
2015-08-14,83.86
2015-08-21,79.17
2015-08-28,80.45
2015-09-04,78.2
2015-09-11,80.18
2015-09-18,80.35
2015-09-25,78.54
2015-10-02,79.01
2015-10-09,81.02
2015-10-16,81.38
2015-10-23,82.68
2015-10-30,82.96
2015-11-06,83.526
2015-11-13,79.93
2015-11-20,82.62
2015-11-27,83.13
2015-12-04,83.1
2015-12-11,80.2699
2015-12-18,79.52
2015-12-25,81.15
2016-01-01,80.7
2016-01-08,75.31
2016-01-15,73.11
2016-01-22,74.62
2016-01-29,74.83
2016-02-05,70.41
2016-02-12,70.22
2016-02-19,73.17
2016-02-26,75.11
2016-03-04,76.88
2016-03-11,77.63
2016-03-18,78.29
2016-03-25,77.97
2016-04-01,80.22
2016-04-08,79.28
2016-04-15,80.09
2016-04-22,79.93
2016-04-29,78.7
2016-05-06,78.98
2016-05-13,79.08
2016-05-20,79.45
2016-05-27,81.62
2016-06-03,81.52
2016-06-10,80.94
2016-06-17,79.7501
2016-06-24,78.48
2016-07-01,80.97
2016-07-08,82.71
2016-07-15,83.7
2016-07-22,84.61
2016-07-29,84.81
2016-08-05,84.95
2016-08-12,85.03
2016-08-19,84.95
2016-08-26,84.55
2016-09-02,84.87
2016-09-09,82.22
2016-09-16,82.93
2016-09-23,84.12
2016-09-30,84.2263
2016-10-07,83.34
2016-10-14,82.56
2016-10-21,83.26
2016-10-28,81.99
2016-11-04,80.54
2016-11-11,82.33
2016-11-18,83.55
2016-11-25,84.72
2016-12-02,82.41
2016-12-09,84.95
2016-12-16,84.48
2016-12-23,84.44
2016-12-30,83.57
2017-01-06,84.94
2017-01-13,85.19
2017-01-20,85.3983
2017-01-27,86.53
2017-02-03,86.7
2017-02-10,87.59
2017-02-17,88.35
2017-02-24,88.74
2017-03-03,89.12
2017-03-10,88.95
2017-03-17,89.76
2017-03-24,88.68
2017-03-31,89.68
2017-04-07,89.37
2017-04-14,88.11
2017-04-21,89.87
2017-04-28,91.42
2017-05-05,92.21
2017-05-12,92.33
2017-05-19,92.5
2017-05-26,94.24
2017-06-02,95.65
2017-06-09,94.89
2017-06-16,94.39
2017-06-23,95.5
2017-06-30,94.14
2017-07-07,94.65
2017-07-14,96.56
2017-07-21,97.78
2017-07-28,97.64
2017-08-04,97.04
2017-08-11,95.55
2017-08-18,95.44
2017-08-25,96.03
2017-09-01,98.3
2017-09-08,98.02
2017-09-15,98.97
2017-09-22,99.01
2017-09-29,100.02
2017-10-06,101.4
2017-10-13,101.84
2017-10-20,102.98
