date,value
2015-01-02,54.87
2015-01-09,53.29
2015-01-16,52.04
2015-01-23,52.91
2015-01-30,51.82
2015-02-06,54.73
2015-02-13,55.74
2015-02-20,55.97
2015-02-27,55.34
2015-03-06,54.3
2015-03-13,53.48
2015-03-20,54.54
2015-03-27,53.48
2015-04-03,54.12
2015-04-10,54.97
2015-04-17,54.91
2015-04-24,55.22
2015-05-01,55.7
2015-05-08,55.81
2015-05-15,55.5997
2015-05-22,55.9
2015-05-29,55.28
2015-06-05,55.1
2015-06-12,55.14
2015-06-19,54.84
2015-06-26,54.64
2015-07-03,53.88
2015-07-10,53.64
2015-07-17,53.89
2015-07-24,52.44
2015-07-31,52.8
2015-08-07,52.24
2015-08-14,53.1
2015-08-21,49.65
2015-08-28,49.91
2015-09-04,48.37
2015-09-11,49.38
2015-09-18,48.54
2015-09-25,48.14
2015-10-02,48.58
2015-10-09,50.95
2015-10-16,51.0
2015-10-23,51.48
2015-10-30,51.47
2015-11-06,52.52
2015-11-13,50.31
2015-11-20,51.58
2015-11-27,51.81
2015-12-04,51.44
2015-12-11,48.56
2015-12-18,47.9201
2015-12-25,50.01
2016-01-01,49.2
2016-01-08,45.84
2016-01-15,43.84
2016-01-22,44.15
2016-01-29,45.56
2016-02-05,45.13
2016-02-12,43.74
2016-02-19,45.24
2016-02-26,46.77
2016-03-04,49.62
2016-03-11,50.44
2016-03-18,51.06
2016-03-25,50.04
2016-04-01,50.43
2016-04-08,49.17
2016-04-15,50.88
2016-04-22,52.13
2016-04-29,51.92
2016-05-06,50.84
2016-05-13,49.75
2016-05-20,50.4
2016-05-27,51.7
2016-06-03,51.99
2016-06-10,51.4
2016-06-17,50.68
2016-06-24,49.63
2016-07-01,51.25
2016-07-08,51.58
2016-07-15,53.17
2016-07-22,53.31
2016-07-29,53.24
2016-08-05,53.08
2016-08-12,52.97
2016-08-19,53.23
2016-08-26,52.8999
2016-09-02,53.18
2016-09-09,52.05
2016-09-16,51.63
2016-09-23,52.54
2016-09-30,52.87
2016-10-07,52.67
2016-10-14,51.77
2016-10-21,52.23
2016-10-28,52.1
2016-11-04,51.28
2016-11-11,54.7
2016-11-18,56.0
2016-11-25,56.93
2016-12-02,57.17
2016-12-09,59.77
2016-12-16,58.46
2016-12-23,58.33
2016-12-30,57.59
2017-01-06,58.68
2017-01-13,58.41
2017-01-20,58.01
2017-01-27,58.41
2017-02-03,58.77
2017-02-10,59.47
2017-02-17,60.49
2017-02-24,60.88
2017-03-03,60.73
2017-03-10,59.95
2017-03-17,59.58
2017-03-24,58.07
2017-03-31,58.86
2017-04-07,58.48
2017-04-14,57.84
2017-04-21,58.16
2017-04-28,58.87
2017-05-05,58.95
2017-05-12,58.25
2017-05-19,57.8
2017-05-26,58.38
2017-06-02,59.03
2017-06-09,59.74
2017-06-16,59.52
2017-06-23,58.93
2017-06-30,59.5699
2017-07-07,59.83
2017-07-14,60.47
2017-07-21,60.8
2017-07-28,60.76
2017-08-04,60.88
2017-08-11,59.45
2017-08-18,58.86
2017-08-25,59.51
2017-09-01,60.01
2017-09-08,59.08
2017-09-15,60.11
2017-09-22,60.48
2017-09-29,61.52
2017-10-06,62.39
2017-10-13,62.25
2017-10-20,63.17
2017-10-27,62.61
2017-11-03,62.71
2017-11-10,62.44
2017-11-17,63.04
2017-11-24,63.1766
2017-12-01,65.23
2017-12-08,65.77
2017-12-15,65.42
2017-12-22,66.47
2017-12-29,66.29
2018-01-05,67.7
2018-01-12,70.19
2018-01-19,70.15
2018-01-26,71.1
2018-02-02,67.7
2018-02-09,64.39
2018-02-16,67.11
2018-02-23,67.29
2018-03-02,66.12
2018-03-09,68.25
2018-03-16,66.68
2018-03-23,62.96
2018-03-30,64.61
2018-04-06,64.18
2018-04-13,65.06
2018-04-20,65.9
2018-04-27,66.99
2018-05-04,65.21
2018-05-11,66.12
2018-05-18,66.89
2018-05-25,66.39
2018-06-01,66.5
2018-06-08,68.2
2018-06-15,67.57
2018-06-22,67.2
2018-06-29,65.73
2018-07-06,66.36
2018-07-13,66.63
2018-07-20,66.51
2018-07-27,67.62
2018-08-03,68.02
2018-08-10,68.04
2018-08-17,68.68
2018-08-24,69.45
2018-08-31,69.37
2018-09-07,68.9
2018-09-14,69.41
2018-09-21,70.36
2018-09-28,68.65
2018-10-05,68.46
2018-10-12,65.41
2018-10-19,65.62
2018-10-26,62.56
2018-11-02,65.53
2018-11-09,66.88
2018-11-16,65.01
2018-11-23,62.91
2018-11-30,65.16
2018-12-07,61.39
2018-12-14,59.55
2018-12-21,55.44
2018-12-28,56.49
2019-01-04,58.69
2019-01-11,60.74
2019-01-18,62.51
2019-01-25,62.5698
2019-02-01,63.1497
2019-02-08,62.52
2019-02-15,64.63
2019-02-22,65.09
2019-03-01,64.8
2019-03-08,62.58
2019-03-15,64.19
2019-03-22,62.1
2019-03-29,63.06
2019-04-05,65.19
2019-04-12,65.79
2019-04-19,65.7
2019-04-26,65.92
2019-05-03,66.0
2019-05-10,64.64
2019-05-17,63.62
2019-05-24,62.71
2019-05-31,60.15
2019-06-07,63.08
2019-06-14,63.54
2019-06-21,64.48
2019-06-28,65.0
2019-07-05,65.77
2019-07-12,66.21
2019-07-19,65.19
2019-07-26,66.15
2019-08-02,63.235
2019-08-09,62.31
2019-08-16,60.67
2019-08-23,59.94
2019-08-30,61.56
2019-09-06,63.46
2019-09-13,66.28
2019-09-20,65.39
2019-09-27,64.8
2019-10-04,63.17
2019-10-11,63.97
2019-10-18,64.79
2019-10-25,66.19
2019-11-01,66.66
2019-11-08,68.22
2019-11-15,68.26
2019-11-22,67.83
2019-11-29,68.01
2019-12-06,67.84
2019-12-13,68.45
2019-12-20,69.41
2019-12-27,69.0
2020-01-03,68.66
