date,value
2015-01-02,80.03
2015-01-09,79.25
2015-01-16,78.19
2015-01-23,79.44
2015-01-30,77.712
2015-02-06,80.31
2015-02-13,81.91
2015-02-20,82.61
2015-02-27,82.16
2015-03-06,80.78
2015-03-13,80.21
2015-03-20,82.15
2015-03-27,80.66
2015-04-03,81.2
2015-04-10,82.34
2015-04-17,81.57
2015-04-24,82.55
2015-05-01,82.21
2015-05-08,82.4
2015-05-15,82.68
2015-05-22,82.89
2015-05-29,81.97
2015-06-05,81.51
2015-06-12,81.52
2015-06-19,81.78
2015-06-26,81.35
2015-07-03,80.27
2015-07-10,80.19
2015-07-17,81.05
2015-07-24,79.34
2015-07-31,80.57
2015-08-07,79.77
2015-08-14,80.56
2015-08-21,76.38
2015-08-28,76.73
2015-09-04,74.35
2015-09-11,75.82
2015-09-18,75.37
2015-09-25,74.01
2015-10-02,74.62
2015-10-09,77.61
2015-10-16,77.7
2015-10-23,78.59
2015-10-30,78.7
2015-11-06,79.33
2015-11-13,76.34
2015-11-20,78.79
2015-11-27,79.08
2015-12-04,78.73
2015-12-11,75.62
2015-12-18,74.81
2015-12-25,77.41
2016-01-01,76.64
2016-01-08,72.0
2016-01-15,69.9
2016-01-22,70.95
2016-01-29,72.38
2016-02-05,70.73
2016-02-12,69.57
2016-02-19,71.9
2016-02-26,73.66
2016-03-04,76.41
2016-03-11,77.46
2016-03-18,78.32
2016-03-25,77.39
2016-04-01,78.84
2016-04-08,77.63
2016-04-15,79.19
2016-04-22,80.22
2016-04-29,79.51
2016-05-06,78.8
2016-05-13,78.16
2016-05-20,78.58
2016-05-27,80.56
2016-06-03,80.83
2016-06-10,80.61
2016-06-17,79.69
2016-06-24,78.18
2016-07-01,80.6
2016-07-08,81.6
2016-07-15,83.14
2016-07-22,83.7
2016-07-29,83.68
2016-08-05,83.73
2016-08-12,83.98
2016-08-19,84.44
2016-08-26,83.85
2016-09-02,84.21
2016-09-09,82.17
2016-09-16,81.97
2016-09-23,83.3
2016-09-30,83.59
2016-10-07,82.81
2016-10-14,81.69
2016-10-21,82.16
2016-10-28,81.42
2016-11-04,80.05
2016-11-11,83.67
2016-11-18,84.87
2016-11-25,86.32
2016-12-02,85.58
2016-12-09,88.51
2016-12-16,87.42
2016-12-23,87.47
2016-12-30,86.64
2017-01-06,88.18
2017-01-13,88.05
2017-01-20,87.97
2017-01-27,88.74
2017-02-03,88.96
2017-02-10,89.87
2017-02-17,90.9
2017-02-24,91.41
2017-03-03,91.66
2017-03-10,90.91
2017-03-17,91.06
2017-03-24,89.81
2017-03-31,90.82
2017-04-07,90.5
2017-04-14,89.55
2017-04-21,90.5
2017-04-28,91.42
2017-05-05,91.85
2017-05-12,91.14
2017-05-19,90.97
2017-05-26,92.01
2017-06-02,93.01
2017-06-09,92.88
2017-06-16,92.88
2017-06-23,92.68
2017-06-30,92.68
2017-07-07,92.5
2017-07-14,93.76
2017-07-21,94.31
2017-07-28,94.2
2017-08-04,93.86
2017-08-11,92.28
2017-08-18,91.58
2017-08-25,92.46
2017-09-01,93.6
2017-09-08,93.33
2017-09-15,94.37
2017-09-22,94.55
2017-09-29,95.54
2017-10-06,96.49
2017-10-13,96.54
2017-10-20,97.41
2017-10-27,96.87
2017-11-03,96.73
2017-11-10,96.9
2017-11-17,97.47
2017-11-24,97.99
2017-12-01,100.05
2017-12-08,100.51
2017-12-15,100.34
2017-12-22,101.07
2017-12-29,101.03
2018-01-05,103.14
2018-01-12,104.88
2018-01-19,105.44
2018-01-26,107.43
2018-02-02,103.05
2018-02-09,98.12
2018-02-16,102.18
2018-02-23,102.51
2018-03-02,100.41
2018-03-09,103.92
2018-03-16,102.44
2018-03-23,97.29
2018-03-30,99.48
2018-04-06,98.14
2018-04-13,99.65
2018-04-20,100.28
2018-04-27,100.77
2018-05-04,99.83
2018-05-11,101.72
2018-05-18,101.73
2018-05-25,101.95
2018-06-01,102.16
2018-06-08,104.02
2018-06-15,103.89
2018-06-22,103.24
2018-06-29,101.89
2018-07-06,103.34
2018-07-13,104.26
2018-07-20,104.16
2018-07-27,104.79
2018-08-03,105.32
2018-08-10,104.76
2018-08-17,105.79
2018-08-24,106.64
2018-08-31,107.11
2018-09-07,106.48
2018-09-14,107.74
2018-09-21,108.58
2018-09-28,106.81
2018-10-05,105.41
2018-10-12,100.64
2018-10-19,100.8
2018-10-26,96.59
2018-11-02,100.15
2018-11-09,102.17
2018-11-16,101.1
2018-11-23,98.35
2018-11-30,101.66
2018-12-07,97.34
2018-12-14,95.74
2018-12-21,89.01
2018-12-28,90.67
2019-01-04,92.66
2019-01-11,95.96
2019-01-18,98.79
2019-01-25,98.88
2019-02-01,100.62
2019-02-08,100.93
2019-02-15,103.82
2019-02-22,104.53
2019-03-01,104.75
2019-03-08,101.9
2019-03-15,104.41
2019-03-22,102.69
2019-03-29,104.44
2019-04-05,107.02
2019-04-12,107.77
2019-04-19,107.13
2019-04-26,107.84
2019-05-03,108.07
2019-05-10,105.99
2019-05-17,104.71
2019-05-24,103.52
2019-05-31,100.69
2019-06-07,105.56
2019-06-14,105.98
2019-06-21,107.93
2019-06-28,107.8
2019-07-05,109.3
2019-07-12,109.74
2019-07-19,108.48
2019-07-26,110.02
2019-08-02,106.46
2019-08-09,105.64
2019-08-16,104.09
2019-08-23,102.51
2019-08-30,105.16
2019-09-06,107.62
2019-09-13,109.69
2019-09-20,108.88
2019-09-27,107.57
2019-10-04,106.32
2019-10-11,107.07
2019-10-18,107.84
2019-10-25,109.43
2019-11-01,110.76
2019-11-08,111.81
2019-11-15,112.56
2019-11-22,112.0
2019-11-29,113.13
2019-12-06,113.31
2019-12-13,114.04
2019-12-20,115.93
2019-12-27,115.69
2020-01-03,115.39
