date,value
2015-01-02,83.88
2015-01-09,83.96
2015-01-16,82.4
2015-01-23,83.5944
2015-01-30,83.1099
2015-02-06,86.54
2015-02-13,90.31
2015-02-20,91.14
2015-02-27,90.53
2015-03-06,87.928
2015-03-13,86.69
2015-03-20,86.48
2015-03-27,85.16
2015-04-03,85.72
2015-04-10,86.75
2015-04-17,86.45
2015-04-24,87.85
2015-05-01,90.0
2015-05-08,90.728
2015-05-15,91.3
2015-05-22,90.6699
2015-05-29,89.1605
2015-06-05,88.43
2015-06-12,88.49
2015-06-19,88.67
2015-06-26,87.75
2015-07-03,86.0965
2015-07-10,84.6081
2015-07-17,84.58
2015-07-24,80.3618
2015-07-31,81.94
2015-08-07,81.51
2015-08-14,82.81
2015-08-21,78.575
2015-08-28,78.66
2015-09-04,76.5
2015-09-11,77.48
2015-09-18,75.98
2015-09-25,72.8334
2015-10-02,73.804
2015-10-09,79.18
2015-10-16,78.35
2015-10-23,80.02
2015-10-30,80.1399
2015-11-06,78.96
2015-11-13,76.99
2015-11-20,79.57
2015-11-27,79.9712
2015-12-04,80.35
2015-12-11,76.34
2015-12-18,74.588
2015-12-25,77.7898
2016-01-01,76.43
2016-01-08,70.1992
2016-01-15,66.89
2016-01-22,67.0345
2016-01-29,67.846
2016-02-05,70.722
2016-02-12,69.85
2016-02-19,71.72
2016-02-26,74.8987
2016-03-04,77.94
2016-03-11,79.05
2016-03-18,81.33
2016-03-25,79.3591
2016-04-01,80.919
2016-04-08,79.73
2016-04-15,82.61
2016-04-22,85.28
2016-04-29,85.25
2016-05-06,84.044
2016-05-13,83.22
2016-05-20,83.4801
2016-05-27,84.925
2016-06-03,85.96
2016-06-10,86.16
2016-06-17,85.0
2016-06-24,83.0
2016-07-01,84.06
2016-07-08,85.25
2016-07-15,88.9
2016-07-22,88.02
2016-07-29,88.0
2016-08-05,87.94
2016-08-12,87.4899
2016-08-19,88.05
2016-08-26,87.31
2016-09-02,88.48
2016-09-09,85.0828
2016-09-16,84.1
2016-09-23,85.8
2016-09-30,86.97
2016-10-07,84.3
2016-10-14,82.63
2016-10-21,84.36
2016-10-28,84.26
2016-11-04,84.525
2016-11-11,88.91
2016-11-18,89.07
2016-11-25,91.19
2016-12-02,91.43
2016-12-09,94.88
2016-12-16,92.11
2016-12-23,92.02
2016-12-30,91.0892
2017-01-06,93.31
2017-01-13,93.93
2017-01-20,94.37
2017-01-27,97.37
2017-02-03,96.2
2017-02-10,96.14
2017-02-17,95.862
2017-02-24,95.32
2017-03-03,96.07
2017-03-10,94.27
2017-03-17,95.08
2017-03-24,93.72
2017-03-31,95.63
2017-04-07,95.9
2017-04-14,93.49
2017-04-21,95.0
2017-04-28,96.675
2017-05-05,97.16
2017-05-12,95.32
2017-05-19,95.9056
2017-05-26,96.98
2017-06-02,97.77
2017-06-09,99.14
2017-06-16,97.5572
2017-06-23,98.03
2017-06-30,97.74
2017-07-07,98.33
2017-07-14,100.53
2017-07-21,100.91
2017-07-28,100.36
2017-08-04,100.3
2017-08-11,97.92
2017-08-18,97.97
2017-08-25,99.2606
2017-09-01,101.17
2017-09-08,100.66
2017-09-15,101.58
2017-09-22,102.73
2017-09-29,103.9
2017-10-06,105.46
2017-10-13,106.51
2017-10-20,107.46
2017-10-27,107.717
2017-11-03,107.7952
2017-11-10,106.54
2017-11-17,106.5144
2017-11-24,107.65
2017-12-01,108.58
2017-12-08,109.49
2017-12-15,109.6698
2017-12-22,111.8446
2017-12-29,112.74
2018-01-05,116.6604
2018-01-12,117.52
2018-01-19,116.4192
2018-01-26,118.23
2018-02-02,111.76
2018-02-09,107.26
2018-02-16,111.56
2018-02-23,113.24
2018-03-02,109.17
2018-03-09,112.73
2018-03-16,109.92
2018-03-23,104.61
2018-03-30,106.25
2018-04-06,105.06
2018-04-13,107.315
2018-04-20,109.61
2018-04-27,107.67
2018-05-04,107.9486
2018-05-11,109.265
2018-05-18,111.504
2018-05-25,110.28
2018-06-01,109.58
2018-06-08,112.353
2018-06-15,111.1083
2018-06-22,109.104
2018-06-29,108.07
2018-07-06,108.72
2018-07-13,108.775
2018-07-20,108.64
2018-07-27,109.6281
2018-08-03,110.6032
2018-08-10,109.0355
2018-08-17,107.8323
2018-08-24,108.6876
2018-08-31,108.9799
2018-09-07,108.19
2018-09-14,110.3099
2018-09-21,113.16
2018-09-28,108.62
2018-10-05,108.4876
2018-10-12,100.4249
2018-10-19,99.638
2018-10-26,95.886
2018-11-02,102.0324
2018-11-09,104.07
2018-11-16,105.11
2018-11-23,101.7
2018-11-30,103.71
2018-12-07,99.1639
2018-12-14,97.193
2018-12-21,91.7394
2018-12-28,93.56
2019-01-04,96.4497
2019-01-11,98.7867
2019-01-18,100.5423
2019-01-25,100.0801
2019-02-01,102.3272
2019-02-08,101.289
2019-02-15,103.9857
2019-02-22,106.6783
2019-03-01,105.78
2019-03-08,103.9317
2019-03-15,105.101
2019-03-22,102.8274
2019-03-29,105.4628
2019-04-05,109.26
2019-04-12,109.6098
2019-04-19,108.72
2019-04-26,107.6
2019-05-03,107.685
2019-05-10,104.56
2019-05-17,102.5958
2019-05-24,100.1973
2019-05-31,98.3413
2019-06-07,106.87
2019-06-14,107.28
2019-06-21,108.2101
2019-06-28,109.634
2019-07-05,110.434
2019-07-12,109.02
2019-07-19,109.7176
2019-07-26,110.9051
2019-08-02,108.62
2019-08-09,108.37
2019-08-16,105.3909
2019-08-23,101.3987
2019-08-30,105.2406
2019-09-06,106.43
2019-09-13,111.9428
2019-09-20,109.76
2019-09-27,108.18
2019-10-04,105.2918
2019-10-11,107.9306
2019-10-18,107.8734
2019-10-25,109.5739
2019-11-01,110.97
2019-11-08,113.34
2019-11-15,112.6083
2019-11-22,111.0567
2019-11-29,112.7782
2019-12-06,113.2104
2019-12-13,113.7467
2019-12-20,115.4859
2019-12-27,115.5947
2020-01-03,113.2265
