date,value
2015-01-02,84.76
2015-01-09,84.11
2015-01-16,83.76
2015-01-23,85.14
2015-01-30,84.51
2015-02-06,87.24
2015-02-13,89.58
2015-02-20,90.87
2015-02-27,91.26
2015-03-06,90.09
2015-03-13,89.93
2015-03-20,92.35
2015-03-27,90.47
2015-04-03,91.28
2015-04-10,92.455
2015-04-17,90.95
2015-04-24,93.58
2015-05-01,92.55
2015-05-08,93.2
2015-05-15,93.43
2015-05-22,93.63
2015-05-29,92.43
2015-06-05,92.0
2015-06-12,92.55
2015-06-19,93.26
2015-06-26,93.62
2015-07-03,91.87
2015-07-10,91.87
2015-07-17,93.25
2015-07-24,92.4
2015-07-31,93.76
2015-08-07,92.32
2015-08-14,91.69
2015-08-21,86.24
2015-08-28,87.68
2015-09-04,85.03
2015-09-11,87.37
2015-09-18,87.51
2015-09-25,85.66
2015-10-02,87.05
2015-10-09,90.08
2015-10-16,90.43
2015-10-23,92.06
2015-10-30,92.74
2015-11-06,92.55
2015-11-13,89.04
2015-11-20,92.32
2015-11-27,92.44
2015-12-04,92.51
2015-12-11,88.63
2015-12-18,88.69
2015-12-25,89.69
2016-01-01,89.02
2016-01-08,83.06
2016-01-15,80.845
2016-01-22,82.968
2016-01-29,83.97
2016-02-05,79.95
2016-02-12,78.64
2016-02-19,81.84
2016-02-26,83.15
2016-03-04,85.98
2016-03-11,86.58
2016-03-18,87.68
2016-03-25,86.57
2016-04-01,88.36
2016-04-08,86.61
2016-04-15,88.34
2016-04-22,88.88
2016-04-29,88.24
2016-05-06,87.72
2016-05-13,86.75
2016-05-20,86.5
2016-05-27,88.09
2016-06-03,88.22
2016-06-10,86.87
2016-06-17,86.21
2016-06-24,83.13
2016-07-01,85.23
2016-07-08,85.99
2016-07-15,87.83
2016-07-22,88.34
2016-07-29,89.45
2016-08-05,89.7
2016-08-12,90.66
2016-08-19,90.56
2016-08-26,89.65
2016-09-02,90.3893
2016-09-09,88.33
2016-09-16,87.54
2016-09-23,89.47
2016-09-30,89.35
2016-10-07,89.11
2016-10-14,88.4596
2016-10-21,88.96
2016-10-28,87.8316
2016-11-04,85.89
2016-11-11,87.75
2016-11-18,89.04
2016-11-25,90.7252
2016-12-02,89.47
2016-12-09,92.8
2016-12-16,91.93
2016-12-23,91.26
2016-12-30,90.16
2017-01-06,92.16
2017-01-13,92.91
2017-01-20,92.59
2017-01-27,93.51
2017-02-03,92.93
2017-02-10,93.61
2017-02-17,94.27
2017-02-24,94.63
2017-03-03,94.76
2017-03-10,95.01
2017-03-17,96.0166
2017-03-24,95.1319
2017-03-31,96.48
2017-04-07,95.49
2017-04-14,95.13
2017-04-21,96.64
2017-04-28,99.23
2017-05-05,99.8581
2017-05-12,99.46
2017-05-19,99.49
2017-05-26,100.23
2017-06-02,102.21
2017-06-09,99.91
2017-06-16,99.9938
2017-06-23,98.92
2017-06-30,98.97
2017-07-07,98.441
2017-07-14,99.81
2017-07-21,100.63
2017-07-28,100.94
2017-08-04,101.36
2017-08-11,99.65
2017-08-18,98.62
2017-08-25,99.05
2017-09-01,100.04
2017-09-08,100.05
2017-09-15,101.19
2017-09-22,101.52
2017-09-29,101.83
2017-10-06,103.07
2017-10-13,103.22
2017-10-20,102.98
2017-10-27,103.77
2017-11-03,104.32
2017-11-10,104.05
2017-11-17,104.8
2017-11-24,106.44
2017-12-01,107.48
2017-12-08,108.19
2017-12-15,108.8
2017-12-22,109.64
2017-12-29,109.39
2018-01-05,112.73
2018-01-12,115.4714
2018-01-19,116.6598
2018-01-26,119.68
2018-02-02,116.09
2018-02-09,110.6
2018-02-16,115.39
2018-02-23,115.52
2018-03-02,112.4
2018-03-09,114.53
2018-03-16,114.5396
2018-03-23,109.73
2018-03-30,111.48
2018-04-06,111.16
2018-04-13,113.06
2018-04-20,113.66
2018-04-27,114.4999
2018-05-04,114.548
2018-05-11,115.505
2018-05-18,115.37
2018-05-25,115.4
2018-06-01,115.15
2018-06-08,118.09
2018-06-15,119.6443
2018-06-22,117.15
2018-06-29,114.87
2018-07-06,115.5
2018-07-13,117.4577
2018-07-20,117.292
2018-07-27,116.8201
2018-08-03,116.77
2018-08-10,116.22
2018-08-17,115.9682
2018-08-24,117.87
2018-08-31,119.34
2018-09-07,117.01
2018-09-14,118.935
2018-09-21,120.3201
2018-09-28,120.13
2018-10-05,115.41
2018-10-12,110.82
2018-10-19,109.1889
2018-10-26,105.89
2018-11-02,110.13
2018-11-09,111.01
2018-11-16,107.95
2018-11-23,105.09
2018-11-30,108.98
2018-12-07,105.4
2018-12-14,104.4314
2018-12-21,96.81
2018-12-28,99.87
2019-01-04,102.74
2019-01-11,106.08
2019-01-18,108.09
2019-01-25,108.38
2019-02-01,108.75
2019-02-08,107.03
2019-02-15,109.78
2019-02-22,111.4082
2019-03-01,112.03
2019-03-08,109.06
2019-03-15,111.31
2019-03-22,111.49
2019-03-29,113.21
2019-04-05,116.9612
2019-04-12,118.32
2019-04-19,119.85
2019-04-26,120.22
2019-05-03,120.29
2019-05-10,116.8
2019-05-17,115.7
2019-05-24,113.4972
2019-05-31,111.01
2019-06-07,115.43
2019-06-14,117.2787
2019-06-21,118.24
2019-06-28,118.5131
2019-07-05,120.6
2019-07-12,122.234
2019-07-19,120.929
2019-07-26,121.81
2019-08-02,116.5678
2019-08-09,116.25
2019-08-16,113.73
2019-08-23,114.07
2019-08-30,117.2
2019-09-06,120.358
2019-09-13,121.8599
2019-09-20,119.87
2019-09-27,118.94
2019-10-04,117.9988
2019-10-11,120.38
2019-10-18,122.2631
2019-10-25,122.2433
2019-11-01,123.294
2019-11-08,123.49
2019-11-15,123.4132
2019-11-22,122.34
2019-11-29,123.59
2019-12-06,123.8042
2019-12-13,125.5184
2019-12-20,125.305
2019-12-27,126.46
2020-01-03,126.0303
