date,value
2015-01-02,142.92
2015-01-09,145.875
2015-01-16,145.34
2015-01-23,146.8
2015-01-30,143.85
2015-02-06,146.32
2015-02-13,148.64
2015-02-20,151.52
2015-02-27,151.78
2015-03-06,150.95
2015-03-13,152.22
2015-03-20,159.0
2015-03-27,155.8
2015-04-03,154.05
2015-04-10,158.8
2015-04-17,157.1
2015-04-24,159.62
2015-05-01,154.45
2015-05-08,155.72
2015-05-15,157.34
2015-05-22,159.62
2015-05-29,159.89
2015-06-05,158.97
2015-06-12,158.76
2015-06-19,162.02
2015-06-26,162.43
2015-07-03,160.63
2015-07-10,160.88
2015-07-17,164.05
2015-07-24,161.21
2015-07-31,163.58
2015-08-07,161.24
2015-08-14,161.25
2015-08-21,153.4
2015-08-28,154.4
2015-09-04,148.68
2015-09-11,151.43
2015-09-18,151.91
2015-09-25,143.12
2015-10-02,144.4
2015-10-09,144.94
2015-10-16,147.47
2015-10-23,145.1
2015-10-30,149.9
2015-11-06,151.31
2015-11-13,146.5
2015-11-20,150.78
2015-11-27,152.37
2015-12-04,151.775
2015-12-11,148.86
2015-12-18,149.42
2015-12-25,154.32
2016-01-01,153.49
2016-01-08,144.23
2016-01-15,141.16
2016-01-22,143.66
2016-01-29,140.83
2016-02-05,136.75
2016-02-12,135.05
2016-02-19,138.86
2016-02-26,142.4
2016-03-04,142.66
2016-03-11,145.38
2016-03-18,141.91
2016-03-25,142.22
2016-04-01,146.2
2016-04-08,147.04
2016-04-15,148.96
2016-04-22,152.59
2016-04-29,148.14
2016-05-06,146.4
2016-05-13,146.1
2016-05-20,147.72
2016-05-27,150.63
2016-06-03,152.93
2016-06-10,151.62
2016-06-17,148.28
2016-06-24,146.69
2016-07-01,151.95
2016-07-08,154.86
2016-07-15,156.08
2016-07-22,158.46
2016-07-29,159.69
2016-08-05,160.6
2016-08-12,160.67
2016-08-19,159.542
2016-08-26,156.34
2016-09-02,155.49
2016-09-09,152.57
2016-09-16,154.84
2016-09-23,157.48
2016-09-30,155.61
2016-10-07,154.65
2016-10-14,149.45
2016-10-21,150.34
2016-10-28,144.56
2016-11-04,142.6413
2016-11-11,148.24
2016-11-18,147.67
2016-11-25,147.55
2016-12-02,144.83
2016-12-09,146.44
2016-12-16,146.96
2016-12-23,147.143
2016-12-30,145.92
2017-01-06,150.43
2017-01-13,151.25
2017-01-20,149.11
2017-01-27,149.59
2017-02-03,153.51
2017-02-10,154.5247
