date,value
2015-01-02,34.94
2015-01-09,34.21
2015-01-16,33.31
2015-01-23,33.98
2015-01-30,33.46
2015-02-06,34.856
2015-02-13,35.3601
2015-02-20,35.74
2015-02-27,36.1401
2015-03-06,35.87
2015-03-13,35.97
2015-03-20,37.05
2015-03-27,36.2799
2015-04-03,36.438
2015-04-10,36.872
2015-04-17,36.75
2015-04-24,37.2
2015-05-01,36.75
2015-05-08,36.76
2015-05-15,36.8399
2015-05-22,37.1
2015-05-29,37.01
2015-06-05,37.368
2015-06-12,37.54
2015-06-19,37.692
2015-06-26,37.36
2015-07-03,36.6
2015-07-10,36.48
2015-07-17,36.66
2015-07-24,35.75
2015-07-31,36.132
2015-08-07,35.52
2015-08-14,35.89
2015-08-21,33.88
2015-08-28,34.27
2015-09-04,33.39
2015-09-11,33.79
2015-09-18,33.7401
2015-09-25,32.59
2015-10-02,32.66
2015-10-09,34.29
2015-10-16,34.06
2015-10-23,34.2
2015-10-30,33.89
2015-11-06,34.88
2015-11-13,33.19
2015-11-20,33.95
2015-11-27,34.46
2015-12-04,34.01
2015-12-11,32.43
2015-12-18,32.04
2015-12-25,32.82
2016-01-01,32.57
2016-01-08,29.91
2016-01-15,28.65
2016-01-22,29.23
2016-01-29,29.82
2016-02-05,28.705
2016-02-12,28.02
2016-02-19,29.1801
2016-02-26,30.1001
2016-03-04,31.55
2016-03-11,32.0
2016-03-18,32.43
2016-03-25,31.84
2016-04-01,32.66
2016-04-08,32.2
2016-04-15,32.97
2016-04-22,33.85
2016-04-29,33.42
2016-05-06,32.5
2016-05-13,32.01
2016-05-20,32.41
2016-05-27,33.31
2016-06-03,33.59
2016-06-10,33.2845
2016-06-17,32.87
2016-06-24,32.35
2016-07-01,33.41
2016-07-08,33.8785
2016-07-15,34.6915
2016-07-22,34.9795
2016-07-29,35.17
2016-08-05,35.4574
2016-08-12,35.5715
2016-08-19,36.119
2016-08-26,35.9703
2016-09-02,36.2606
2016-09-09,35.712
2016-09-16,35.5328
2016-09-23,36.06
2016-09-30,36.57
2016-10-07,36.54
2016-10-14,35.91
2016-10-21,36.2597
2016-10-28,35.18
2016-11-04,34.04
2016-11-11,36.4
2016-11-18,37.717
2016-11-25,38.43
2016-12-02,38.2099
2016-12-09,39.47
2016-12-16,39.1066
2016-12-23,38.805
2016-12-30,38.3903
2017-01-06,39.1628
2017-01-13,39.1286
2017-01-20,38.84
2017-01-27,39.36
2017-02-03,39.47
2017-02-10,39.769
2017-02-17,40.1204
2017-02-24,39.8372
2017-03-03,39.9497
2017-03-10,39.54
2017-03-17,39.9
2017-03-24,39.18
2017-03-31,40.209
2017-04-07,39.711
2017-04-14,39.1579
2017-04-21,39.54
2017-04-28,39.61
2017-05-05,39.69
2017-05-12,39.65
2017-05-19,39.76
2017-05-26,39.7935
2017-06-02,40.0604
2017-06-09,40.03
2017-06-16,39.64
2017-06-23,39.64
2017-06-30,40.3311
2017-07-07,39.68
2017-07-14,40.6344
2017-07-21,40.4052
2017-07-28,40.6166
2017-08-04,39.96
2017-08-11,38.819
2017-08-18,38.385
2017-08-25,38.95
2017-09-01,39.431
2017-09-08,38.88
2017-09-15,39.92
2017-09-22,40.48
2017-09-29,41.42
2017-10-06,41.95
2017-10-13,41.5038
2017-10-20,41.32
2017-10-27,41.17
2017-11-03,41.16
2017-11-10,41.462
2017-11-17,41.205
2017-11-24,41.86
2017-12-01,42.76
2017-12-08,42.5659
2017-12-15,42.58
2017-12-22,43.43
2017-12-29,43.5
2018-01-05,44.6399
2018-01-12,45.83
2018-01-19,45.5652
2018-01-26,46.48
2018-02-02,44.13
2018-02-09,41.83
2018-02-16,43.92
2018-02-23,44.01
2018-03-02,43.1596
2018-03-09,44.95
2018-03-16,44.77
2018-03-23,42.78
2018-03-30,43.27
2018-04-06,42.65
2018-04-13,43.98
2018-04-20,45.051
2018-04-27,44.9541
2018-05-04,45.19
2018-05-11,46.35
2018-05-18,46.911
2018-05-25,46.35
2018-06-01,46.95
2018-06-08,47.56
2018-06-15,47.5504
2018-06-22,47.89
2018-06-29,46.8
2018-07-06,47.8285
2018-07-13,47.89
2018-07-20,47.6204
2018-07-27,47.057
2018-08-03,47.2148
2018-08-10,48.0804
2018-08-17,48.144
2018-08-24,49.1446
2018-08-31,49.2382
2018-09-07,48.28
2018-09-14,48.788
2018-09-21,49.09
2018-09-28,48.4413
2018-10-05,47.5146
2018-10-12,44.9632
2018-10-19,44.67
2018-10-26,42.5
2018-11-02,44.0181
2018-11-09,44.68
2018-11-16,43.15
2018-11-23,42.0281
2018-11-30,43.19
2018-12-07,40.73
2018-12-14,39.2468
2018-12-21,35.572
2018-12-28,36.1869
2019-01-04,37.9
2019-01-11,40.0599
2019-01-18,41.1783
2019-01-25,41.005
2019-02-01,41.8
2019-02-08,41.5925
2019-02-15,43.55
2019-02-22,43.6127
2019-03-01,44.06
2019-03-08,42.3538
2019-03-15,43.69
2019-03-22,42.71
2019-03-29,43.72
2019-04-05,45.1301
2019-04-12,45.1839
2019-04-19,44.64
2019-04-26,45.2663
2019-05-03,45.5676
2019-05-10,44.7391
2019-05-17,44.0962
2019-05-24,43.1272
2019-05-31,41.5
2019-06-07,42.81
2019-06-14,42.9083
2019-06-21,44.16
2019-06-28,44.95
2019-07-05,45.1471
2019-07-12,45.02
2019-07-19,43.83
2019-07-26,44.5159
2019-08-02,42.59
2019-08-09,41.83
2019-08-16,41.1502
2019-08-23,40.17
2019-08-30,41.52
2019-09-06,41.93
2019-09-13,43.5607
2019-09-20,43.6152
2019-09-27,42.39
2019-10-04,41.9695
2019-10-11,42.3108
2019-10-18,42.3897
2019-10-25,43.2181
2019-11-01,43.7683
2019-11-08,44.2943
2019-11-15,44.3139
2019-11-22,44.2171
2019-11-29,45.3587
2019-12-06,45.8597
2019-12-13,46.44
2019-12-20,47.91
2019-12-27,47.9664
2020-01-03,48.0912
