date,value
2015-01-02,79.09
2015-01-09,78.37
2015-01-16,80.58
2015-01-23,81.17
2015-01-30,79.8
2015-02-06,78.6
2015-02-13,76.86
2015-02-20,77.4
2015-02-27,76.34
2015-03-06,73.56
2015-03-13,73.48
2015-03-20,75.66
2015-03-27,73.62
2015-04-03,74.82
2015-04-10,75.1
2015-04-17,73.98
2015-04-24,75.78
2015-05-01,74.63
2015-05-08,73.78
2015-05-15,74.1
2015-05-22,74.45
2015-05-29,74.26
2015-06-05,71.3
2015-06-12,71.11
2015-06-19,71.44
2015-06-26,69.98
2015-07-03,70.23
2015-07-10,71.016
2015-07-17,72.166
2015-07-24,70.0699
2015-07-31,72.61
2015-08-07,72.89
2015-08-14,74.7976
2015-08-21,73.37
2015-08-28,71.1225
2015-09-04,68.35
2015-09-11,69.75
2015-09-18,70.46
2015-09-25,70.64
2015-10-02,70.9499
2015-10-09,72.83
2015-10-16,74.32
2015-10-23,74.33
2015-10-30,73.3091
2015-11-06,71.15
2015-11-13,71.08
2015-11-20,72.49
2015-11-27,71.6401
2015-12-04,71.246
2015-12-11,69.9
2015-12-18,70.873
2015-12-25,72.8115
2016-01-01,72.35
2016-01-08,71.6699
2016-01-15,71.26
2016-01-22,72.191
2016-01-29,74.84
2016-02-05,76.92
2016-02-12,75.06
2016-02-19,76.36
2016-02-26,77.2
2016-03-04,79.319
2016-03-11,80.65
2016-03-18,81.272
2016-03-25,81.88
2016-04-01,83.34
2016-04-08,81.71
2016-04-15,82.185
2016-04-22,80.07
2016-04-29,81.7
2016-05-06,82.03
2016-05-13,82.69
2016-05-20,81.02
2016-05-27,82.17
2016-06-03,84.14
2016-06-10,84.45
2016-06-17,84.43
2016-06-24,84.23
2016-07-01,87.67
2016-07-08,87.72
2016-07-15,87.4
2016-07-22,88.34
2016-07-29,87.16
2016-08-05,84.54
2016-08-12,84.7
2016-08-19,83.33
2016-08-26,81.77
2016-09-02,82.37
2016-09-09,80.65
2016-09-16,81.37
2016-09-23,84.06
2016-09-30,81.08
2016-10-07,78.01
2016-10-14,78.6
2016-10-21,79.24
2016-10-28,79.96
2016-11-04,78.23
2016-11-11,76.18
2016-11-18,76.94
2016-11-25,78.71
2016-12-02,77.81
2016-12-09,80.14
2016-12-16,80.64
2016-12-23,81.0
2016-12-30,80.78
2017-01-06,81.86
2017-01-13,81.3
2017-01-20,81.67
2017-01-27,81.2184
2017-02-03,82.02
2017-02-10,82.28
2017-02-17,82.57
2017-02-24,85.48
2017-03-03,85.06
2017-03-10,84.01
2017-03-17,84.36
2017-03-24,85.0716
2017-03-31,84.16
2017-04-07,84.73
2017-04-14,85.26
2017-04-21,85.12
2017-04-28,85.07
2017-05-05,84.35
2017-05-12,84.25
2017-05-19,84.6014
2017-05-26,86.619
2017-06-02,88.54
2017-06-09,87.73
2017-06-16,88.2429
2017-06-23,86.628
2017-06-30,84.74
2017-07-07,83.8477
2017-07-14,85.23
2017-07-21,87.14
2017-07-28,87.4108
2017-08-04,88.1901
2017-08-11,88.09
2017-08-18,88.8828
2017-08-25,89.85
2017-09-01,89.3
2017-09-08,89.43
2017-09-15,88.48
2017-09-22,86.68
2017-09-29,86.17
2017-10-06,86.94
2017-10-13,88.09
2017-10-20,88.72
2017-10-27,88.33
2017-11-03,88.6
2017-11-10,88.9699
2017-11-17,89.43
2017-11-24,89.3328
2017-12-01,90.68
2017-12-08,89.536
2017-12-15,89.01
2017-12-22,85.56
2017-12-29,85.77
2018-01-05,84.27
2018-01-12,82.92
2018-01-19,82.49
2018-01-26,84.39
2018-02-02,82.05
2018-02-09,79.23
2018-02-16,82.21
2018-02-23,82.06
2018-03-02,80.435
2018-03-09,81.073
2018-03-16,82.38
2018-03-23,80.0
2018-03-30,82.572
2018-04-06,82.5
2018-04-13,81.6287
2018-04-20,82.28
2018-04-27,84.79
2018-05-04,84.77
2018-05-11,83.1
2018-05-18,80.75
2018-05-25,83.0298
2018-06-01,82.424
2018-06-08,80.2489
2018-06-15,81.48
2018-06-22,83.3
2018-06-29,85.28
2018-07-06,87.3988
