date,value
2015-01-02,63.08
2015-01-09,60.59
2015-01-16,59.4
2015-01-23,59.75
2015-01-30,58.22
2015-02-06,62.6164
2015-02-13,63.45
2015-02-20,63.25
2015-02-27,63.63
2015-03-06,62.67
2015-03-13,62.85
2015-03-20,63.71
2015-03-27,63.08
2015-04-03,64.54
2015-04-10,64.94
2015-04-17,64.73
2015-04-24,65.17
2015-05-01,64.85
2015-05-08,65.31
2015-05-15,65.384
2015-05-22,65.14
2015-05-29,64.11
2015-06-05,65.0901
2015-06-12,65.21
2015-06-19,65.5299
2015-06-26,65.52
2015-07-03,63.07
2015-07-10,62.2656
2015-07-17,62.08
2015-07-24,59.11
2015-07-31,59.67
2015-08-07,58.72
2015-08-14,59.22
2015-08-21,56.462
2015-08-28,56.91
2015-09-04,56.14
2015-09-11,55.8
2015-09-18,55.86
2015-09-25,54.7855
2015-10-02,54.09
2015-10-09,58.649
2015-10-16,58.34
2015-10-23,58.4688
2015-10-30,57.7301
2015-11-06,59.9599
2015-11-13,56.9
2015-11-20,57.82
2015-11-27,58.9866
2015-12-04,58.04
2015-12-11,54.56
2015-12-18,53.86
2015-12-25,56.85
2016-01-01,54.82
2016-01-08,49.11
2016-01-15,46.66
2016-01-22,47.56
2016-01-29,49.372
2016-02-05,48.83
2016-02-12,47.68
2016-02-19,49.6
2016-02-26,51.2689
2016-03-04,55.78
2016-03-11,56.61
2016-03-18,57.93
2016-03-25,56.04
2016-04-01,57.31
2016-04-08,55.21
2016-04-15,58.39
2016-04-22,60.55
2016-04-29,60.39
2016-05-06,57.57
2016-05-13,55.16
2016-05-20,55.49
2016-05-27,56.8601
2016-06-03,57.32
2016-06-10,57.61
2016-06-17,57.3
2016-06-24,56.19
2016-07-01,58.12
2016-07-08,58.99
2016-07-15,61.55
2016-07-22,60.755
2016-07-29,60.86
2016-08-05,61.3001
2016-08-12,60.937
2016-08-19,62.0485
2016-08-26,61.6
2016-09-02,62.07
2016-09-09,60.956
2016-09-16,59.7058
2016-09-23,61.41
2016-09-30,62.9188
2016-10-07,62.8399
2016-10-14,61.958
2016-10-21,62.43
2016-10-28,60.455
2016-11-04,59.53
2016-11-11,67.88
2016-11-18,69.693
2016-11-25,72.335
2016-12-02,71.54
2016-12-09,76.8728
2016-12-16,73.96
2016-12-23,73.96
2016-12-30,73.02
2017-01-06,73.21
2017-01-13,73.47
2017-01-20,71.86
2017-01-27,71.9
2017-02-03,71.26
2017-02-10,71.9
2017-02-17,71.93
2017-02-24,71.31
2017-03-03,70.66
2017-03-10,68.27
2017-03-17,69.22
2017-03-24,66.33
2017-03-31,68.54
2017-04-07,66.36
2017-04-14,65.48
2017-04-21,67.2
2017-04-28,67.96
2017-05-05,66.94
2017-05-12,65.8884
2017-05-19,64.58
2017-05-26,64.5003
2017-06-02,65.25
2017-06-09,66.51
2017-06-16,65.43
2017-06-23,65.289
2017-06-30,66.24
2017-07-07,65.47
2017-07-14,65.77
2017-07-21,65.8
2017-07-28,65.12
2017-08-04,64.11
2017-08-11,61.93
2017-08-18,60.6
2017-08-25,62.24
2017-09-01,63.99
2017-09-08,63.72
2017-09-15,65.89
2017-09-22,67.3
2017-09-29,70.15
2017-10-06,70.81
2017-10-13,69.83
2017-10-20,70.44
2017-10-27,70.97
2017-11-03,69.6
2017-11-10,69.24
2017-11-17,70.83
2017-11-24,72.23
2017-12-01,73.28
2017-12-08,72.9
2017-12-15,72.71
2017-12-22,73.52
2017-12-29,73.12
2018-01-05,73.66
2018-01-12,75.95
2018-01-19,75.99
2018-01-26,75.55
2018-02-02,70.84
2018-02-09,68.8901
2018-02-16,71.62
2018-02-23,71.48
2018-03-02,70.19
2018-03-09,72.18
2018-03-16,72.3
2018-03-23,69.34
2018-03-30,70.26
2018-04-06,70.7816
2018-04-13,72.29
2018-04-20,72.4172
2018-04-27,72.13
2018-05-04,72.309
2018-05-11,73.92
2018-05-18,75.6975
2018-05-25,76.0563
2018-06-01,76.8501
2018-06-08,79.7056
2018-06-15,79.25
2018-06-22,80.52
2018-06-29,77.33
2018-07-06,79.0461
2018-07-13,78.04
2018-07-20,78.62
2018-07-27,77.0
2018-08-03,77.494
2018-08-10,78.67
2018-08-17,79.498
2018-08-24,80.7272
2018-08-31,80.11
2018-09-07,78.9014
2018-09-14,79.08
2018-09-21,78.53
2018-09-28,76.95
2018-10-05,73.8134
2018-10-12,70.6852
2018-10-19,70.4002
2018-10-26,68.9284
2018-11-02,71.35
2018-11-09,70.08
2018-11-16,68.6
2018-11-23,66.658
2018-11-30,67.69
2018-12-07,63.31
2018-12-14,60.7962
2018-12-21,56.09
2018-12-28,57.56
2019-01-04,61.08
2019-01-11,64.94
2019-01-18,66.79
2019-01-25,66.88
2019-02-01,67.5388
2019-02-08,66.3903
2019-02-15,70.17
2019-02-22,71.3156
2019-03-01,69.9
2019-03-08,65.57
2019-03-15,65.91
2019-03-22,64.0534
2019-03-29,65.5513
2019-04-05,67.8743
