date,value
2015-01-02,15.27
2015-01-09,14.939
2015-01-16,15.25
2015-01-23,15.49
2015-01-30,15.26
2015-02-06,15.704
2015-02-13,15.7764
2015-02-20,15.81
2015-02-27,15.76
2015-03-06,15.95
2015-03-13,15.66
2015-03-20,15.45
2015-03-27,15.49
2015-04-03,15.85
2015-04-10,16.4799
2015-04-17,16.39
2015-04-24,16.45
2015-05-01,16.86
2015-05-08,16.94
2015-05-15,17.67
2015-05-22,17.52
2015-05-29,17.42
2015-06-05,17.11
2015-06-12,17.03
2015-06-19,17.16
2015-06-26,17.26
2015-07-03,17.18
2015-07-10,17.07
2015-07-17,17.56
2015-07-24,17.17
2015-07-31,16.87
2015-08-07,16.42
2015-08-14,16.6
2015-08-21,16.06
2015-08-28,16.08
2015-09-04,16.5
2015-09-11,16.59
2015-09-18,16.52
2015-09-25,16.35
2015-10-02,16.09
2015-10-09,16.57
2015-10-16,16.62
2015-10-23,16.26
2015-10-30,15.97
2015-11-06,15.62
2015-11-13,15.39
2015-11-20,14.92
2015-11-27,15.46
2015-12-04,15.6263
2015-12-11,14.9199
2015-12-18,14.6686
2015-12-25,15.17
2016-01-01,15.42
2016-01-08,15.36
2016-01-15,14.35
2016-01-22,14.3
2016-01-29,14.09
2016-02-05,14.12
2016-02-12,13.5
2016-02-19,13.79
2016-02-26,14.06
2016-03-04,14.3801
2016-03-11,14.31
2016-03-18,15.39
2016-03-25,15.62
2016-04-01,16.0
2016-04-08,16.51
2016-04-15,16.22
2016-04-22,16.17
2016-04-29,16.6
2016-05-06,16.051
2016-05-13,16.25
2016-05-20,16.15
2016-05-27,16.6
2016-06-03,16.45
2016-06-10,16.37
2016-06-17,16.88
2016-06-24,16.83
2016-07-01,16.9
2016-07-08,17.19
2016-07-15,17.09
2016-07-22,17.72
2016-07-29,17.16
2016-08-05,17.1
2016-08-12,17.62
2016-08-19,17.96
2016-08-26,18.022
2016-09-02,18.11
2016-09-09,18.31
2016-09-16,17.94
2016-09-23,18.08
2016-09-30,17.85
2016-10-07,17.85
2016-10-14,18.25
2016-10-21,18.3
2016-10-28,18.35
2016-11-04,17.87
2016-11-11,18.9
2016-11-18,19.705
2016-11-25,19.97
2016-12-02,19.25
2016-12-09,18.12
2016-12-16,19.47
2016-12-23,20.0
2016-12-30,20.61
2017-01-06,20.7
2017-01-13,20.35
2017-01-20,19.97
2017-01-27,20.75
2017-02-03,21.3106
2017-02-10,22.65
2017-02-17,22.86
2017-02-24,22.85
2017-03-03,23.41
2017-03-10,23.6
2017-03-17,22.4
2017-03-24,22.55
2017-03-31,21.68
2017-04-07,21.32
2017-04-14,21.04
2017-04-21,21.39
2017-04-28,21.82
2017-05-05,21.85
2017-05-12,22.43
2017-05-19,21.25
2017-05-26,21.78
2017-06-02,22.4
2017-06-09,22.41
2017-06-16,21.2
2017-06-23,20.74
2017-06-30,20.89
2017-07-07,21.6
2017-07-14,21.05
2017-07-21,20.41
2017-07-28,20.65
2017-08-04,21.33
2017-08-11,20.54
2017-08-18,20.55
2017-08-25,20.49
2017-09-01,21.64
2017-09-08,21.8
2017-09-15,21.21
2017-09-22,21.47
2017-09-29,21.52
2017-10-06,20.99
2017-10-13,22.27
2017-10-20,22.43
2017-10-27,22.37
2017-11-03,22.36
2017-11-10,22.58
2017-11-17,21.54
2017-11-24,22.39
2017-12-01,22.45
2017-12-08,22.42
2017-12-15,22.25
2017-12-22,22.06
2017-12-29,22.37
2018-01-05,22.12
2018-01-12,22.43
2018-01-19,22.43
2018-01-26,21.8
2018-02-02,20.69
2018-02-09,19.72
2018-02-16,20.51
2018-02-23,20.34
2018-03-02,21.07
2018-03-09,22.33
2018-03-16,20.76
2018-03-23,20.94
2018-03-30,20.81
2018-04-06,20.35
2018-04-13,20.4
2018-04-20,20.33
2018-04-27,20.41
2018-05-04,20.67
2018-05-11,21.23
2018-05-18,21.81
2018-05-25,22.94
2018-06-01,23.05
2018-06-08,23.55
2018-06-15,24.68
2018-06-22,24.28
2018-06-29,27.69
2018-07-06,27.48
2018-07-13,24.45
2018-07-20,24.64
2018-07-27,24.15
2018-08-03,24.03
2018-08-10,24.22
2018-08-17,23.77
2018-08-24,24.13
2018-08-31,24.85
2018-09-07,23.95
2018-09-14,23.95
2018-09-21,23.39
2018-09-28,23.08
2018-10-05,23.35
2018-10-12,23.26
2018-10-19,22.57
2018-10-26,21.11
2018-11-02,21.11
2018-11-09,21.52
2018-11-16,21.09
2018-11-23,20.64
2018-11-30,22.06
2018-12-07,22.85
2018-12-14,22.04
2018-12-21,18.96
2018-12-28,20.22
2019-01-04,21.26
2019-01-11,21.99
2019-01-18,22.09
2019-01-25,22.65
2019-02-01,22.92
2019-02-08,23.1
2019-02-15,23.08
2019-02-22,23.4
2019-03-01,23.12
2019-03-08,22.98
2019-03-15,22.7
2019-03-22,22.34
2019-03-29,22.28
