date,value
2015-01-02,7.52
2015-01-09,9.22
2015-01-16,10.5
2015-01-23,10.59
2015-01-30,11.14
2015-02-06,10.58
2015-02-13,10.85
2015-02-20,9.95
2015-02-27,10.59
2015-03-06,8.55
2015-03-13,8.35
2015-03-20,9.05
2015-03-27,9.1
2015-04-03,8.76
2015-04-10,9.01
2015-04-17,9.38
2015-04-24,8.64
2015-05-01,9.27
2015-05-08,7.85
2015-05-15,7.82
2015-05-22,7.31
2015-05-29,7.1
2015-06-05,6.41
2015-06-12,6.37
2015-06-19,6.33
2015-06-26,6.46
2015-07-03,6.61
2015-07-10,6.68
2015-07-17,6.15
2015-07-24,5.88
2015-07-31,5.35
2015-08-07,4.47
2015-08-14,4.41
2015-08-21,5.08
2015-08-28,4.69
2015-09-04,4.86
2015-09-11,5.86
2015-09-18,5.33
2015-09-25,4.87
2015-10-02,4.99
2015-10-09,6.58
2015-10-16,7.06
2015-10-23,7.02
2015-10-30,6.53
2015-11-06,5.41
2015-11-13,5.22
2015-11-20,5.07
2015-11-27,5.19
2015-12-04,5.81
2015-12-11,6.19
2015-12-18,5.9
2015-12-25,6.43
2016-01-01,6.09
2016-01-08,6.56
2016-01-15,7.78
2016-01-22,8.2
2016-01-29,8.86
2016-02-05,11.37
2016-02-12,12.88
2016-02-19,11.85
2016-02-26,13.52
2016-03-04,13.93
2016-03-11,14.26
2016-03-18,14.98
2016-03-25,14.62
2016-04-01,15.16
2016-04-08,14.93
2016-04-15,15.28
2016-04-22,14.4
2016-04-29,15.4
2016-05-06,15.12
2016-05-13,13.8
2016-05-20,12.35
2016-05-27,11.53
2016-06-03,12.89
2016-06-10,12.59
2016-06-17,12.16
2016-06-24,13.11
2016-07-01,14.29
2016-07-08,15.74
2016-07-15,17.08
2016-07-22,17.47
2016-07-29,18.65
2016-08-05,19.94
2016-08-12,20.1
2016-08-19,19.72
2016-08-26,16.82
2016-09-02,16.27
2016-09-09,14.84
2016-09-16,13.74
2016-09-23,14.19
2016-09-30,14.13
2016-10-07,11.32
2016-10-14,11.46
2016-10-21,12.36
2016-10-28,10.99
2016-11-04,11.67
2016-11-11,9.44
2016-11-18,9.36
2016-11-25,8.67
2016-12-02,8.47
2016-12-09,7.1
2016-12-16,6.61
2016-12-23,6.69
2016-12-30,7.06
2017-01-06,7.77
2017-01-13,8.06
2017-01-20,8.22
2017-01-27,8.56
2017-02-03,8.86
2017-02-10,8.94
2017-02-17,8.64
2017-02-24,8.54
2017-03-03,7.9
2017-03-10,7.53
2017-03-17,8.42
2017-03-24,8.81
2017-03-31,8.81
2017-04-07,9.65
2017-04-14,10.56
2017-04-21,8.99
2017-04-28,8.01
2017-05-05,7.59
2017-05-12,8.71
2017-05-19,5.51
2017-05-26,5.52
2017-06-02,4.85
2017-06-09,5.23
2017-06-16,4.8
2017-06-23,5.09
2017-06-30,4.63
2017-07-07,4.53
2017-07-14,4.87
2017-07-21,4.78
2017-07-28,5.08
2017-08-04,5.53
2017-08-11,5.88
2017-08-18,5.77
2017-08-25,6.17
2017-09-01,6.46
2017-09-08,5.84
2017-09-15,5.52
2017-09-22,4.69
2017-09-29,4.46
2017-10-06,4.7
2017-10-13,4.78
2017-10-20,4.85
2017-10-27,5.04
2017-11-03,5.51
2017-11-10,5.58
2017-11-17,5.33
2017-11-24,5.51
2017-12-01,5.51
2017-12-08,5.03
2017-12-15,4.85
2017-12-22,4.87
2017-12-29,5.05
2018-01-05,5.32
2018-01-12,5.48
2018-01-19,5.06
2018-01-26,5.01
2018-02-02,4.46
2018-02-09,4.05
2018-02-16,4.65
2018-02-23,4.12
2018-03-02,3.92
2018-03-09,4.2
2018-03-16,3.88
2018-03-23,3.91
2018-03-30,3.99
2018-04-06,3.99
2018-04-13,3.68
2018-04-20,3.71
2018-04-27,3.57
2018-05-04,3.45
2018-05-11,2.97
2018-05-18,2.8
2018-05-25,2.46
2018-06-01,2.62
2018-06-08,2.91
2018-06-15,2.67
2018-06-22,2.89
2018-06-29,2.42
2018-07-06,2.35
2018-07-13,2.27
2018-07-20,2.18
2018-07-27,2.33
2018-08-03,2.65
2018-08-10,2.55
2018-08-17,2.1
2018-08-24,2.31
2018-08-31,2.36
2018-09-07,2.52
2018-09-14,2.44
2018-09-21,2.52
2018-09-28,2.49
2018-10-05,2.7
2018-10-12,3.22
2018-10-19,3.17
2018-10-26,2.86
2018-11-02,2.55
2018-11-09,2.38
2018-11-16,2.67
2018-11-23,2.6
2018-11-30,2.44
2018-12-07,2.79
2018-12-14,2.8
2018-12-21,2.35
2018-12-28,2.64
2019-01-04,3.04
2019-01-11,3.04
2019-01-18,2.88
2019-01-25,3.03
2019-02-01,3.68
2019-02-08,4.3
2019-02-15,4.07
2019-02-22,4.28
2019-03-01,4.24
2019-03-08,4.04
2019-03-15,4.12
2019-03-22,4.57
2019-03-29,4.13
2019-04-05,4.6
2019-04-12,3.86
2019-04-19,4.01
2019-04-26,4.05
2019-05-03,3.62
2019-05-10,3.6
2019-05-17,3.23
2019-05-24,3.25
2019-05-31,3.87
2019-06-07,4.05
2019-06-14,4.18
2019-06-21,4.55
2019-06-28,4.75
2019-07-05,4.45
2019-07-12,4.76
2019-07-19,5.18
2019-07-26,5.09
2019-08-02,5.01
2019-08-09,5.34
2019-08-16,5.15
2019-08-23,5.38
2019-08-30,5.64
2019-09-06,4.99
2019-09-13,4.54
2019-09-20,5.19
2019-09-27,5.56
2019-10-04,6.36
2019-10-11,6.27
2019-10-18,6.91
2019-10-25,7.12
2019-11-01,7.58
2019-11-08,7.04
2019-11-15,7.56
2019-11-22,7.45
2019-11-29,7.96
2019-12-06,8.24
2019-12-13,9.2
2019-12-20,9.14
2019-12-27,9.73
2020-01-03,10.06
