date,value
2015-01-02,81.44
2015-01-09,79.79
2015-01-16,80.61
2015-01-23,88.22
2015-01-30,87.53
2015-02-06,89.0
2015-02-13,91.58
2015-02-20,93.51
2015-02-27,93.485
2015-03-06,92.215
2015-03-13,93.29
2015-03-20,97.46
2015-03-27,95.07
2015-04-03,94.39
2015-04-10,48.17
2015-04-17,47.62
2015-04-24,51.84
2015-05-01,50.29
2015-05-08,49.78
2015-05-15,50.8
2015-05-22,51.48
2015-05-29,51.96
2015-06-05,52.19
2015-06-12,52.63
2015-06-19,53.93
2015-06-26,54.62
2015-07-03,54.24
2015-07-10,54.57
2015-07-17,55.69
2015-07-24,57.29
2015-07-31,57.93
2015-08-07,57.2
2015-08-14,57.1
2015-08-21,52.84
2015-08-28,55.63
2015-09-04,54.28
2015-09-11,56.53
2015-09-18,56.84
2015-09-25,57.99
2015-10-02,58.08
2015-10-09,60.07
2015-10-16,59.93
2015-10-23,62.61
2015-10-30,62.57
2015-11-06,61.97
2015-11-13,59.74
2015-11-20,61.99
2015-11-27,62.18
2015-12-04,61.75
2015-12-11,59.82
2015-12-18,58.62
2015-12-25,60.32
2016-01-01,60.03
2016-01-08,56.63
2016-01-15,58.0
2016-01-22,59.17
2016-01-29,60.77
2016-02-05,54.49
2016-02-12,55.86
2016-02-19,57.67
2016-02-26,58.34
2016-03-04,58.7
2016-03-11,57.59
2016-03-18,59.7
2016-03-25,58.36
2016-04-01,61.02
2016-04-08,61.04
2016-04-15,60.51
2016-04-22,57.68
2016-04-29,56.23
2016-05-06,56.31
2016-05-13,55.82
2016-05-20,54.62
2016-05-27,55.15
2016-06-03,54.61
2016-06-10,54.865
2016-06-17,55.31
2016-06-24,54.68
2016-07-01,56.99
2016-07-08,56.51
2016-07-15,57.41
2016-07-22,57.9
2016-07-29,58.05
2016-08-05,55.9
2016-08-12,55.47
2016-08-19,54.94
2016-08-26,57.29
2016-09-02,56.18
2016-09-09,54.35
2016-09-16,53.74
2016-09-23,54.43
2016-09-30,54.14
2016-10-07,53.46
2016-10-14,53.08
2016-10-21,53.63
2016-10-28,53.53
2016-11-04,52.75
2016-11-11,53.93
2016-11-18,55.77
2016-11-25,57.43
2016-12-02,57.21
2016-12-09,58.75
2016-12-16,57.66
2016-12-23,57.01
2016-12-30,55.52
2017-01-06,57.13
2017-01-13,57.85
2017-01-20,57.66
2017-01-27,56.12
2017-02-03,55.06
2017-02-10,56.22
2017-02-17,57.35
2017-02-24,57.48
2017-03-03,57.1
2017-03-10,54.53
2017-03-17,55.78
2017-03-24,56.81
2017-03-31,58.39
2017-04-07,58.02
2017-04-14,57.51
2017-04-21,60.61
2017-04-28,60.06
2017-05-05,60.95
2017-05-12,59.93
2017-05-19,61.36
2017-05-26,63.3
2017-06-02,64.57
2017-06-09,62.19
2017-06-16,60.14
2017-06-23,59.81
2017-06-30,58.31
2017-07-07,58.04
2017-07-14,58.76
2017-07-21,57.98
2017-07-28,54.0
2017-08-04,55.44
2017-08-11,53.18
2017-08-18,52.7
2017-08-25,54.36
2017-09-01,54.93
2017-09-08,53.49
2017-09-15,54.67
2017-09-22,55.09
2017-09-29,53.71
2017-10-06,55.17
2017-10-13,55.72
2017-10-20,54.57
2017-10-27,54.88
2017-11-03,56.03
2017-11-10,57.04
2017-11-17,56.93
2017-11-24,56.8
2017-12-01,57.32
2017-12-08,58.61
2017-12-15,58.29
2017-12-22,57.3
2017-12-29,57.43
2018-01-05,59.61
2018-01-12,60.4
2018-01-19,61.26
2018-01-26,57.99
2018-02-02,55.77
2018-02-09,54.58
2018-02-16,56.48
2018-02-23,56.14
2018-03-02,56.93
2018-03-09,58.46
2018-03-16,59.0
2018-03-23,56.31
2018-03-30,57.89
2018-04-06,58.34
2018-04-13,59.24
2018-04-20,58.0
2018-04-27,58.36
2018-05-04,57.68
2018-05-11,57.27
2018-05-18,57.16
2018-05-25,57.92
2018-06-01,56.91
2018-06-08,56.6
2018-06-15,57.11
2018-06-22,51.24
2018-06-29,48.85
2018-07-06,48.98
2018-07-13,51.62
2018-07-20,50.91
2018-07-27,52.15
2018-08-03,52.23
2018-08-10,51.51
2018-08-17,53.56
2018-08-24,52.75
2018-08-31,53.45
2018-09-07,54.86
2018-09-14,54.75
2018-09-21,57.45
2018-09-28,56.84
2018-10-05,55.76
2018-10-12,56.45
2018-10-19,58.66
2018-10-26,58.07
2018-11-02,64.32
2018-11-09,68.6
2018-11-16,68.16
2018-11-23,65.7
2018-11-30,66.72
2018-12-07,65.47
2018-12-14,65.34
2018-12-21,61.39
2018-12-28,63.39
2019-01-04,63.57
2019-01-11,63.73
2019-01-18,64.7
2019-01-25,67.09
2019-02-01,68.11
2019-02-08,69.75
2019-02-15,70.71
2019-02-22,71.3
2019-03-01,70.85
2019-03-08,69.36
2019-03-15,70.67
2019-03-22,71.96
2019-03-29,74.34
2019-04-05,75.03
2019-04-12,76.65
2019-04-19,76.06
2019-04-26,77.45
2019-05-03,78.05
2019-05-10,78.42
2019-05-17,78.91
2019-05-24,76.15
2019-05-31,76.06
2019-06-07,82.48
2019-06-14,84.24
2019-06-21,83.82
2019-06-28,83.83
2019-07-05,87.79
2019-07-12,89.77
2019-07-19,90.3
2019-07-26,99.11
2019-08-02,95.51
2019-08-09,96.3
2019-08-16,96.52
2019-08-23,94.7
2019-08-30,96.56
2019-09-06,95.74
2019-09-13,90.48
2019-09-20,90.07
2019-09-27,88.37
2019-10-04,85.92
2019-10-11,86.36
2019-10-18,86.03
2019-10-25,83.38
2019-11-01,83.21
2019-11-08,81.77
2019-11-15,84.21
2019-11-22,83.02
2019-11-29,85.43
2019-12-06,86.32
2019-12-13,88.67
2019-12-20,88.46
2019-12-27,88.13
2020-01-03,88.83
