date,value
2015-01-02,51.66
2015-01-09,51.32
2015-01-16,52.4176
2015-01-23,52.73
2015-01-30,53.4099
2015-02-06,53.405
2015-02-13,54.06
2015-02-20,55.6659
2015-02-27,55.974
2015-03-06,55.45
2015-03-13,56.2
2015-03-20,57.4506
2015-03-27,57.1392
2015-04-03,57.47
2015-04-10,58.95
2015-04-17,58.65
2015-04-24,59.43
2015-05-01,58.1
2015-05-08,58.91
2015-05-15,59.59
2015-05-22,60.19
2015-05-29,58.45
2015-06-05,58.893
2015-06-12,59.16
2015-06-19,59.46
2015-06-26,60.01
2015-07-03,59.6999
2015-07-10,57.47
2015-07-17,59.0939
2015-07-24,58.47
2015-07-31,58.85
2015-08-07,59.2698
2015-08-14,59.94
2015-08-21,55.6401
2015-08-28,56.825
2015-09-04,53.71
2015-09-11,54.71
2015-09-18,54.18
2015-09-25,54.78
2015-10-02,55.79
2015-10-09,57.04
2015-10-16,57.72
2015-10-23,58.7
2015-10-30,57.77
2015-11-06,57.74
2015-11-13,57.69
2015-11-20,59.37
2015-11-27,59.36
2015-12-04,59.49
2015-12-11,57.68
2015-12-18,58.09
2015-12-25,57.68
2016-01-01,58.45
2016-01-08,55.69
2016-01-15,54.46
2016-01-22,54.27
2016-01-29,56.15
2016-02-05,53.95
2016-02-12,51.76
2016-02-19,53.47
2016-02-26,54.9
2016-03-04,56.67
2016-03-11,57.17
2016-03-18,57.68
2016-03-25,57.5
2016-04-01,56.74
2016-04-08,57.94
2016-04-15,59.37
2016-04-22,60.51
2016-04-29,58.22
2016-05-06,58.86
2016-05-13,59.31
2016-05-20,59.56
2016-05-27,59.9925
2016-06-03,61.11
2016-06-10,60.93
2016-06-17,58.95
2016-06-24,58.5
2016-07-01,60.21
2016-07-08,60.569
2016-07-15,60.34
2016-07-22,60.55
2016-07-29,62.49
2016-08-05,61.4
2016-08-12,62.61
2016-08-19,61.4992
2016-08-26,61.57
2016-09-02,61.3299
2016-09-09,61.84
2016-09-16,61.26
2016-09-23,64.37
2016-09-30,64.5999
2016-10-07,63.96
2016-10-14,63.579
2016-10-21,65.07
2016-10-28,65.13
2016-11-04,64.65
2016-11-11,62.88
2016-11-18,62.65
2016-11-25,62.04
2016-12-02,62.05
2016-12-09,63.29
2016-12-16,62.34
2016-12-23,61.44
2016-12-30,61.57
2017-01-06,63.46
2017-01-13,63.84
2017-01-20,63.17
2017-01-27,63.41
2017-02-03,64.47
2017-02-10,64.65
2017-02-17,65.3
2017-02-24,65.88
2017-03-03,65.61
2017-03-10,65.81
2017-03-17,66.81
2017-03-24,67.03
2017-03-31,66.33
2017-04-07,65.58
2017-04-14,65.17
2017-04-21,66.52
2017-04-28,67.28
2017-05-05,68.42
2017-05-12,68.04
2017-05-19,69.21
2017-05-26,69.29
2017-06-02,71.27
2017-06-09,70.54
2017-06-16,70.64
2017-06-23,70.41
2017-06-30,69.81
2017-07-07,68.6866
2017-07-14,69.77
2017-07-21,71.37
2017-07-28,71.62
2017-08-04,72.49
2017-08-11,71.84
2017-08-18,72.05
2017-08-25,72.69
2017-09-01,73.11
2017-09-08,73.37
2017-09-15,73.43
2017-09-22,72.84
2017-09-29,74.18
2017-10-06,73.8225
2017-10-13,75.85
2017-10-20,74.85
2017-10-27,76.31
2017-11-03,77.22
2017-11-10,76.93
2017-11-17,76.88
2017-11-24,79.33
2017-12-01,78.5
2017-12-08,78.63
2017-12-15,79.75
2017-12-22,79.49
2017-12-29,79.79
2018-01-05,81.6
2018-01-12,83.53
2018-01-19,83.49
2018-01-26,85.22
2018-02-02,82.88
2018-02-09,77.48
2018-02-16,80.62
2018-02-23,82.16
2018-03-02,80.21
2018-03-09,81.03
2018-03-16,81.3501
2018-03-23,78.11
2018-03-30,81.89
2018-04-06,80.77
2018-04-13,80.82
2018-04-20,81.53
2018-04-27,81.62
2018-05-04,81.65
2018-05-11,82.57
2018-05-18,82.15
2018-05-25,81.46
2018-06-01,81.03
2018-06-08,81.74
2018-06-15,80.83
2018-06-22,79.19
2018-06-29,77.99
2018-07-06,75.97
2018-07-13,75.92
2018-07-20,76.59
2018-07-27,78.98
2018-08-03,77.36
2018-08-10,75.93
2018-08-17,74.39
2018-08-24,75.12
2018-08-31,76.59
2018-09-07,74.42
2018-09-14,75.24
2018-09-21,77.66
2018-09-28,78.0
2018-10-05,76.19
2018-10-12,73.58
2018-10-19,73.19
2018-10-26,68.99
2018-11-02,71.07
2018-11-09,71.72
2018-11-16,70.71
2018-11-23,69.94
2018-11-30,72.46
2018-12-07,69.46
2018-12-14,68.26
2018-12-21,62.69
2018-12-28,65.41
2019-01-04,67.41
2019-01-11,67.16
2019-01-18,69.17
2019-01-25,68.82
2019-02-01,69.18
2019-02-08,67.95
2019-02-15,70.35
2019-02-22,70.34
2019-03-01,70.49
2019-03-08,68.78
2019-03-15,69.64
2019-03-22,70.04
2019-03-29,70.69
2019-04-05,71.2719
2019-04-12,70.73
2019-04-19,70.77
2019-04-26,71.02
2019-05-03,71.7328
2019-05-10,69.21
2019-05-17,68.6852
2019-05-24,68.77
2019-05-31,67.57
2019-06-07,69.71
2019-06-14,69.1388
2019-06-21,68.49
2019-06-28,68.46
2019-07-05,70.37
2019-07-12,69.73
2019-07-19,69.14
2019-07-26,69.3373
2019-08-02,68.17
2019-08-09,67.5
2019-08-16,67.69
2019-08-23,67.0587
2019-08-30,68.61
2019-09-06,69.08
2019-09-13,70.87
2019-09-20,71.66
2019-09-27,71.331
2019-10-04,72.12
2019-10-11,72.81
2019-10-18,72.9
2019-10-25,74.38
2019-11-01,75.46
2019-11-08,75.7485
2019-11-15,75.9117
2019-11-22,75.75
2019-11-29,75.8358
2019-12-06,77.515
2019-12-13,76.63
2019-12-20,74.8
2019-12-27,74.74
2020-01-03,74.15
