date,value
2016-04-22,48.4
2016-04-29,47.98
2016-05-06,47.35
2016-05-13,47.4668
2016-05-20,46.96
2016-05-27,48.14
2016-06-03,48.4799
2016-06-10,48.29
2016-06-17,47.3199
2016-06-24,46.4
2016-07-01,47.72
2016-07-08,48.08
2016-07-15,49.0599
2016-07-22,49.41
2016-07-29,49.63
2016-08-05,49.6
2016-08-12,50.2499
2016-08-19,50.29
2016-08-26,50.39
2016-09-02,50.18
2016-09-09,49.32
2016-09-16,49.0696
2016-09-23,50.4168
2016-09-30,50.02
2016-10-07,49.0
2016-10-14,48.63
2016-10-21,48.57
2016-10-28,48.06
2016-11-04,46.98
2016-11-11,47.6999
2016-11-18,47.0249
2016-11-25,47.36
2016-12-02,47.22
2016-12-09,47.2499
2016-12-16,47.5
2016-12-23,47.319
2016-12-30,47.719
2017-01-06,48.89
2017-01-13,49.16
2017-01-20,48.4699
2017-01-27,49.1709
2017-02-03,49.7486
2017-02-10,49.95
2017-02-17,50.42
2017-02-24,49.9908
2017-03-03,50.07
2017-03-10,49.8676
2017-03-17,51.32
2017-03-24,51.58
2017-03-31,51.5928
2017-04-07,51.4526
2017-04-14,51.37
2017-04-21,51.5998
2017-04-28,52.6592
2017-05-05,54.03
2017-05-12,53.81
2017-05-19,53.85
2017-05-26,54.56
2017-06-02,55.65
2017-06-09,55.34
2017-06-16,55.61
2017-06-23,55.96
2017-06-30,55.5
2017-07-07,54.36
2017-07-14,54.82
2017-07-21,55.36
2017-07-28,55.46
2017-08-04,55.4761
2017-08-11,54.7876
2017-08-18,54.89
2017-08-25,55.46
2017-09-01,56.3448
2017-09-08,56.925
2017-09-15,57.56
2017-09-22,57.88
2017-09-29,57.91
2017-10-06,58.47
2017-10-13,59.315
2017-10-20,58.92
2017-10-27,58.34
2017-11-03,58.3
2017-11-10,57.5
2017-11-17,57.8599
2017-11-24,57.92
2017-12-01,58.2
2017-12-08,58.595
2017-12-15,58.83
2017-12-22,58.6105
2017-12-29,59.17
2018-01-05,60.68
2018-01-12,60.95
2018-01-19,61.7148
2018-01-26,62.47
2018-02-02,60.5
2018-02-09,58.18
2018-02-16,60.2
2018-02-23,59.78
2018-03-02,58.3648
2018-03-09,60.05
2018-03-16,59.94
2018-03-23,57.77
2018-03-30,58.87
2018-04-06,58.58
2018-04-13,58.97
2018-04-20,58.68
2018-04-27,58.9
2018-05-04,58.75
2018-05-11,59.82
2018-05-18,59.65
2018-05-25,59.2127
2018-06-01,59.36
2018-06-08,59.66
2018-06-15,59.46
2018-06-22,57.5081
2018-06-29,56.67
2018-07-06,57.45
2018-07-13,57.65
2018-07-20,57.905
2018-07-27,58.449
2018-08-03,58.1
2018-08-10,57.22
2018-08-17,57.42
2018-08-24,57.79
2018-08-31,58.4287
2018-09-07,56.8828
2018-09-14,57.5001
2018-09-21,58.95
2018-09-28,58.298
2018-10-05,56.19
2018-10-12,54.43
2018-10-19,54.74
2018-10-26,52.84
2018-11-02,54.4
2018-11-09,55.76
2018-11-16,55.9999
2018-11-23,55.05
2018-11-30,56.16
2018-12-07,54.6216
2018-12-14,54.67
2018-12-21,51.9001
2018-12-28,52.83
2019-01-04,53.9301
2019-01-11,55.34
2019-01-18,56.24
2019-01-25,56.2429
2019-02-01,57.1089
2019-02-08,56.34
2019-02-15,57.816
2019-02-22,58.3174
2019-03-01,58.09
2019-03-08,56.71
2019-03-15,58.6001
2019-03-22,58.29
2019-03-29,58.999
2019-04-05,60.2789
2019-04-12,60.09
2019-04-19,59.88
2019-04-26,59.2116
2019-05-03,59.4
2019-05-10,57.46
2019-05-17,56.68
2019-05-24,56.47
2019-05-31,55.3
2019-06-07,57.36
2019-06-14,57.6001
2019-06-21,58.22
2019-06-28,57.6801
2019-07-05,58.215
2019-07-12,57.8502
2019-07-19,58.0
2019-07-26,57.88
2019-08-02,56.7006
2019-08-09,56.48
2019-08-16,55.94
2019-08-23,55.81
2019-08-30,57.18
2019-09-06,58.68
2019-09-13,59.77
2019-09-20,59.29
2019-09-27,58.566
2019-10-04,58.2823
2019-10-11,59.17
2019-10-18,59.5226
2019-10-25,61.0
2019-11-01,62.08
2019-11-08,62.72
2019-11-15,63.0611
2019-11-22,62.0104
2019-11-29,62.59
2019-12-06,63.408
2019-12-13,64.35
2019-12-20,64.87
2019-12-27,65.3781
2020-01-03,65.42
