date,value
2015-01-02,110.23
2015-01-09,110.25
2015-01-16,110.27
2015-01-23,110.27
2015-01-30,110.26
2015-02-06,110.27
2015-02-13,110.27
2015-02-20,110.28
2015-02-27,110.28
2015-03-06,110.27
2015-03-13,110.27
2015-03-20,110.26
2015-03-27,110.26
2015-04-03,110.26
2015-04-10,110.28
2015-04-17,110.28
2015-04-24,110.27
2015-05-01,110.27
2015-05-08,110.29
2015-05-15,110.2825
2015-05-22,110.28
2015-05-29,110.28
2015-06-05,110.27
2015-06-12,110.28
2015-06-19,110.28
2015-06-26,110.27
2015-07-03,110.29
2015-07-10,110.29
2015-07-17,110.3
2015-07-24,110.29
2015-07-31,110.27
2015-08-07,110.275
2015-08-14,110.26
2015-08-21,110.27
2015-08-28,110.27
2015-09-04,110.29
2015-09-11,110.26
2015-09-18,110.3
2015-09-25,110.32
2015-10-02,110.32
2015-10-09,110.32
2015-10-16,110.31
2015-10-23,110.29
2015-10-30,110.27
2015-11-06,110.22
2015-11-13,110.22
2015-11-20,110.23
2015-11-27,110.25
2015-12-04,110.23
2015-12-11,110.19
2015-12-18,110.2
2015-12-25,110.215
2016-01-01,110.22
2016-01-08,110.23
2016-01-15,110.26
2016-01-22,110.29
2016-01-29,110.3
2016-02-05,110.29
2016-02-12,110.32
2016-02-19,110.32
2016-02-26,110.31
2016-03-04,110.29
2016-03-11,110.3
2016-03-18,110.32
2016-03-25,110.345
2016-04-01,110.33
2016-04-08,110.38
2016-04-15,110.37
2016-04-22,110.4
2016-04-29,110.4
2016-05-06,110.41
2016-05-13,110.38
2016-05-20,110.37
2016-05-27,110.36
2016-06-03,110.35
2016-06-10,110.39
2016-06-17,110.41
2016-06-24,110.44
2016-07-01,110.44
2016-07-08,110.41
2016-07-15,110.4
2016-07-22,110.39
2016-07-29,110.42
2016-08-05,110.38
2016-08-12,110.39
2016-08-19,110.41
2016-08-26,110.39
2016-09-02,110.34
2016-09-09,110.37
2016-09-16,110.38
2016-09-23,110.44
2016-09-30,110.43
2016-10-07,110.39
2016-10-14,110.4
2016-10-21,110.4
2016-10-28,110.41
2016-11-04,110.41
2016-11-11,110.33
2016-11-18,110.34
2016-11-25,110.37
2016-12-02,110.35
2016-12-09,110.31
2016-12-16,110.36
2016-12-23,110.3
2016-12-30,110.3
2017-01-06,110.34
2017-01-13,110.36
2017-01-20,110.37
2017-01-27,110.36
2017-02-03,110.34
2017-02-10,110.36
2017-02-17,110.36
2017-02-24,110.39
2017-03-03,110.29
2017-03-10,110.28
2017-03-17,110.28
2017-03-24,110.28
2017-03-31,110.34
2017-04-07,110.25
2017-04-14,110.3
2017-04-21,110.29
2017-04-28,110.29
2017-05-05,110.24
2017-05-12,110.26
2017-05-19,110.3
2017-05-26,110.3
2017-06-02,110.27
2017-06-09,110.25
2017-06-16,110.29
2017-06-23,110.32
2017-06-30,110.33
2017-07-07,110.28
2017-07-14,110.34
2017-07-21,110.33
2017-07-28,110.36
2017-08-04,110.32
2017-08-11,110.33
2017-08-18,110.38
2017-08-25,110.39
2017-09-01,110.3
2017-09-08,110.34
2017-09-15,110.35
2017-09-22,110.36
2017-09-29,110.395
2017-10-06,110.295
2017-10-13,110.34
2017-10-20,110.36
2017-10-27,110.34
2017-11-03,110.28
2017-11-10,110.28
2017-11-17,110.29
2017-11-24,110.32
2017-12-01,110.25
2017-12-08,110.28
2017-12-15,110.28
2017-12-22,110.2
2017-12-29,110.24
2018-01-05,110.25
2018-01-12,110.26
2018-01-19,110.29
2018-01-26,110.33
2018-02-02,110.25
2018-02-09,110.25
2018-02-16,110.27
2018-02-23,110.29
2018-03-02,110.2
2018-03-09,110.25
2018-03-16,110.27
2018-03-23,110.31
2018-03-30,110.37
2018-04-06,110.27
2018-04-13,110.3
2018-04-20,110.32
2018-04-27,110.36
2018-05-04,110.27
2018-05-11,110.3
2018-05-18,110.33
2018-05-25,110.39
2018-06-01,110.27
2018-06-08,110.3
2018-06-15,110.34
2018-06-22,110.39
2018-06-29,110.44
2018-07-06,110.32
2018-07-13,110.35
2018-07-20,110.38
2018-07-27,110.41
2018-08-03,110.31
2018-08-10,110.35
2018-08-17,110.39
2018-08-24,110.42
2018-08-31,110.46
2018-09-07,110.33
2018-09-14,110.35
2018-09-21,110.39
2018-09-28,110.44
2018-10-05,110.3
2018-10-12,110.34
2018-10-19,110.38
2018-10-26,110.43
2018-11-02,110.27
2018-11-09,110.31
2018-11-16,110.37
2018-11-23,110.43
2018-11-30,110.47
2018-12-07,110.33
2018-12-14,110.38
2018-12-21,110.26
2018-12-28,110.32
2019-01-04,110.38
2019-01-11,110.42
2019-01-18,110.48
2019-01-25,110.51
2019-02-01,110.37
2019-02-08,110.42
2019-02-15,110.47
2019-02-22,110.51
2019-03-01,110.34
2019-03-08,110.41
2019-03-15,110.46
2019-03-22,110.52
2019-03-29,110.57
2019-04-05,110.4
2019-04-12,110.46
2019-04-19,110.49
2019-04-26,110.56
2019-05-03,110.38
2019-05-10,110.43
2019-05-17,110.49
2019-05-24,110.55
2019-05-31,110.61
2019-06-07,110.49
2019-06-14,110.57
2019-06-21,110.62
2019-06-28,110.65
2019-07-05,110.47
2019-07-12,110.51
2019-07-19,110.57
2019-07-26,110.61
2019-08-02,110.48
2019-08-09,110.55
2019-08-16,110.61
2019-08-23,110.66
2019-08-30,110.66
2019-09-06,110.52
2019-09-13,110.52
2019-09-20,110.54
2019-09-27,110.6
2019-10-04,110.56
2019-10-11,110.56
2019-10-18,110.64
2019-10-25,110.66
2019-11-01,110.525
2019-11-08,110.55
2019-11-15,110.59
2019-11-22,110.6
2019-11-29,110.61
2019-12-06,110.51
2019-12-13,110.55
2019-12-20,110.41
2019-12-27,110.43
2020-01-03,110.48
