date,value
2015-01-02,65.32
2015-01-09,65.4
2015-01-16,64.52
2015-01-23,66.012
2015-01-30,64.4924
2015-02-06,66.1612
2015-02-13,66.88
2015-02-20,67.1525
2015-02-27,67.35
2015-03-06,66.1606
2015-03-13,66.08
2015-03-20,67.96
2015-03-27,66.215
2015-04-03,66.8
2015-04-10,67.5
2015-04-17,66.49
2015-04-24,67.32
2015-05-01,66.7414
2015-05-08,67.1524
2015-05-15,67.2601
2015-05-22,67.72
2015-05-29,67.299
2015-06-05,66.5869
2015-06-12,66.7199
2015-06-19,67.37
2015-06-26,66.76
2015-07-03,65.84
2015-07-10,66.12
2015-07-17,66.73
2015-07-24,66.85
2015-07-31,67.07
2015-08-07,66.3521
2015-08-14,66.975
2015-08-21,64.22
2015-08-28,63.6299
2015-09-04,62.0
2015-09-11,63.15
2015-09-18,63.354
2015-09-25,62.47
2015-10-02,62.56
2015-10-09,64.51
2015-10-16,64.86
2015-10-23,65.6916
2015-10-30,65.9705
2015-11-06,66.139
2015-11-13,65.0
2015-11-20,65.7837
2015-11-27,66.15
2015-12-04,64.85
2015-12-11,63.72
2015-12-18,63.818
2015-12-25,64.86
2016-01-01,65.2897
2016-01-08,61.04
2016-01-15,59.54
2016-01-22,60.296
2016-01-29,61.39
2016-02-05,60.83
2016-02-12,59.3618
2016-02-19,61.187
2016-02-26,62.81
2016-03-04,63.65
2016-03-11,65.03
2016-03-18,66.1799
2016-03-25,64.95
2016-04-01,66.5224
2016-04-08,65.741
2016-04-15,66.56
2016-04-22,66.86
2016-04-29,66.3417
2016-05-06,66.56
2016-05-13,66.2617
2016-05-20,66.32
2016-05-27,67.72
2016-06-03,68.16
2016-06-10,68.02
2016-06-17,67.47
2016-06-24,66.24
2016-07-01,68.418
2016-07-08,69.2192
2016-07-15,69.9
2016-07-22,70.0901
2016-07-29,70.425
2016-08-05,70.3107
2016-08-12,70.51
2016-08-19,70.55
2016-08-26,70.02
2016-09-02,70.47
2016-09-09,68.985
2016-09-16,68.7201
2016-09-23,70.1938
2016-09-30,69.789
2016-10-07,68.88
2016-10-14,68.705
2016-10-21,68.35
2016-10-28,68.2202
2016-11-04,66.965
2016-11-11,69.28
2016-11-18,70.35
2016-11-25,71.405
2016-12-02,70.5442
2016-12-09,72.7709
2016-12-16,72.5423
2016-12-23,72.23
2016-12-30,71.82
2017-01-06,72.876
2017-01-13,72.77
2017-01-20,72.585
2017-01-27,73.33
2017-02-03,73.59
2017-02-10,74.43
2017-02-17,75.36
2017-02-24,75.8954
2017-03-03,76.26
2017-03-10,75.7
2017-03-17,76.18
2017-03-24,75.1581
2017-03-31,75.57
2017-04-07,75.3
2017-04-14,74.8387
2017-04-21,75.55
2017-04-28,76.6692
2017-05-05,76.59
2017-05-12,75.8214
2017-05-19,75.89
2017-05-26,77.16
2017-06-02,78.2
2017-06-09,77.82
2017-06-16,78.49
2017-06-23,77.989
2017-06-30,77.6538
2017-07-07,77.5301
2017-07-14,78.36
2017-07-21,78.71
2017-07-28,78.73
2017-08-04,78.77
2017-08-11,77.525
2017-08-18,77.27
2017-08-25,78.01
2017-09-01,78.59
2017-09-08,78.2069
2017-09-15,79.26
2017-09-22,79.33
2017-09-29,79.35
2017-10-06,80.19
2017-10-13,80.45
2017-10-20,81.13
2017-10-27,80.87
2017-11-03,80.8145
2017-11-10,80.8
2017-11-17,81.44
2017-11-24,81.8088
2017-12-01,83.47
2017-12-08,83.58
2017-12-15,83.87
2017-12-22,83.75
2017-12-29,83.87
2018-01-05,85.08
2018-01-12,85.9459
2018-01-19,86.715
2018-01-26,88.18
2018-02-02,85.44
2018-02-09,81.81
2018-02-16,84.66
2018-02-23,84.4
2018-03-02,82.45
2018-03-09,85.715
2018-03-16,85.3904
2018-03-23,81.27
2018-03-30,82.85
2018-04-06,81.09
2018-04-13,82.47
2018-04-20,83.09
2018-04-27,83.13
2018-05-04,82.6
2018-05-11,83.79
2018-05-18,83.57
2018-05-25,83.99
2018-06-01,84.0533
2018-06-08,85.44
2018-06-15,85.38
2018-06-22,85.43
2018-06-29,84.28
2018-07-06,85.18
2018-07-13,85.89
2018-07-20,85.94
2018-07-27,86.262
2018-08-03,86.87
2018-08-10,86.56
2018-08-17,87.58
2018-08-24,88.13
2018-08-31,88.21
2018-09-07,88.14
2018-09-14,89.24
2018-09-21,89.685
2018-09-28,87.9465
2018-10-05,86.95
2018-10-12,83.3029
2018-10-19,84.07
