date,value
2015-01-02,100.48
2015-01-09,101.04
2015-01-16,101.86
2015-01-23,106.49
2015-01-30,103.15
2015-02-06,113.0
2015-02-13,113.89
2015-02-20,113.44
2015-02-27,115.35
2015-03-06,112.77
2015-03-13,111.02
2015-03-20,113.71
2015-03-27,116.01
2015-04-03,116.01
2015-04-10,116.75
2015-04-17,117.42
2015-04-24,116.31
2015-05-01,116.86
2015-05-08,115.99
2015-05-15,118.5
2015-05-22,120.39
2015-05-29,118.55
2015-06-05,111.32
2015-06-12,111.29
2015-06-19,113.48
2015-06-26,110.62
2015-07-03,108.75
2015-07-10,107.59
2015-07-17,108.46
2015-07-24,105.59
2015-07-31,111.69
2015-08-07,110.04
2015-08-14,109.38
2015-08-21,109.9
2015-08-28,117.59
2015-09-04,115.61
2015-09-11,116.11
2015-09-18,116.57
2015-09-25,114.36
2015-10-02,115.65
2015-10-09,118.09
2015-10-16,119.1
2015-10-23,118.27
2015-10-30,117.39
2015-11-06,115.0
2015-11-13,111.74
2015-11-20,122.39
2015-11-27,123.26
2015-12-04,123.14
2015-12-11,120.58
2015-12-18,121.55
2015-12-25,124.78
2016-01-01,123.34
2016-01-08,120.04
2016-01-15,118.26
2016-01-22,122.89
2016-01-29,128.32
2016-02-05,125.47
2016-02-12,126.92
2016-02-19,127.75
2016-02-26,127.67
2016-03-04,127.54
2016-03-11,129.52
2016-03-18,128.85
2016-03-25,128.71
2016-04-01,132.52
2016-04-08,127.9
2016-04-15,128.4
2016-04-22,126.15
2016-04-29,126.98
2016-05-06,129.27
2016-05-13,130.57
2016-05-20,126.6
2016-05-27,129.22
2016-06-03,131.72
2016-06-10,144.24
2016-06-17,144.72
2016-06-24,145.33
2016-07-01,151.64
2016-07-08,154.08
2016-07-15,152.76
2016-07-22,152.97
2016-07-29,154.16
2016-08-05,155.23
2016-08-12,152.83
2016-08-19,154.61
2016-08-26,138.98
2016-09-02,141.47
2016-09-09,135.93
2016-09-16,137.03
2016-09-23,137.18
2016-09-30,135.54
2016-10-07,132.94
2016-10-14,133.52
2016-10-21,130.01
2016-10-28,131.92
2016-11-04,129.27
2016-11-11,127.06
2016-11-18,124.85
2016-11-25,126.46
2016-12-02,125.28
2016-12-09,130.49
2016-12-16,129.14
2016-12-23,129.46
2016-12-30,128.06
2017-01-06,129.04
2017-01-13,131.0
2017-01-20,133.57
2017-01-27,135.59
2017-02-03,138.78
2017-02-10,138.02
2017-02-17,135.95
2017-02-24,141.18
