date,value
2015-01-02,50.34
2015-01-09,50.49
2015-01-16,50.5
2015-01-23,50.63
2015-01-30,50.8
2015-02-06,50.36
2015-02-13,50.44
2015-02-20,50.57
2015-02-27,50.61
2015-03-06,50.46
2015-03-13,50.52
2015-03-20,50.61
2015-03-27,50.61
2015-04-03,50.65
2015-04-10,50.74
2015-04-17,50.7
2015-04-24,50.75
2015-05-01,50.58
2015-05-08,50.67
2015-05-15,50.72
2015-05-22,50.59
2015-05-29,50.58
2015-06-05,50.32
2015-06-12,50.37
2015-06-19,50.54
2015-06-26,50.39
2015-07-03,50.32
2015-07-10,50.31
2015-07-17,50.51
2015-07-24,50.5
2015-07-31,50.49
2015-08-07,50.23
2015-08-14,50.3
2015-08-21,50.33
2015-08-28,50.32
2015-09-04,50.34
2015-09-11,50.12
2015-09-18,50.25
2015-09-25,50.22
2015-10-02,50.31
2015-10-09,50.33
2015-10-16,50.35
2015-10-23,50.45
2015-10-30,50.38
2015-11-06,50.28
2015-11-13,50.4
2015-11-20,50.29
2015-11-27,50.41
2015-12-04,50.32
2015-12-11,50.3
2015-12-18,50.21
2015-12-25,50.23
2016-01-01,50.24
2016-01-08,50.15
2016-01-15,50.19
2016-01-22,50.14
2016-01-29,50.3
2016-02-05,50.21
2016-02-12,49.88
2016-02-19,50.01
2016-02-26,50.11
2016-03-04,50.11
2016-03-11,50.19
2016-03-18,50.21
2016-03-25,50.27
2016-04-01,50.48
2016-04-08,50.56
2016-04-15,50.61
2016-04-22,50.69
2016-04-29,50.75
2016-05-06,50.76
2016-05-13,50.72
2016-05-20,50.54
2016-05-27,50.59
2016-06-03,50.72
2016-06-10,50.82
2016-06-17,50.75
2016-06-24,50.85
2016-07-01,50.91
2016-07-08,51.08
2016-07-15,50.95
2016-07-22,50.92
2016-07-29,51.06
2016-08-05,50.94
2016-08-12,50.94
2016-08-19,51.0
2016-08-26,50.9
2016-09-02,50.88
2016-09-09,50.79
2016-09-16,50.81
2016-09-23,50.86
2016-09-30,50.87
2016-10-07,50.63
2016-10-14,50.74
2016-10-21,50.81
2016-10-28,50.72
2016-11-04,50.71
2016-11-11,50.44
2016-11-18,50.04
2016-11-25,50.13
2016-12-02,50.12
2016-12-09,50.15
2016-12-16,49.99
2016-12-23,49.98
2016-12-30,50.2
2017-01-06,50.19
2017-01-13,50.3
2017-01-20,50.27
2017-01-27,50.26
2017-02-03,50.32
2017-02-10,50.31
2017-02-17,50.39
2017-02-24,50.53
2017-03-03,50.31
2017-03-10,50.19
2017-03-17,50.24
2017-03-24,50.36
2017-03-31,50.41
2017-04-07,50.35
2017-04-14,50.51
2017-04-21,50.52
2017-04-28,50.52
2017-05-05,50.4
2017-05-12,50.48
2017-05-19,50.56
2017-05-26,50.56
2017-06-02,50.54
2017-06-09,50.52
2017-06-16,50.55
2017-06-23,50.55
2017-06-30,50.52
2017-07-07,50.43
2017-07-14,50.59
2017-07-21,50.68
2017-07-28,50.67
2017-08-04,50.6
2017-08-11,50.6
2017-08-18,50.63
2017-08-25,50.66
2017-09-01,50.62
2017-09-08,50.7
2017-09-15,50.6
2017-09-22,50.58
2017-09-29,50.62
2017-10-06,50.55
2017-10-13,50.6
2017-10-20,50.53
2017-10-27,50.54
2017-11-03,50.46
2017-11-10,50.36
2017-11-17,50.34
2017-11-24,50.36
2017-12-01,50.27
2017-12-08,50.28
2017-12-15,50.3
2017-12-22,50.18
2017-12-29,50.26
2018-01-05,50.2
2018-01-12,50.17
2018-01-19,50.1
2018-01-26,50.11
2018-02-02,49.93
2018-02-09,49.94
2018-02-16,49.79
2018-02-23,49.82
2018-03-02,49.67
2018-03-09,49.69
2018-03-16,49.66
2018-03-23,49.64
