date,value
2015-01-02,18.07
2015-01-09,18.62
2015-01-16,18.81
2015-01-23,18.85
2015-01-30,18.48
2015-02-06,19.47
2015-02-13,19.24
2015-02-20,19.58
2015-02-27,20.12
2015-03-06,20.19
2015-03-13,20.2
2015-03-20,19.97
2015-03-27,20.3
2015-04-03,20.49
2015-04-10,20.54
2015-04-17,20.13
2015-04-24,20.29
2015-05-01,19.75
2015-05-08,18.75
2015-05-15,18.83
2015-05-22,19.25
2015-05-29,19.12
2015-06-05,19.11
2015-06-12,18.92
2015-06-19,18.88
2015-06-26,18.24
2015-07-03,18.39
2015-07-10,18.17
2015-07-17,18.26
2015-07-24,17.64
2015-07-31,17.77
2015-08-07,18.39
2015-08-14,18.37
2015-08-21,18.05
2015-08-28,17.38
2015-09-04,17.24
2015-09-11,17.0
2015-09-18,16.795
2015-09-25,16.35
2015-10-02,16.29
2015-10-09,16.73
2015-10-16,17.08
2015-10-23,17.49
2015-10-30,17.31
2015-11-06,18.16
2015-11-13,17.43
2015-11-20,17.72
2015-11-27,18.03
2015-12-04,17.86
2015-12-11,16.82
2015-12-18,16.12
2015-12-25,16.95
2016-01-01,16.43
2016-01-08,16.16
2016-01-15,15.85
2016-01-22,16.29
2016-01-29,16.22
2016-02-05,16.61
2016-02-12,16.16
2016-02-19,16.25
2016-02-26,16.85
2016-03-04,17.45
2016-03-11,17.42
2016-03-18,17.49
2016-03-25,17.21
2016-04-01,17.3
2016-04-08,17.24
2016-04-15,17.37
2016-04-22,17.85
2016-04-29,17.63
2016-05-06,18.45
2016-05-13,18.23
2016-05-20,18.53
2016-05-27,18.49
2016-06-03,18.57
2016-06-10,18.78
2016-06-17,18.94
2016-06-24,19.07
2016-07-01,19.26
2016-07-08,19.31
2016-07-15,19.43
2016-07-22,19.98
2016-07-29,20.25
2016-08-05,20.36
2016-08-12,20.06
2016-08-19,20.23
2016-08-26,20.27
2016-09-02,20.57
2016-09-09,20.2
2016-09-16,20.41
2016-09-23,20.52
2016-09-30,20.52
2016-10-07,20.38
2016-10-14,20.26
2016-10-21,20.4
2016-10-28,19.89
2016-11-04,19.66
2016-11-11,21.42
2016-11-18,20.63
2016-11-25,20.85
2016-12-02,20.28
2016-12-09,20.63
2016-12-16,20.51
2016-12-23,20.96
2016-12-30,20.82
2017-01-06,21.33
2017-01-13,21.38
2017-01-20,21.25
2017-01-27,21.48
2017-02-03,21.63
2017-02-10,21.83
2017-02-17,22.13
2017-02-24,21.82
2017-03-03,22.12
2017-03-10,22.2
2017-03-17,22.22
2017-03-24,21.82
2017-03-31,22.61
2017-04-07,22.67
2017-04-14,22.56
2017-04-21,22.55
2017-04-28,22.81
2017-05-05,21.58
2017-05-12,21.91
2017-05-19,21.5
2017-05-26,21.92
2017-06-02,21.73
2017-06-09,21.95
2017-06-16,21.78
2017-06-23,21.73
2017-06-30,21.87
2017-07-07,21.84
2017-07-14,21.79
2017-07-21,21.92
2017-07-28,21.85
2017-08-04,22.07
2017-08-11,21.42
2017-08-18,21.36
2017-08-25,21.5
2017-09-01,21.52
2017-09-08,21.19
2017-09-15,20.8
2017-09-22,20.62
2017-09-29,21.64
2017-10-06,21.73
2017-10-13,21.66
2017-10-20,21.47
2017-10-27,21.51
2017-11-03,21.38
2017-11-10,21.7
2017-11-17,21.94
2017-11-24,22.02
2017-12-01,21.31
2017-12-08,20.81
2017-12-15,20.37
2017-12-22,20.15
2017-12-29,20.21
2018-01-05,20.13
2018-01-12,20.89
2018-01-19,21.13
2018-01-26,21.28
2018-02-02,20.64
2018-02-09,20.17
2018-02-16,20.47
2018-02-23,20.7
2018-03-02,20.49
2018-03-09,20.65
2018-03-16,20.63
2018-03-23,20.04
2018-03-30,20.31
2018-04-06,20.64
2018-04-13,20.35
2018-04-20,20.45
2018-04-27,20.54
2018-05-04,20.6
2018-05-11,21.44
2018-05-18,21.44
2018-05-25,21.68
2018-06-01,21.61
2018-06-08,21.31
2018-06-15,21.26
2018-06-22,20.66
2018-06-29,20.44
2018-07-06,20.79
2018-07-13,20.74
2018-07-20,20.9
2018-07-27,21.19
2018-08-03,21.48
2018-08-10,21.71
2018-08-17,21.87
2018-08-24,21.85
2018-08-31,21.75
2018-09-07,21.63
2018-09-14,21.74
2018-09-21,21.59
2018-09-28,21.38
2018-10-05,21.01
2018-10-12,20.66
2018-10-19,20.68
2018-10-26,20.28
2018-11-02,20.76
2018-11-09,21.0
2018-11-16,20.86
2018-11-23,21.17
2018-11-30,21.19
2018-12-07,21.0
2018-12-14,20.38
2018-12-21,18.92
2018-12-28,19.59
2019-01-04,19.72
2019-01-11,20.02
2019-01-18,19.97
2019-01-25,20.3
2019-02-01,20.47
2019-02-08,20.63
2019-02-15,20.8
2019-02-22,21.4
2019-03-01,21.35
2019-03-08,21.55
2019-03-15,21.75
2019-03-22,20.94
2019-03-29,20.84
2019-04-05,21.54
2019-04-12,21.44
2019-04-19,21.29
2019-04-26,21.32
2019-05-03,21.49
2019-05-10,21.23
2019-05-17,21.23
2019-05-24,21.06
2019-05-31,20.5
2019-06-07,20.77
2019-06-14,20.8
2019-06-21,20.44
2019-06-28,20.53
2019-07-05,20.63
2019-07-12,20.63
2019-07-19,20.37
2019-07-26,20.88
2019-08-02,20.7
2019-08-09,20.28
2019-08-16,20.44
2019-08-23,20.37
2019-08-30,20.46
2019-09-06,20.51
2019-09-13,20.91
2019-09-20,20.77
2019-09-27,20.71
2019-10-04,20.09
2019-10-11,20.18
2019-10-18,20.55
2019-10-25,20.49
2019-11-01,20.72
2019-11-08,20.48
2019-11-15,20.56
2019-11-22,20.39
2019-11-29,20.75
2019-12-06,20.54
2019-12-13,20.79
2019-12-20,20.9
2019-12-27,20.69
2020-01-03,20.65
