date,value
2015-01-02,32.539
2015-01-09,32.5
2015-01-16,32.0
2015-01-23,32.7901
2015-01-30,31.59
2015-02-06,32.7801
2015-02-13,33.538
2015-02-20,33.6504
2015-02-27,33.75
2015-03-06,33.152
2015-03-13,32.61
2015-03-20,33.569
2015-03-27,32.6768
2015-04-03,32.8716
2015-04-10,33.41
2015-04-17,33.119
2015-04-24,34.1401
2015-05-01,33.9964
2015-05-08,34.23
2015-05-15,34.28
2015-05-22,34.36
2015-05-29,34.1029
2015-06-05,34.0573
2015-06-12,33.953
2015-06-19,34.41
2015-06-26,34.4
2015-07-03,34.0936
2015-07-10,34.0986
2015-07-17,35.1405
2015-07-24,34.52
2015-07-31,35.0138
2015-08-07,34.51
2015-08-14,34.77
2015-08-21,32.82
2015-08-28,33.1
2015-09-04,32.029
2015-09-11,33.1009
2015-09-18,33.1781
2015-09-25,32.127
2015-10-02,32.39
2015-10-09,33.008
2015-10-16,33.357
2015-10-23,33.73
2015-10-30,34.29
2015-11-06,34.47
2015-11-13,33.1801
2015-11-20,34.58
2015-11-27,34.7
2015-12-04,34.39
2015-12-11,33.349
2015-12-18,33.44
2015-12-25,34.29
2016-01-01,34.3001
2016-01-08,31.63
2016-01-15,30.8
2016-01-22,31.38
2016-01-29,31.09
2016-02-05,29.51
2016-02-12,29.1604
2016-02-19,30.4
2016-02-26,31.24
2016-03-04,31.82
2016-03-11,31.9499
2016-03-18,32.49
2016-03-25,32.43
2016-04-01,33.32
2016-04-08,33.1699
2016-04-15,33.6705
2016-04-22,33.586
2016-04-29,32.91
2016-05-06,32.7101
2016-05-13,32.54
2016-05-20,32.81
2016-05-27,33.63
2016-06-03,33.87
2016-06-10,33.39
2016-06-17,32.71
2016-06-24,31.93
2016-07-01,33.098
2016-07-08,33.7
2016-07-15,34.0695
2016-07-22,34.17
2016-07-29,34.363
2016-08-05,34.6277
2016-08-12,34.64
2016-08-19,34.41
2016-08-26,34.12
2016-09-02,34.1008
2016-09-09,33.33
2016-09-16,33.4
2016-09-23,33.8706
2016-09-30,33.82
2016-10-07,33.48
2016-10-14,33.171
2016-10-21,33.55
2016-10-28,33.3554
2016-11-04,32.7221
2016-11-11,33.63
