date,value
2015-01-02,32.95
2015-01-09,33.11
2015-01-16,33.39
2015-01-23,33.66
2015-01-30,32.7946
2015-02-06,33.166
2015-02-13,33.19
2015-02-20,33.17
2015-02-27,33.1099
2015-03-06,32.14
2015-03-13,31.97
2015-03-20,32.9402
2015-03-27,32.6509
2015-04-03,32.98
2015-04-10,33.28
2015-04-17,32.9
2015-04-24,33.31
2015-05-01,32.98
2015-05-08,32.99
2015-05-15,33.06
2015-05-22,32.97
2015-05-29,32.75
2015-06-05,32.06
2015-06-12,32.25
2015-06-19,32.36
2015-06-26,32.2199
2015-07-03,31.95
2015-07-10,32.35
2015-07-17,32.58
2015-07-24,32.0
2015-07-31,32.8
2015-08-07,32.78
2015-08-14,33.23
2015-08-21,32.07
2015-08-28,31.81
2015-09-04,30.62
2015-09-11,31.24
2015-09-18,31.53
2015-09-25,31.52
2015-10-02,31.68
2015-10-09,32.75
2015-10-16,33.01
2015-10-23,33.43
2015-10-30,33.25
2015-11-06,32.7139
2015-11-13,32.19
2015-11-20,33.11
2015-11-27,33.1887
2015-12-04,33.14
2015-12-11,32.38
2015-12-18,32.54
2015-12-25,33.55
2016-01-01,33.34
2016-01-08,32.3
2016-01-15,31.83
2016-01-22,32.33
2016-01-29,33.0
2016-02-05,33.4
2016-02-12,32.62
2016-02-19,33.64
2016-02-26,34.29
2016-03-04,35.69
2016-03-11,36.35
2016-03-18,36.92
2016-03-25,36.58
2016-04-01,37.13
2016-04-08,36.49
2016-04-15,37.05
2016-04-22,37.0
2016-04-29,37.1
2016-05-06,36.955
2016-05-13,36.57
2016-05-20,36.03
2016-05-27,36.82
2016-06-03,37.36
2016-06-10,37.57
2016-06-17,37.57
2016-06-24,36.97
2016-07-01,38.37
2016-07-08,38.73
2016-07-15,39.43
2016-07-22,39.69
2016-07-29,39.91
2016-08-05,39.4
2016-08-12,39.49
2016-08-19,39.36
2016-08-26,39.08
2016-09-02,39.35
2016-09-09,38.16
2016-09-16,38.18
2016-09-23,39.03
2016-09-30,38.91
2016-10-07,38.1
2016-10-14,37.72
2016-10-21,37.84
2016-10-28,37.61
2016-11-04,36.68
2016-11-11,37.77
2016-11-18,37.77
2016-11-25,38.62
2016-12-02,38.56
2016-12-09,39.93
2016-12-16,39.37
2016-12-23,39.52
2016-12-30,39.18
2017-01-06,39.85
2017-01-13,39.65
2017-01-20,39.56
2017-01-27,39.87
2017-02-03,39.78
2017-02-10,40.09
2017-02-17,40.29
2017-02-24,41.0
2017-03-03,40.96
2017-03-10,40.42
2017-03-17,40.64
2017-03-24,40.4
2017-03-31,40.51
2017-04-07,40.36
2017-04-14,40.1
2017-04-21,39.98
2017-04-28,39.93
2017-05-05,39.89
2017-05-12,39.61
2017-05-19,39.65
2017-05-26,40.09
2017-06-02,40.57
2017-06-09,40.49
2017-06-16,40.87
2017-06-23,40.59
2017-06-30,40.23
2017-07-07,39.9
2017-07-14,40.26
2017-07-21,40.51
2017-07-28,40.34
2017-08-04,40.54
2017-08-11,39.9
2017-08-18,39.6
2017-08-25,40.16
2017-09-01,40.32
2017-09-08,40.63
2017-09-15,41.18
2017-09-22,40.82
2017-09-29,41.01
2017-10-06,41.21
2017-10-13,41.68
2017-10-20,41.93
2017-10-27,41.4
2017-11-03,41.5
2017-11-10,41.83
2017-11-17,41.84
2017-11-24,41.82
2017-12-01,42.55
2017-12-08,42.5
2017-12-15,42.67
2017-12-22,42.31
2017-12-29,42.43
2018-01-05,42.53
2018-01-12,42.4
2018-01-19,42.39
2018-01-26,43.25
2018-02-02,41.31
2018-02-09,39.65
2018-02-16,40.72
2018-02-23,40.28
2018-03-02,39.43
2018-03-09,40.25
2018-03-16,40.19
2018-03-23,38.19
2018-03-30,39.43
2018-04-06,39.28
2018-04-13,39.59
2018-04-20,39.33
2018-04-27,39.94
2018-05-04,39.78
2018-05-11,40.17
2018-05-18,39.72
2018-05-25,40.09
2018-06-01,40.38
2018-06-08,40.73
2018-06-15,40.75
2018-06-22,40.82
2018-06-29,41.04
2018-07-06,41.62
2018-07-13,41.49
2018-07-20,41.14
2018-07-27,41.16
2018-08-03,42.01
2018-08-10,41.34
2018-08-17,42.36
2018-08-24,41.88
2018-08-31,41.69
2018-09-07,41.7
2018-09-14,42.1
2018-09-21,42.34
2018-09-28,41.41
2018-10-05,41.55
2018-10-12,40.05
2018-10-19,40.94
2018-10-26,39.47
2018-11-02,40.23
2018-11-09,41.38
2018-11-16,41.17
2018-11-23,40.24
2018-11-30,41.45
2018-12-07,40.64
2018-12-14,40.23
2018-12-21,37.97
2018-12-28,38.02
2019-01-04,38.77
2019-01-11,39.74
2019-01-18,40.49
2019-01-25,40.46
2019-02-01,41.39
2019-02-08,41.23
2019-02-15,42.0
2019-02-22,42.28
2019-03-01,42.18
2019-03-08,41.55
2019-03-15,42.4
2019-03-22,41.99
2019-03-29,42.46
2019-04-05,43.2
2019-04-12,43.31
2019-04-19,42.62
2019-04-26,42.61
2019-05-03,42.65
2019-05-10,42.15
2019-05-17,42.0
2019-05-24,41.58
2019-05-31,39.89
2019-06-07,41.48
2019-06-14,41.92
2019-06-21,42.47
2019-06-28,42.11
2019-07-05,42.66
2019-07-12,42.62
2019-07-19,42.17
2019-07-26,42.36
2019-08-02,41.6
2019-08-09,40.85
2019-08-16,40.58
2019-08-23,39.7
2019-08-30,40.51
2019-09-06,41.52
2019-09-13,42.82
2019-09-20,42.77
2019-09-27,42.57
2019-10-04,41.81
2019-10-11,41.85
2019-10-18,42.32
2019-10-25,42.67
2019-11-01,43.01
2019-11-08,43.26
2019-11-15,43.28
2019-11-22,42.88
2019-11-29,43.05
2019-12-06,43.32
2019-12-13,43.28
2019-12-20,44.03
2019-12-27,43.98
2020-01-03,43.48
