date,value
2015-01-02,23.25
2015-01-09,23.19
2015-01-16,22.98
2015-01-23,23.31
2015-01-30,22.65
2015-02-06,23.26
2015-02-13,23.6
2015-02-20,23.78
2015-02-27,23.75
2015-03-06,23.38
2015-03-13,23.32
2015-03-20,23.76
2015-03-27,23.3501
2015-04-03,23.43
2015-04-10,23.71
2015-04-17,23.38
2015-04-24,23.71
2015-05-01,23.5
2015-05-08,23.64
2015-05-15,23.8
2015-05-22,23.78
2015-05-29,23.54
2015-06-05,23.304
2015-06-12,23.38
2015-06-19,23.55
2015-06-26,23.41
2015-07-03,23.26
2015-07-10,23.36
2015-07-17,23.63
2015-07-24,23.19
2015-07-31,23.65
2015-08-07,23.5
2015-08-14,23.68
2015-08-21,22.61
2015-08-28,22.62
2015-09-04,22.0089
2015-09-11,22.37
2015-09-18,22.26
2015-09-25,22.11
2015-10-02,22.29
2015-10-09,23.07
2015-10-16,23.06
2015-10-23,23.47
2015-10-30,23.43
2015-11-06,23.4945
2015-11-13,22.76
2015-11-20,23.68
2015-11-27,23.7815
2015-12-04,23.68
2015-12-11,23.015
2015-12-18,22.68
2015-12-25,23.3319
2016-01-01,23.13
2016-01-08,22.03
2016-01-15,21.72
2016-01-22,21.98
2016-01-29,22.66
2016-02-05,22.44
2016-02-12,22.35
2016-02-19,22.96
2016-02-26,23.3
2016-03-04,23.78
2016-03-11,24.05
2016-03-18,24.48
2016-03-25,24.295
2016-04-01,24.81
2016-04-08,24.7
2016-04-15,25.02
2016-04-22,25.067
2016-04-29,24.7
2016-05-06,24.72
2016-05-13,24.56
2016-05-20,24.41
2016-05-27,24.94
2016-06-03,25.02
2016-06-10,24.98
2016-06-17,24.58
2016-06-24,24.17
2016-07-01,24.92
2016-07-08,25.32
2016-07-15,25.67
2016-07-22,25.78
2016-07-29,25.59
2016-08-05,25.57
2016-08-12,25.63
2016-08-19,25.62
2016-08-26,25.5
2016-09-02,25.6
2016-09-09,24.855
2016-09-16,24.8
2016-09-23,25.15
2016-09-30,25.18
2016-10-07,24.91
2016-10-14,24.74
2016-10-21,24.7
2016-10-28,24.78
2016-11-04,24.37
2016-11-11,25.25
2016-11-18,25.44
2016-11-25,25.94
2016-12-02,25.63
2016-12-09,26.36
2016-12-16,26.13
2016-12-23,26.23
2016-12-30,25.99
2017-01-06,26.26
2017-01-13,26.235
2017-01-20,26.36
2017-01-27,26.625
2017-02-03,26.45
2017-02-10,26.76
2017-02-17,27.15
2017-02-24,27.48
2017-03-03,27.56
2017-03-10,27.45
2017-03-17,27.62
2017-03-24,27.32
2017-03-31,27.37
2017-04-07,27.3
2017-04-14,27.045
2017-04-21,27.35
2017-04-28,27.61
2017-05-05,27.72
2017-05-12,27.52
2017-05-19,27.49
2017-05-26,27.94
2017-06-02,28.26
2017-06-09,28.19
2017-06-16,28.25
2017-06-23,28.14
2017-06-30,27.96
2017-07-07,27.96
2017-07-14,28.25
2017-07-21,28.3
2017-07-28,28.21
2017-08-04,28.27
2017-08-11,28.04
2017-08-18,27.75
2017-08-25,27.98
2017-09-01,28.28
2017-09-08,28.28
2017-09-15,28.76
2017-09-22,28.7
2017-09-29,28.79
2017-10-06,29.18
2017-10-13,29.32
2017-10-20,29.53
2017-10-27,29.31
2017-11-03,29.23
2017-11-10,29.23
2017-11-17,29.36
2017-11-24,29.56
2017-12-01,30.05
2017-12-08,30.33
2017-12-15,30.58
2017-12-22,30.43
2017-12-29,30.45
2018-01-05,31.18
2018-01-12,31.775
2018-01-19,31.98
2018-01-26,32.41
2018-02-02,31.28
2018-02-09,29.8
2018-02-16,31.11
2018-02-23,31.03
2018-03-02,30.43
2018-03-09,31.35
2018-03-16,30.88
2018-03-23,29.15
2018-03-30,29.84
2018-04-06,29.4
2018-04-13,29.87
2018-04-20,29.83
2018-04-27,29.77
2018-05-04,29.69
2018-05-11,30.3
2018-05-18,30.4
2018-05-25,30.51
2018-06-01,30.53
2018-06-08,31.24
2018-06-15,31.22
2018-06-22,30.54
2018-06-29,30.01
2018-07-06,30.61
2018-07-13,31.05
2018-07-20,31.12
2018-07-27,31.15
2018-08-03,31.34
2018-08-10,31.28
2018-08-17,31.54
2018-08-24,32.03
2018-08-31,32.38
2018-09-07,32.15
2018-09-14,32.59
2018-09-21,32.85
2018-09-28,32.8
2018-10-05,32.19
2018-10-12,30.89
2018-10-19,30.89
2018-10-26,29.77
2018-11-02,30.69
2018-11-09,31.27
2018-11-16,30.51
2018-11-23,29.09
2018-11-30,30.41
2018-12-07,29.11
2018-12-14,28.91
2018-12-21,26.78
2018-12-28,27.52
2019-01-04,27.83
2019-01-11,28.67
2019-01-18,29.43
2019-01-25,29.49
2019-02-01,29.95
2019-02-08,30.19
2019-02-15,31.05
2019-02-22,31.28
2019-03-01,31.54
2019-03-08,30.86
2019-03-15,31.99
2019-03-22,31.58
2019-03-29,32.15
2019-04-05,32.73
2019-04-12,33.02
2019-04-19,32.97
2019-04-26,33.14
2019-05-03,33.14
2019-05-10,32.52
2019-05-17,32.43
2019-05-24,31.87
2019-05-31,31.13
2019-06-07,32.84
2019-06-14,32.81
2019-06-21,33.55
2019-06-28,33.12
2019-07-05,33.7
2019-07-12,33.81
2019-07-19,33.61
2019-07-26,34.01
2019-08-02,32.89
2019-08-09,32.81
2019-08-16,32.51
2019-08-23,32.11
2019-08-30,33.06
2019-09-06,33.84
2019-09-13,33.88
2019-09-20,33.71
2019-09-27,33.31
2019-10-04,33.33
2019-10-11,33.55
2019-10-18,33.53
2019-10-25,34.14
2019-11-01,34.61
2019-11-08,34.83
2019-11-15,35.13
2019-11-22,35.0
2019-11-29,35.51
2019-12-06,35.59
2019-12-13,36.08
2019-12-20,36.65
2019-12-27,36.68
2020-01-03,36.6
