date,value
2015-10-09,25.3899
2015-10-16,25.3899
2015-10-23,25.39
2015-10-30,25.39
2015-11-06,25.39
2015-11-13,25.3685
2015-11-20,26.165
2015-11-27,26.165
2015-12-04,26.0736
2015-12-11,25.233
2015-12-18,24.7647
2015-12-25,25.5634
2016-01-01,25.5599
2016-01-08,24.09
2016-01-15,23.52
2016-01-22,22.04
2016-01-29,22.94
2016-02-05,22.71
2016-02-12,22.71
2016-02-19,22.29
2016-02-26,22.29
2016-03-04,24.31
2016-03-11,24.29
2016-03-18,24.7901
2016-03-25,24.9499
2016-04-01,24.56
2016-04-08,24.166
2016-04-15,24.958
2016-04-22,25.48
2016-04-29,25.0
2016-05-06,24.7
2016-05-13,24.689
2016-05-20,24.689
2016-05-27,24.689
2016-06-03,24.689
2016-06-10,25.13
2016-06-17,25.13
2016-06-24,24.96
2016-07-01,24.96
2016-07-08,24.782
2016-07-15,25.45
2016-07-22,25.8065
2016-07-29,25.8958
2016-08-05,25.63
2016-08-12,25.63
2016-08-19,25.63
2016-08-26,25.63
2016-09-02,25.63
2016-09-09,25.63
2016-09-16,25.63
2016-09-23,25.63
2016-09-30,25.63
2016-10-07,25.63
2016-10-14,25.63
2016-10-21,26.38
2016-10-28,26.38
2016-11-04,26.38
2016-11-11,26.96
2016-11-18,28.687
2016-11-25,29.1899
2016-12-02,29.599
2016-12-09,30.66
2016-12-16,30.6304
2016-12-23,30.2395
2016-12-30,29.9864
2017-01-06,30.5955
2017-01-13,30.31
2017-01-20,30.13
2017-01-27,30.1919
2017-02-03,30.34
2017-02-10,30.24
2017-02-17,31.3912
2017-02-24,31.7336
2017-03-03,31.7599
2017-03-10,31.48
2017-03-17,31.447
2017-03-24,30.364
2017-03-31,30.8319
2017-04-07,30.6156
2017-04-14,30.52
2017-04-21,30.3594
2017-04-28,30.96
2017-05-05,30.93
2017-05-12,30.9
2017-05-19,30.61
2017-05-26,31.02
2017-06-02,31.2
2017-06-09,31.66
2017-06-16,31.39
2017-06-23,31.175
2017-06-30,31.91
2017-07-07,32.02
2017-07-14,32.2
2017-07-21,32.16
2017-07-28,32.28
2017-08-04,32.4
2017-08-11,31.73
2017-08-18,31.31
2017-08-25,31.64
2017-09-01,31.92
2017-09-08,31.48
2017-09-15,32.11
2017-09-22,32.197
2017-09-29,32.67
2017-10-06,33.28
2017-10-13,33.0325
2017-10-20,33.43
2017-10-27,33.28
2017-11-03,33.3067
2017-11-10,33.045
2017-11-17,33.348
2017-11-24,33.395
2017-12-01,34.588
2017-12-08,34.98
2017-12-15,35.09
2017-12-22,34.95
2017-12-29,34.76
2018-01-05,35.58
2018-01-12,36.7
2018-01-19,36.77
2018-01-26,37.29
2018-02-02,35.825
2018-02-09,33.92
2018-02-16,35.43
2018-02-23,35.0252
2018-03-02,34.66
2018-03-09,35.67
2018-03-16,35.3
2018-03-23,32.9072
2018-03-30,33.805
2018-04-06,33.16
2018-04-13,33.7401
2018-04-20,34.39
2018-04-27,34.5407
2018-05-04,33.87
2018-05-11,34.36
2018-05-18,34.71
2018-05-25,34.44
2018-06-01,34.33
2018-06-08,35.0467
2018-06-15,34.903
2018-06-22,34.556
2018-06-29,33.84
2018-07-06,34.1249
2018-07-13,34.3895
2018-07-20,34.3995
2018-07-27,34.95
2018-08-03,35.226
2018-08-10,35.26
2018-08-17,35.741
2018-08-24,36.0237
2018-08-31,36.11
2018-09-07,35.84
2018-09-14,35.9553
2018-09-21,36.56
2018-09-28,35.3835
2018-10-05,35.37
2018-10-12,34.0
2018-10-19,34.3878
2018-10-26,32.82
2018-11-02,34.2584
2018-11-09,35.04
2018-11-16,34.4301
2018-11-23,33.55
2018-11-30,34.86
2018-12-07,32.97
2018-12-14,32.0173
2018-12-21,30.07
2018-12-28,30.5512
2019-01-04,31.6391
2019-01-11,32.4456
2019-01-18,33.5299
2019-01-25,33.5665
2019-02-01,33.9067
2019-02-08,33.4866
2019-02-15,34.5069
2019-02-22,34.4865
2019-03-01,34.3202
2019-03-08,33.2075
2019-03-15,34.1108
2019-03-22,33.183
2019-03-29,33.4988
2019-04-05,34.515
2019-04-12,34.8352
2019-04-19,34.8683
2019-04-26,35.0213
2019-05-03,35.2962
2019-05-10,34.4328
2019-05-17,33.9691
2019-05-24,33.5403
2019-05-31,32.2294
2019-06-07,33.6384
2019-06-14,34.04
2019-06-21,34.4587
2019-06-28,34.92
2019-07-05,35.321
2019-07-12,35.88
2019-07-19,35.42
2019-07-26,36.1606
2019-08-02,34.5986
2019-08-09,34.0015
2019-08-16,32.9826
2019-08-23,32.2979
2019-08-30,33.43
2019-09-06,34.45
2019-09-13,36.1219
2019-09-20,35.6186
2019-09-27,35.0016
2019-10-04,34.1591
2019-10-11,34.7632
2019-10-18,35.4471
2019-10-25,36.3145
2019-11-01,36.8059
2019-11-08,37.9226
2019-11-15,37.9251
2019-11-22,37.7915
2019-11-29,37.9103
2019-12-06,38.0022
2019-12-13,38.2756
2019-12-20,38.9822
2019-12-27,38.7276
2020-01-03,38.4885
