date,value
2015-01-02,112.09
2015-01-09,110.75
2015-01-16,112.95
2015-01-23,115.08
2015-01-30,111.92
2015-02-06,108.21
2015-02-13,105.56
2015-02-20,109.94
2015-02-27,108.2
2015-03-06,107.0
2015-03-13,106.36
2015-03-20,111.8
2015-03-27,108.5
2015-04-03,109.97
2015-04-10,107.85
2015-04-17,106.67
2015-04-24,109.51
2015-05-01,106.8
2015-05-08,105.86
2015-05-15,106.86
2015-05-22,107.6
2015-05-29,107.47
2015-06-05,103.87
2015-06-12,102.86
2015-06-19,103.97
2015-06-26,99.44
2015-07-03,100.38
2015-07-10,101.1
2015-07-17,102.4
2015-07-24,99.62
2015-07-31,101.78
2015-08-07,101.84
2015-08-14,106.13
2015-08-21,101.96
2015-08-28,97.36
2015-09-04,92.64
2015-09-11,90.32
2015-09-18,92.43
2015-09-25,93.94
2015-10-02,96.68
2015-10-09,99.72
2015-10-16,101.61
2015-10-23,101.47
2015-10-30,102.41
2015-11-06,100.92
2015-11-13,98.86
2015-11-20,102.17
2015-11-27,99.64
2015-12-04,97.67
2015-12-11,91.28
2015-12-18,94.41
2015-12-25,96.02
2016-01-01,94.01
2016-01-08,87.83
2016-01-15,91.99
2016-01-22,93.61
2016-01-29,94.75
2016-02-05,95.06
2016-02-12,93.47
2016-02-19,97.25
2016-02-26,95.56
2016-03-04,97.86
2016-03-11,99.46
2016-03-18,103.23
2016-03-25,102.55
2016-04-01,105.92
2016-04-08,104.24
2016-04-15,104.6
2016-04-22,101.14
2016-04-29,103.35
2016-05-06,104.76
2016-05-13,104.4
2016-05-20,103.63
2016-05-27,105.35
2016-06-03,109.46
2016-06-10,109.27
2016-06-17,109.65
2016-06-24,110.34
2016-07-01,113.49
2016-07-08,114.11
2016-07-15,112.93
2016-07-22,113.78
2016-07-29,111.88
2016-08-05,107.04
2016-08-12,106.99
2016-08-19,107.95
2016-08-26,104.44
2016-09-02,104.3
2016-09-09,102.9
2016-09-16,106.62
2016-09-23,109.91
2016-09-30,107.19
2016-10-07,102.66
2016-10-14,104.01
2016-10-21,104.85
2016-10-28,105.1
2016-11-04,102.1
2016-11-11,95.69
2016-11-18,99.82
2016-11-25,99.46
2016-12-02,99.9
2016-12-09,100.71
2016-12-16,102.14
2016-12-23,101.67
2016-12-30,100.64
2017-01-06,102.92
2017-01-13,101.77
2017-01-20,102.44
2017-01-27,101.44
2017-02-03,102.79
2017-02-10,104.35
2017-02-17,105.85
2017-02-24,109.09
2017-03-03,109.23
2017-03-10,109.4
2017-03-17,110.76
2017-03-24,112.47
2017-03-31,110.5
2017-04-07,109.68
2017-04-14,111.5
2017-04-21,112.52
2017-04-28,113.02
2017-05-05,112.15
2017-05-12,111.61
2017-05-19,111.5
2017-05-26,114.48
2017-06-02,117.5
2017-06-09,115.0
2017-06-16,116.39
2017-06-23,112.81
2017-06-30,112.75
