date,value
2015-01-02,7.81
2015-01-09,7.75
2015-01-16,6.51
2015-01-23,5.92
2015-01-30,6.21
2015-02-06,6.66
2015-02-13,6.4
2015-02-20,6.2216
2015-02-27,6.2
2015-03-06,6.16
2015-03-13,5.53
2015-03-20,5.28
2015-03-27,5.33
2015-04-03,5.25
2015-04-10,5.27
2015-04-17,5.469
2015-04-24,5.518
2015-05-01,5.63
2015-05-08,5.4
2015-05-15,5.29
2015-05-22,5.2
2015-05-29,5.06
2015-06-05,4.85
2015-06-12,4.7
2015-06-19,4.63
2015-06-26,4.52
2015-07-03,4.23
2015-07-10,4.26
2015-07-17,4.02
2015-07-24,3.884
2015-07-31,4.0
2015-08-07,3.66
2015-08-14,3.83
2015-08-21,3.51
2015-08-28,3.77
2015-09-04,3.43
2015-09-11,3.18
2015-09-18,14.99
2015-09-25,14.44
2015-10-02,14.0101
2015-10-09,17.0201
2015-10-16,16.32
2015-10-23,15.03
2015-10-30,14.19
2015-11-06,13.88
2015-11-13,13.13
2015-11-20,11.6501
2015-11-27,11.84
2015-12-04,10.05
2015-12-11,8.5799
2015-12-18,7.35
2015-12-25,8.48
2016-01-01,8.42
2016-01-08,7.5
2016-01-15,6.49
2016-01-22,6.77
2016-01-29,7.03
2016-02-05,6.9
2016-02-12,6.24
2016-02-19,6.46
2016-02-26,6.55
2016-03-04,7.18
2016-03-11,7.3
2016-03-18,7.55
2016-03-25,7.2283
2016-04-01,7.3499
2016-04-08,7.45
2016-04-15,7.67
2016-04-22,8.44
2016-04-29,9.0101
2016-05-06,8.98
2016-05-13,9.0608
2016-05-20,9.5699
2016-05-27,9.505
2016-06-03,9.46
2016-06-10,9.5
2016-06-17,9.15
2016-06-24,9.278
2016-07-01,9.35
2016-07-08,9.2
2016-07-15,9.29
2016-07-22,9.21
2016-07-29,8.89
2016-08-05,8.78
2016-08-12,9.32
2016-08-19,9.67
2016-08-26,9.749
2016-09-02,9.6
2016-09-09,9.63
2016-09-16,9.5
2016-09-23,9.61
2016-09-30,9.78
2016-10-07,9.8117
2016-10-14,9.73
2016-10-21,9.56
2016-10-28,9.35
2016-11-04,8.91
2016-11-11,9.63
2016-11-18,9.3463
2016-11-25,9.62
2016-12-02,9.82
2016-12-09,9.89
2016-12-16,9.81
2016-12-23,9.89
2016-12-30,9.78
2017-01-06,9.9429
2017-01-13,9.82
2017-01-20,9.74
2017-01-27,9.89
2017-02-03,10.01
2017-02-10,9.95
2017-02-17,9.77
2017-02-24,9.58
2017-03-03,9.58
2017-03-10,9.14
2017-03-17,9.1607
2017-03-24,9.1201
2017-03-31,9.411
2017-04-07,9.5862
2017-04-14,9.442
2017-04-21,9.22
2017-04-28,9.22
2017-05-05,8.9
2017-05-12,9.01
2017-05-19,9.14
2017-05-26,8.9323
2017-06-02,8.66
2017-06-09,8.39
2017-06-16,8.4
2017-06-23,8.081
2017-06-30,8.48
2017-07-07,8.19
2017-07-14,8.2973
2017-07-21,8.42
2017-07-28,8.7
2017-08-04,8.39
2017-08-11,8.07
2017-08-18,7.94
2017-08-25,7.95
2017-09-01,8.08
2017-09-08,8.02
2017-09-15,8.32
2017-09-22,8.51
2017-09-29,8.69
2017-10-06,8.6999
2017-10-13,8.74
2017-10-20,8.58
2017-10-27,8.46
2017-11-03,8.62
2017-11-10,8.849
2017-11-17,8.53
2017-11-24,8.52
2017-12-01,8.83
2017-12-08,8.8399
2017-12-15,8.9
2017-12-22,9.13
2017-12-29,9.36
2018-01-05,9.69
2018-01-12,9.91
2018-01-19,9.92
2018-01-26,9.83
2018-02-02,9.2
2018-02-09,8.658
2018-02-16,8.83
2018-02-23,9.02
2018-03-02,8.74
2018-03-09,8.96
2018-03-16,8.67
2018-03-23,8.79
2018-03-30,8.72
2018-04-06,8.761
2018-04-13,9.04
2018-04-20,9.3
2018-04-27,9.44
2018-05-04,9.46
2018-05-11,9.8075
2018-05-18,9.73
2018-05-25,9.22
2018-06-01,9.34
2018-06-08,9.255
2018-06-15,8.96
2018-06-22,9.1469
2018-06-29,9.26
2018-07-06,9.24
2018-07-13,9.41
2018-07-20,9.35
2018-07-27,9.5
2018-08-03,9.63
2018-08-10,9.4949
2018-08-17,9.18
2018-08-24,9.27
2018-08-31,9.2201
2018-09-07,9.25
2018-09-14,9.35
2018-09-21,9.29
2018-09-28,9.2301
2018-10-05,9.37
2018-10-12,8.91
2018-10-19,8.8351
2018-10-26,8.05
2018-11-02,8.1
2018-11-09,8.21
2018-11-16,7.91
2018-11-23,7.59
2018-11-30,7.58
2018-12-07,7.33
2018-12-14,7.08
2018-12-21,6.28
2018-12-28,6.2502
2019-01-04,6.82
2019-01-11,7.38
2019-01-18,7.51
2019-01-25,7.31
2019-02-01,7.62
2019-02-08,7.35
2019-02-15,7.73
2019-02-22,7.69
2019-03-01,7.473
2019-03-08,7.265
2019-03-15,7.4604
2019-03-22,7.52
2019-03-29,7.556
2019-04-05,7.701
2019-04-12,7.81
2019-04-19,7.7462
2019-04-26,7.81
2019-05-03,7.6
2019-05-10,7.59
2019-05-17,7.59
2019-05-24,7.23
2019-05-31,6.82
2019-06-07,6.84
2019-06-14,6.77
2019-06-21,6.9753
2019-06-28,6.97
2019-07-05,7.0001
2019-07-12,7.1134
2019-07-19,6.76
2019-07-26,6.58
2019-08-02,6.41
2019-08-09,6.1064
2019-08-16,5.92
2019-08-23,5.89
2019-08-30,6.05
2019-09-06,6.09
2019-09-13,6.38
2019-09-20,6.48
2019-09-27,6.17
2019-10-04,5.9701
2019-10-11,5.8738
2019-10-18,5.71
2019-10-25,5.91
2019-11-01,5.8745
2019-11-08,5.98
2019-11-15,5.93
2019-11-22,5.84
2019-11-29,5.76
2019-12-06,5.87
2019-12-13,6.04
2019-12-20,6.413
2019-12-27,6.49
2020-01-03,6.85
