date,value
2015-01-02,19.9
2015-01-09,18.9
2015-01-16,17.35
2015-01-23,17.02
2015-01-30,17.04
2015-02-06,19.01
2015-02-13,20.01
2015-02-20,19.47
2015-02-27,18.22
2015-03-06,18.23
2015-03-13,18.28
2015-03-20,20.2
2015-03-27,19.5
2015-04-03,20.43
2015-04-10,20.61
2015-04-17,20.44
2015-04-24,21.86
2015-05-01,22.07
2015-05-08,22.04
2015-05-15,21.66
2015-05-22,21.75
2015-05-29,21.81
2015-06-05,22.17
2015-06-12,21.77
2015-06-19,21.39
2015-06-26,22.05
2015-07-03,20.45
2015-07-10,19.62
2015-07-17,19.17
2015-07-24,18.87
2015-07-31,20.03
2015-08-07,20.93
2015-08-14,20.9
2015-08-21,18.95
2015-08-28,19.61
2015-09-04,18.7
2015-09-11,18.8
2015-09-18,17.89
2015-09-25,17.25
2015-10-02,17.8
2015-10-09,19.09
2015-10-16,18.94
2015-10-23,18.72
2015-10-30,18.47
2015-11-06,18.35
2015-11-13,17.25
2015-11-20,17.66
2015-11-27,17.5
2015-12-04,17.09
2015-12-11,17.21
2015-12-18,16.92
2015-12-25,18.16
2016-01-01,17.87
2016-01-08,16.55
2016-01-15,15.94
2016-01-22,16.2
2016-01-29,18.35
2016-02-05,18.16
2016-02-12,18.33
2016-02-19,17.86
2016-02-26,18.11
2016-03-04,19.77
2016-03-11,21.2
2016-03-18,21.89
2016-03-25,22.42
2016-04-01,23.0
2016-04-08,22.73
2016-04-15,24.2
2016-04-22,24.6
2016-04-29,25.21
2016-05-06,24.94
2016-05-13,24.03
2016-05-20,23.44
2016-05-27,24.65
2016-06-03,25.27
2016-06-10,25.88
2016-06-17,25.5
2016-06-24,24.11
2016-07-01,24.88
2016-07-08,26.64
2016-07-15,27.85
2016-07-22,26.37
2016-07-29,26.82
2016-08-05,26.43
2016-08-12,25.29
2016-08-19,24.79
2016-08-26,24.63
2016-09-02,24.32
2016-09-09,24.0
2016-09-16,23.49
2016-09-23,24.84
2016-09-30,24.99
2016-10-07,24.21
2016-10-14,23.73
2016-10-21,26.35
2016-10-28,26.83
2016-11-04,27.55
2016-11-11,32.28
2016-11-18,33.37
2016-11-25,35.78
2016-12-02,36.68
2016-12-09,37.11
2016-12-16,36.68
2016-12-23,36.97
2016-12-30,35.58
2017-01-06,36.77
2017-01-13,35.83
2017-01-20,35.8
2017-01-27,36.23
2017-02-03,33.87
2017-02-10,36.57
2017-02-17,37.16
2017-02-24,35.59
2017-03-03,36.16
2017-03-10,33.98
2017-03-17,36.34
2017-03-24,33.89
2017-03-31,34.76
2017-04-07,35.24
2017-04-14,32.91
2017-04-21,35.37
2017-04-28,36.14
2017-05-05,35.82
2017-05-12,34.14
2017-05-19,34.22
2017-05-26,33.71
2017-06-02,34.36
2017-06-09,36.03
2017-06-16,33.18
2017-06-23,33.43
2017-06-30,35.81
2017-07-07,35.92
2017-07-14,36.56
2017-07-21,37.51
2017-07-28,35.15
2017-08-04,35.27
2017-08-11,34.54
2017-08-18,34.29
2017-08-25,34.65
2017-09-01,34.77
2017-09-08,34.21
2017-09-15,33.34
2017-09-22,33.23
2017-09-29,34.47
2017-10-06,36.17
2017-10-13,36.92
2017-10-20,38.9
2017-10-27,38.67
2017-11-03,37.51
2017-11-10,37.23
2017-11-17,36.85
2017-11-24,37.49
2017-12-01,38.32
2017-12-08,40.7
2017-12-15,39.85
2017-12-22,43.26
2017-12-29,43.13
2018-01-05,45.6
2018-01-12,47.01
2018-01-19,46.42
2018-01-26,47.49
2018-02-02,44.15
2018-02-09,43.57
2018-02-16,49.4
2018-02-23,47.47
2018-03-02,48.33
2018-03-09,46.34
2018-03-16,46.95
2018-03-23,42.33
2018-03-30,44.22
2018-04-06,43.48
2018-04-13,44.58
2018-04-20,46.68
2018-04-27,45.57
2018-05-04,46.18
2018-05-11,48.23
2018-05-18,50.86
2018-05-25,49.44
2018-06-01,49.97
2018-06-08,50.74
2018-06-15,46.76
2018-06-22,47.9
2018-06-29,45.95
2018-07-06,46.39
2018-07-13,47.27
2018-07-20,46.96
2018-07-27,47.99
2018-08-03,44.24
2018-08-10,43.61
2018-08-17,43.73
2018-08-24,44.75
2018-08-31,45.73
2018-09-07,46.71
2018-09-14,46.82
2018-09-21,45.6
2018-09-28,45.19
2018-10-05,45.41
2018-10-12,42.39
2018-10-19,41.03
2018-10-26,38.37
2018-11-02,40.86
2018-11-09,40.28
2018-11-16,39.69
2018-11-23,37.44
2018-11-30,35.2
2018-12-07,32.31
2018-12-14,32.2
2018-12-21,30.12
2018-12-28,29.87
2019-01-04,31.54
2019-01-11,33.49
2019-01-18,34.3
2019-01-25,35.44
2019-02-01,37.15
2019-02-08,35.76
2019-02-15,37.09
2019-02-22,39.06
2019-03-01,37.87
2019-03-08,34.66
2019-03-15,35.12
2019-03-22,33.97
2019-03-29,35.27
2019-04-05,35.81
2019-04-12,33.87
2019-04-19,33.96
2019-04-26,31.58
2019-05-03,33.1
2019-05-10,32.41
2019-05-17,30.02
2019-05-24,27.15
2019-05-31,25.15
2019-06-07,25.93
2019-06-14,26.43
2019-06-21,29.16
2019-06-28,30.2
2019-07-05,30.6
2019-07-12,30.11
2019-07-19,31.47
2019-07-26,32.6
2019-08-02,29.65
2019-08-09,28.19
2019-08-16,27.3
2019-08-23,26.54
2019-08-30,27.0
2019-09-06,27.39
2019-09-13,31.62
2019-09-20,30.35
2019-09-27,29.38
2019-10-04,28.67
2019-10-11,30.38
2019-10-18,28.71
2019-10-25,30.65
2019-11-01,31.6
2019-11-08,31.62
2019-11-15,31.82
2019-11-22,32.6
2019-11-29,33.73
2019-12-06,35.1
2019-12-13,34.68
2019-12-20,34.93
2019-12-27,34.53
2020-01-03,33.2
